,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_fd1_scaled
64,64,0.9259855189058729,0.9255324787510169,0.9097379770766868,0.9758123596833274,0.6297534897317101,0.6805883452009166,-0.4761754660890738,3.56263143970986,1.7652299290558913,0.13813354786806115,0.11802091713596137,0.1119871279163314,0.07320997586484312,0.05888978278358807,0.02944489139179407,0.055671761866452105,0.019388576025744186
65,65,0.9090909090909091,0.9092746899207175,0.9002392344497607,0.9627751196172247,0.6784804636268148,0.12033254040584934,-0.5442211601596778,3.5312970596391686,2.589268562284514,0.14006436041834272,0.13636363636363635,0.0830249396621078,0.0760257441673371,0.0654867256637168,0.034674175382139925,0.0566371681415929,0.02035398230088491
66,66,0.9267900241351569,0.9265138045577581,0.9122610091879515,0.9629181410008623,0.7320176522650669,-0.17883073218879933,-0.6893241575258838,3.8528803420284734,2.6827697163263844,0.13499597747385356,0.12968624296057923,0.10949316170555105,0.06749798873692678,0.0853580048270314,0.0466613032984714,0.0403057119871279,0.025583266291230932
67,67,0.9211584875301689,0.9212038861070336,0.9125792488051274,0.9672746502071883,0.36959295721201973,0.12002732923863216,-0.8641617480425003,3.06024423501683,3.5940602507324906,0.1606596942880129,0.1419147224456959,0.10949316170555105,0.1221238938053097,0.09605792437650847,0.08141592920353984,0.06709573612228478,0.05752212389380529
68,68,0.9211584875301689,0.9202625879275311,0.9009894931906784,0.9701811739887997,0.8031187605931488,0.2580823522535436,-1.2103058389601578,3.694874854467419,2.7331153866429707,0.15591311343523734,0.10973451327433625,0.11407884151246979,0.07811745776347548,0.07964601769911506,0.05269509251810134,0.04448913917940463,0.019388576025744196
69,69,0.915526950925181,0.9151381147742238,0.9010951294112195,0.9633373496767617,0.4572161939931449,0.06201907484335653,-0.9678285254806871,3.7737558566973446,3.017384695854394,0.1301689460981496,0.1222043443282381,0.10024135156878515,0.0903459372485921,0.08109412711182624,0.04762670957361219,0.04440868865647622,0.026226870474658038
70,70,0.9058728881737731,0.9055570532731642,0.8913237639553429,0.9516369435986661,0.7655114776786746,-0.03695988876890085,-0.9054138500536852,3.486182347989876,3.143871294900217,0.14770716009654064,0.12123893805309731,0.11842316975060334,0.08519710378117454,0.07650844730490747,0.033547868061142336,0.049396621078036974,0.031858407079645955
71,71,0.910699919549477,0.9101616634908569,0.8960097510905825,0.9553901861831038,-0.001691001115551219,0.16997237185334005,-0.7097728576753198,3.4821202677747913,3.3266253741345104,0.15245374094931616,0.131053901850362,0.1403057119871279,0.0944489139179404,0.08012872083668543,0.06025744167337086,0.06283185840707964,0.03451327433628313
72,72,0.9002413515687852,0.9002413515687852,0.885726571767497,0.9624228944246738,0.2121879721424409,-0.24921366383854637,-0.7045545991922507,3.5516964064492456,3.6613183629954498,0.12912308930008043,0.13724859211584875,0.09991954947707153,0.09589702333065157,0.07240547063555912,0.04296057924376504,0.06572807723250199,0.0182622687047465
73,73,0.915526950925181,0.9152571013859022,0.8989409603400453,0.9648487686562683,0.6811721689558607,-0.2834553994784112,-0.8359548301248315,3.7952890624959355,3.068599831708025,0.12518101367658888,0.11432019308125499,0.10563153660498789,0.07892196299275947,0.06492357200321801,0.031214802896218773,0.053901850362027326,0.023732904263877707
74,74,0.917940466613033,0.9172052195672195,0.9012663870252478,0.9716120146754599,0.207032596722037,-0.49675504186048197,-0.4356963203920818,3.7278350493991295,3.443533533855855,0.13813354786806115,0.12485921158487527,0.10627514078841509,0.08262268704746581,0.04867256637168138,0.026387771520514847,0.046580852775543004,0.01745776347546262
75,75,0.915526950925181,0.915104528455088,0.901610644257703,0.967193024750884,0.6347232683036481,-0.03939070768281855,-1.1436536680537472,3.958086439279193,2.93208144856988,0.1494770716009654,0.1123893805309734,0.11592920353982297,0.07674979887369268,0.08109412711182624,0.04271922767497984,0.04835076427996778,0.02091713596138376
76,76,0.912308930008045,0.9119548959227042,0.8976621360803646,0.9614570737605803,0.2877391179300415,0.34515148074294927,-1.0214839277744654,4.121284122678985,2.5195228153162375,0.12357200321802089,0.1029766693483507,0.10788415124698306,0.07860016090104585,0.057683024939662084,0.0367658889782783,0.04247787610619465,0.018342719227674963
77,77,0.916331456154465,0.9168746748225424,0.9100008393486654,0.9667318161106981,1.1761974369937627,0.4669811540320219,-0.8397643767416205,3.2143554237316736,2.2558661469365444,0.15534995977473853,0.13483507642799678,0.13588093322606595,0.0986323411102172,0.0838294448913918,0.0566371681415929,0.06846339501206758,0.02236524537409491
78,78,0.913113435237329,0.9125997657706869,0.8998931660070584,0.9586363585112021,0.921949756222849,0.42580999586315915,-0.9980356307643053,3.287755080136143,2.7451612566065293,0.14505229283990345,0.12091713596138372,0.1117457763475462,0.10152855993563951,0.1025744167337087,0.05044247787610616,0.06299275945293643,0.03330651649235714
79,79,0.916331456154465,0.916331456154465,0.905372880859661,0.9674406347905016,0.27240826120865436,-0.16329487884409583,-1.05231443730203,4.200256213978951,3.092789151406501,0.14851166532582463,0.11383748994368459,0.11649235720032176,0.0845534995977474,0.07224456958970234,0.04271922767497984,0.040386162510056264,0.02011263073209979
80,80,0.915526950925181,0.9151239950328759,0.9002523410834622,0.9691618775343505,0.40254460592009367,0.4700292850900998,-0.9763535995123942,3.843907556617286,2.474093690747127,0.14054706355591312,0.131053901850362,0.10345937248592114,0.08865647626709575,0.07755430410297667,0.042558326629123046,0.05575221238938051,0.01995172968624297
81,81,0.917135961383749,0.9170605861302359,0.9059513415982772,0.9565915837262091,0.7369386573236663,0.11092479739416886,-0.9589416709756862,3.4324686379932894,2.953777705206571,0.14899436846339503,0.12172164119066771,0.09927594529364438,0.09203539823008847,0.0765084473049075,0.05438455349959772,0.0666130329847144,0.03177795655671757
82,82,0.913917940466613,0.9138004264963038,0.9038533914977334,0.9611153879052262,1.0220974539041259,-0.1735780649172115,-0.9680212609787551,3.7027426812487705,2.8464443203898897,0.10949316170555104,0.11826226870474654,0.07876106194690266,0.07071600965406274,0.0660498793242156,0.049959774738535766,0.050040225261464163,0.017699115044247805
83,83,0.911504424778761,0.9110633815902036,0.8960100684585504,0.9547325819731625,0.49783232960533763,0.5052864515273937,-0.6088570981436381,3.5509502311459324,2.3387137190909497,0.1312148028962188,0.1216411906677393,0.10152855993563951,0.08889782783588092,0.07264682220434433,0.04046661303298467,0.057683024939662084,0.020193081255028122
