,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.left_CO2_vd_fd1_scaled
41,41,0.8945454545454545,0.8924090969672738,0.8353479853479853,0.9465934065934066,2.5144631932651214,1.9565902120563694,0.3772297503907913,0.183900331964879,1.1048386308223583,0.11345454545454543,0.09127272727272726,0.04545454545454547,0.02472727272727272
42,42,0.9236363636363636,0.9247055796664794,0.8671060698957694,0.9492131616595136,2.3492237570482577,1.2005899527728139,-0.20846221581785512,0.9824661093761314,1.96514355304679,0.05890909090909087,0.06109090909090905,0.055636363636363595,0.044727272727272685
43,43,0.9309090909090909,0.9311539649144341,0.892571817100119,0.9668536460989291,2.651263636525711,1.0939967041480367,-0.2520891727063381,0.17060541857165562,2.514490507122731,0.1061818181818182,0.1087272727272727,0.06945454545454546,0.0541818181818182
44,44,0.9236363636363636,0.9221713619023373,0.8593404725480198,0.9454360020397756,2.3704957365897923,1.2912965182085598,0.2767472641677252,0.7662009547050378,1.4572892176290744,0.1025454545454545,0.06909090909090906,0.0654545454545454,0.030909090909090865
45,45,0.9163636363636364,0.9144911180773251,0.8583575915428221,0.9484449210969818,2.8244869568109876,1.5783707625332781,0.03480773710404168,-0.2625012100639389,2.2389856681806055,0.12400000000000003,0.07745454545454547,0.07636363636363638,0.018545454545454542
46,46,0.9527272727272728,0.9525506712396657,0.9192393928941014,0.9758537426698861,2.904120588708203,1.3016817922823198,0.1473365621557628,-0.4937883101634611,2.2357236313009397,0.12436363636363641,0.10945454545454547,0.08181818181818185,0.057454545454545466
47,47,0.9163636363636364,0.9139561128526645,0.8545358170528548,0.966227472361048,3.164332391396204,1.276730246294745,0.42195236672455455,-0.34245908946498355,1.6846722673199204,0.12000000000000002,0.06945454545454546,0.07454545454545455,0.025454545454545473
48,48,0.9381818181818182,0.9379569045187023,0.8970763216046236,0.9747577766445691,2.127906286432368,1.319872896721382,0.30051110766348443,0.4390434931952572,1.827344725293171,0.08690909090909096,0.07745454545454548,0.07345454545454551,0.04400000000000006
49,49,0.9309090909090909,0.9295473582835001,0.8689203173508107,0.9520524318730597,2.4515728902208465,1.4315359917391817,0.8443505253356703,0.17509860826739523,1.4691996348807381,0.10581818181818185,0.07527272727272728,0.07200000000000001,0.035272727272727275
50,50,0.92,0.9193428781204112,0.8554271266028535,0.9636987538378183,2.727870317645056,1.4275464681348304,0.4647519607244768,-0.184043762278377,1.8172837381182354,0.06763636363636367,0.07345454545454551,0.07890909090909096,0.020363636363636417
51,51,0.9454545454545454,0.9443794933817108,0.8926353915143153,0.9688685753708175,2.6802200098484996,0.983275124278961,-0.008302396359664118,0.5215809160915605,2.103232725314949,0.10327272727272725,0.08036363636363633,0.07236363636363635,0.04363636363636362
52,52,0.9381818181818182,0.9362099380335283,0.8787144446210075,0.9579691720959796,2.9270589622682293,1.4235993534495428,0.266223313326074,0.18190332259506967,1.346869786726132,0.11527272727272733,0.06690909090909097,0.059272727272727324,0.028363636363636403
53,53,0.92,0.92,0.8827519379844961,0.9739534883720931,2.722283721829111,1.2802828015667587,0.1380142361644445,0.4558420711436692,1.6431346543234584,0.13454545454545458,0.06109090909090914,0.050909090909090945,0.03454545454545457
54,54,0.92,0.92,0.8813166980539862,0.9602950408035154,2.373001411460538,1.1027937806564325,0.4182431399077539,-0.010148662982619327,2.5382665714990114,0.11200000000000002,0.08654545454545459,0.09854545454545457,0.035272727272727324
55,55,0.9272727272727272,0.9267220524573466,0.8740513970334598,0.9692135219041049,1.667556076529199,2.125260617123186,0.2956955436698955,0.38715642397140043,1.5544879593555645,0.10509090909090908,0.08399999999999998,0.05963636363636362,0.045090909090909057
56,56,0.9272727272727272,0.9272727272727272,0.8758352898681596,0.97074227921257,2.8795210199471017,1.6675356530929089,0.3179652923269972,-0.2322190268246305,1.4229608867670651,0.11672727272727271,0.06690909090909089,0.06472727272727272,0.04472727272727271
