,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.front_CO2_vd_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd1_scaled
49,49,0.9218106995884774,0.9214201542279722,0.9067101226993866,0.9634969325153374,3.5117208066649233,0.9669043763291257,0.7075301688580004,0.7473662982137506,0.4638466220688693,0.14238683127572016,0.026748971193415662,0.017283950617283984,0.0049382716049383045,-0.005349794238683103,0.0008230452674897415,-0.005349794238683092,-0.0016460905349793941,-0.001234567901234529,-0.00781893004115224,-0.01069958847736623,-0.0028806584362139898
50,50,0.9094650205761317,0.9103237355422125,0.911355174981385,0.9599404318689502,3.840576586852208,1.2112773487647672,0.5114319438087811,1.192306478366873,-0.4379702079509388,0.11440329218106993,0.037037037037037014,0.035390946502057576,0.01069958847736623,0.004938271604938249,0.007818930041152227,0.0024691358024691245,0.009053497942386801,0.0028806584362139676,0.0024691358024691245,0.006584362139917666,-0.0016460905349794275
51,51,0.9094650205761317,0.9097531495367214,0.9001234949058352,0.9556962025316456,2.927279026317574,0.6649652198940447,0.03296857131601898,1.537910501042198,1.2034177664558217,0.15761316872427983,0.059259259259259234,0.027983539094650168,0.0185185185185185,0.0057613168724279466,0.012345679012345623,0.000823045267489686,0.011934156378600791,0.011111111111111072,0.006172839506172811,0.008641975308641936,-0.003292181069958877
52,52,0.8930041152263375,0.8935857011971847,0.8868599397590362,0.9463855421686747,3.1959577687029426,0.7395163998703363,0.776847455786615,1.6154746916860168,0.382203658883909,0.0909465020576132,0.023045267489711984,0.02921810699588482,0.0008230452674897637,-0.002057613168724259,0.00246913580246918,-0.005349794238683092,-0.0008230452674896748,0.0004115226337448874,-0.0004115226337448319,-0.0020576131687242484,-0.0020576131687242705
53,53,0.9094650205761317,0.9096721267382125,0.9048591857580621,0.9591419816138917,2.8040939134028844,0.8585595867386062,1.2919337808797304,1.6951431304562121,-0.05304197746981702,0.05884773662551439,0.04609053497942385,0.032921810699588425,0.020164609053497907,0.0024691358024691245,0.006172839506172811,0.008641975308641947,0.011934156378600768,0.003292181069958833,-4.4408920985006264e-17,0.0024691358024691245,-0.0004115226337448652
54,54,0.9218106995884774,0.9208152679493546,0.8994288360605125,0.977539364001235,2.568091100517103,0.8288623484331576,1.0143583622633756,1.8833110443857815,-0.17199485349534657,0.07736625514403295,0.03539094650205763,0.03456790123456791,0.010699588477366295,-0.004938271604938249,0.008641975308642014,-0.0028806584362139676,0.011111111111111138,0.003292181069958855,-0.004115226337448541,0.006995884773662575,-0.0024691358024691136
55,55,0.8930041152263375,0.8933343494386019,0.8820552147239265,0.9470858895705522,2.982026283137156,0.8217796973247479,1.3518349748781393,1.1374320502214863,0.2883605030451761,0.09547325102880662,0.006584362139917732,0.007407407407407451,4.4408920985006264e-17,-0.0032921810699588104,-0.001646090534979383,-0.0012345679012345178,0.0008230452674897526,-0.004115226337448541,-0.0012345679012345512,-0.0008230452674896748,-0.007818930041152227
56,56,0.8888888888888888,0.8900342993800937,0.8848795924668107,0.9501389317690645,2.7333742620368544,1.3826351135415031,0.6317349088533418,1.9648423197764917,-0.3473985749142701,0.09711934156378596,0.041152263374485555,0.02551440329218103,0.02345679012345675,0.0032921810699587995,0.001234567901234529,-0.006584362139917766,0.0012345679012345178,-0.0028806584362140565,-0.0028806584362140453,-0.0028806584362140565,-0.0016460905349794607
57,57,0.9053497942386831,0.9060034924846594,0.901643690349947,0.9643993334343282,3.2891841725907844,1.0632911560620304,0.9598695906414998,0.5390480592293593,0.616220864341929,0.09794238683127572,0.026748971193415627,0.021810699588477367,0.01358024691358023,0.0012345679012345622,0.008230452674897092,0.004115226337448541,0.011934156378600791,0.0016460905349794165,0.004115226337448541,0.0004115226337448541,-0.003703703703703709
58,58,0.9012345679012346,0.9009202453987729,0.8858024691358024,0.9537418076512726,3.3745647839472954,1.0494340651234473,0.931899579143784,1.2275462178583665,-0.14916241635472782,0.11728395061728396,0.024279835390946514,0.04320987654320989,0.015637860082304555,0.006584362139917699,0.0,0.004526748971193428,0.0008230452674897303,0.0008230452674897082,-0.0032921810699588438,-0.0016460905349794165,-0.0020576131687242705
59,59,0.897119341563786,0.8975738695364863,0.8888888888888888,0.9576284103033075,3.042881843747264,0.6638591494697507,0.6860771912889403,1.2673529377974504,0.928773571787555,0.15020576131687244,0.0469135802469136,0.014814814814814836,0.003292181069958877,-0.0028806584362139785,0.015637860082304555,-0.005349794238683092,0.004526748971193451,0.006172839506172856,-0.004115226337448541,-0.004526748971193395,0.0012345679012345733
60,60,0.9382716049382716,0.9385273999040883,0.935730421686747,0.9815512048192772,2.8075769689106735,0.8470813350462403,0.7595155895151005,1.2479280274112767,0.7095389816665705,0.09547325102880654,0.031275720164609014,0.034567901234567856,0.0032921810699587883,0.007818930041152227,0.006172839506172789,0.0012345679012345401,0.004526748971193373,-4.4408920985006264e-17,0.0028806584362139676,0.008230452674897082,-0.002469135802469202
