,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.right_CO2_vd_scaled
40,40,0.96,0.9598544676297485,0.9321349651538331,0.9926908040115587,3.2061210552180843,1.489098307097642,1.4376941982513418,1.9405438060525417,-0.3000376835584294,0.04654545454545452,0.0247272727272727,-0.00036363636363637706,0.0014545454545454195,0.00727272727272722,-0.0010909090909090979,0.0018181818181817744,-1.1102230246251566e-17,0.0007272727272726986,0.002181818181818118,0.0043636363636362805,-0.00290909090909095
41,41,0.9454545454545454,0.9446844919786097,0.9111721611721612,0.9934798534798536,3.176541279629715,1.4359199190242349,2.346901933498288,0.21307356586646298,0.4998336548319594,0.03599999999999999,0.03199999999999999,-0.0061818181818182215,-0.006909090909090953,-0.0036363636363636598,-0.004000000000000026,-0.0036363636363636598,-0.002909090909090928,-0.0036363636363636598,-0.002909090909090928,-0.004727272727272758,0.0
42,42,0.96,0.9601922833649588,0.9276006539955037,0.9882485182914367,3.343496879366028,1.417371718721551,1.528316328083845,1.1288723202895252,0.45683478352761875,0.05563636363636361,0.008727272727272684,0.0036363636363635488,0.0036363636363635488,0.0036363636363635488,0.0039999999999999255,0.0003636363636363549,0.002909090909090839,0.0043636363636362805,0.00363636363636356,0.0036363636363635488,0.0014545454545454195
43,43,0.9490909090909091,0.9497851239669421,0.932559918408975,0.9892911779704232,2.672640148500339,1.1962675616350085,2.1833358027439727,1.5291895343895505,0.4638336852360106,0.06363636363636366,0.021090909090909105,0.003272727272727294,-0.01090909090909089,-0.00690909090909092,0.002909090909090928,0.0018181818181818299,-0.003272727272727294,0.0036363636363636598,-0.00618181818181821,-0.0036363636363636598,0.0018181818181818299
44,44,0.9527272727272728,0.9521974682644522,0.9132670406255312,0.9891211966683664,3.348186054479574,1.8144102736108207,2.109244224928797,0.5897752688320811,-0.032609171629256674,0.03163636363636367,0.03200000000000003,-0.0025454545454545396,0.001090909090909109,-0.0010909090909090868,-0.0014545454545454527,-0.0018181818181818299,-0.0010909090909090979,0.004000000000000026,0.000363636363636366,-0.0018181818181818188,0.001454545454545464
45,45,0.9490909090909091,0.9484637333789876,0.9145472652060671,0.9906542056074766,3.012672759645684,0.7223749181567221,1.8387002929928167,1.6324223540117526,0.8732159213334506,0.0712727272727273,0.03854545454545456,0.004727272727272758,0.000363636363636366,0.0043636363636363916,0.006545454545454588,0.0025454545454545617,0.002909090909090928,0.010181818181818158,-0.003272727272727294,0.000727272727272732,0.0018181818181818299
46,46,0.9709090909090909,0.9702116341307238,0.93045015522594,0.9980165574335979,3.406877390696884,1.2503083068937833,1.7182061397671826,0.9946725586197711,0.2998830582342452,0.08545454545454548,0.021818181818181858,0.002909090909090928,-0.0032727272727271937,0.0010909090909090979,-0.0010909090909090647,-0.0007272727272727098,-0.002545454545454473,0.0021818181818181958,0.002909090909090928,-0.0010909090909090647,0.005090909090909123
47,47,0.9672727272727273,0.9669814483037623,0.9445706497046797,0.9947751022262608,2.894037795713806,1.8893099382981233,1.6966370445637131,1.0714922639535251,0.07002480909711908,0.1083636363636364,0.016727272727272736,0.0021818181818181958,0.0,0.000363636363636366,-0.002909090909090928,0.0,-0.0010909090909090979,-0.0010909090909090979,0.0,0.000363636363636366,-0.000727272727272732
48,48,0.9709090909090909,0.9704685510567862,0.9388917219105899,0.9939656637769846,3.1166033959287067,1.6720553394934778,1.3525451934320092,1.556283803628353,0.08353406775951326,0.08400000000000003,0.02327272727272729,0.00036363636363637706,0.0007272727272727431,0.001454545454545475,0.006545454545454588,0.000727272727272732,0.000727272727272732,0.001090909090909109,0.000727272727272732,0.0,0.0
49,49,0.9527272727272728,0.952183129226063,0.9118661607450845,0.991635046567782,2.6407686069097696,1.5746984843941145,1.7119619200921348,1.49571521777762,0.47456127541710186,0.09854545454545459,0.012363636363636387,0.0043636363636363916,0.005090909090909123,0.002545454545454551,0.00545454545454549,0.001454545454545464,0.006545454545454588,0.0010909090909090979,0.002909090909090928,0.00545454545454549,0.0043636363636363916
