,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_scaled
88,88,0.8518518518518519,0.8480246913580247,0.8133994849265263,0.8625965762763218,0.8694371958234244,1.2101966479151038,-0.08822511406024715,0.8472444900274579,1.4893761520349424,0.09547325102880659,0.11522633744855967,0.0934156378600823,0.0522633744855967
89,89,0.8148148148148148,0.8106617494372598,0.7669769989047097,0.8304647160068847,1.3169026206009626,1.2374103566919947,-0.1921781992204148,1.8247047333577295,0.36055446939362634,0.07860082304526744,0.10740740740740735,0.09547325102880652,0.04279835390946497
90,90,0.8271604938271605,0.8263616680905238,0.7810924369747899,0.8651260504201682,1.1151516112114033,1.8058318321911773,0.4262576373406865,0.4678475245174661,0.477689604365554,0.09588477366255145,0.09588477366255145,0.09135802469135804,0.05308641975308641
91,91,0.831275720164609,0.8275677681617258,0.8068278805120911,0.8635135135135135,1.5112088335004938,1.2919913222151185,0.29111039917733567,0.936220855924152,0.4997977448955316,0.0839506172839506,0.08065843621399174,0.09917695473251029,0.024691358024691336
92,92,0.8477366255144033,0.8468312673973284,0.8145690068766992,0.8843754997601152,0.9728842784438728,1.663746161965949,0.05572843124180068,1.1389634224632381,0.4144792700967281,0.09588477366255146,0.11975308641975313,0.08806584362139919,0.042798353909465056
93,93,0.8353909465020576,0.8346089055442478,0.7893063093622795,0.855240841248304,1.251979522048494,1.3242975121825191,0.019000606303262054,0.8008706322539599,1.0741821729307914,0.12098765432098764,0.09012345679012344,0.07695473251028805,0.035390946502057596
94,94,0.8024691358024691,0.7985813332113632,0.7665673864482502,0.8220402084884586,0.9828596940266647,1.2935832645626577,-0.3243606343220292,1.088541453674554,1.457222205490387,0.09135802469135801,0.10205761316872428,0.07448559670781894,0.04115226337448561
95,95,0.8641975308641975,0.8648557391272759,0.8493006993006993,0.8924630924630924,1.3051119237379731,1.7415346582749796,0.33259812641481895,0.7557529857328456,0.07183218803759674,0.12798353909465013,0.1386831275720164,0.10288065843621394,0.07160493827160488
96,96,0.8559670781893004,0.8524545944122676,0.8090916360147129,0.8920518151287382,0.5035637204604255,2.045402564492487,0.10510887261869567,1.133209204983253,0.1532099146780714,0.09135802469135802,0.09917695473251027,0.08065843621399177,0.04814814814814814
97,97,0.8477366255144033,0.8459651075560675,0.8275737420474263,0.8928571428571429,0.549047358616473,1.3402600696011215,0.07293681862683765,0.7715401939145642,1.685933568553971,0.10329218106995888,0.1189300411522634,0.07654320987654324,0.040329218106995926
98,98,0.823045267489712,0.819295459179338,0.7803334362457548,0.8531954306884841,1.032155650648023,1.5427270104256856,0.1253670643854237,1.4656392424206444,0.2702586898882874,0.09218106995884778,0.10123456790123461,0.11028806584362143,0.03827160493827164
99,99,0.7695473251028807,0.7689002769366151,0.7439687267311987,0.8301563663440059,1.3288203844888749,1.7320015400753384,-0.05937404608602683,0.5411700616127991,0.9356366778892083,0.08888888888888895,0.07777777777777783,0.06584362139917702,0.02551440329218112
100,100,0.823045267489712,0.8209164887527461,0.8,0.8600580973129993,0.4165351444138758,1.4516663008319066,-0.19681718530290931,1.4868814077798818,1.2326155971506567,0.11563786008230456,0.12181069958847741,0.09794238683127576,0.05185185185185189
101,101,0.8353909465020576,0.8334610015154379,0.7977860069335014,0.868027103687362,0.602836188613243,1.4791554254521257,0.019456033993481225,1.1324578757887576,1.0705862132702775,0.10041152263374482,0.1119341563786008,0.07818930041152258,0.05514403292181066
102,102,0.823045267489712,0.8227593790522134,0.7980828220858895,0.8681748466257668,0.8685220368955971,1.4344422731906472,0.23802558468517723,1.0556692293530636,0.9155458723466346,0.0872427983539095,0.0962962962962963,0.08683127572016464,0.019341563786008254
103,103,0.8724279835390947,0.8686480719402531,0.82472413241644,0.8923716616024309,1.296798235964361,1.2897696965978556,0.18455611075629458,0.7663208772459073,0.8517967964568891,0.10411522633744856,0.10329218106995888,0.0835390946502058,0.022633744855967107
104,104,0.7860082304526749,0.7840268251790885,0.7550539083557952,0.827193770589997,1.4862396460945617,1.00346798033063,0.23040200387061305,1.2371699235175015,0.8358395771673665,0.08518518518518516,0.09382716049382714,0.07366255144032917,0.026748971193415627
105,105,0.823045267489712,0.8175727506983997,0.7912903225806451,0.8693189964157707,0.4939530816204893,1.563665094908823,0.3549087029848706,1.0106286977533703,1.0273317360850955,0.0938271604938272,0.1049382716049383,0.07901234567901236,0.034979423868312785
