,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd2_scaled
10,10,0.9012345679012346,0.9000525547008402,0.8814990371796771,0.9443045474744483,3.1079657480308596,0.6655001536760116,0.43776885347808603,1.206769508840813,0.5680279794659809,0.11810699588477366,0.09382716049382717,0.0020576131687242926,0.016049382716049408,0.007407407407407407,0.01851851851851851,0.009465020576131699,0.0032921810699588438
11,11,0.9012345679012346,0.9017471550541268,0.9017920891046695,0.9664429530201342,3.509467725445268,0.9073461652019037,-0.12147034080749504,1.0787177318681882,0.28740041217566104,0.12427983539094652,0.2506172839506173,-0.008230452674897104,0.0020576131687242817,0.011934156378600836,0.006995884773662564,-0.008641975308641947,0.0004115226337448652
12,12,0.8888888888888888,0.8874162182573399,0.8677055702917772,0.9592543471853816,3.8233562790071467,0.6158805517195042,0.4377990867131937,0.881549819952516,0.20735950980475604,0.11769547325102873,0.09835390946502051,0.0061728395061728,-0.007407407407407474,0.018106995884773637,0.0028806584362139342,-0.0016460905349794496,-0.0024691358024692134
13,13,0.8724279835390947,0.8726279052849101,0.8571702453987731,0.9349693251533743,2.980950311234995,0.6656490045940683,0.832600776574145,1.1855700661062873,0.2042726803315639,0.0777777777777778,0.09053497942386833,0.009053497942386857,0.0037037037037037424,0.030452674897119357,0.013991769547325127,-0.007407407407407374,-0.0004115226337448319
14,14,0.9094650205761317,0.9103294074579009,0.9058832733531528,0.9612736660929432,2.240468768232569,0.6580134159878145,0.5500007845854294,1.7099814560818227,0.5749274037358741,0.15267489711934154,0.17818930041152256,0.01769547325102878,0.011111111111111061,0.023045267489711918,0.015226337448559635,0.02057613168724276,0.009465020576131666
15,15,0.8930041152263375,0.8930041152263375,0.8836206896551724,0.9598437960506926,3.6510602394697935,0.5073349781727623,0.7390576853044944,0.9689109455169671,0.12486069348463381,0.13950617283950623,0.12222222222222226,0.009876543209876586,0.00823045267489717,0.015226337448559713,0.014403292181070015,0.006995884773662586,-0.004115226337448541
16,16,0.8888888888888888,0.8887686582865936,0.8808666858623668,0.9524906420961705,2.79280772047941,0.6996115506276432,1.255758591420827,1.3080513956205544,-0.3518883713353595,0.10576131687242793,0.10123456790123453,0.006995884773662508,-0.006584362139917743,0.01193415637860078,-0.002880658436214034,0.0032921810699588104,0.016460905349794185
17,17,0.8765432098765432,0.8737928879800044,0.8479221927497789,0.9511494252873562,3.672899859330221,0.7990481878311437,0.4291019470486576,0.9170825054824716,0.14397087143995296,0.07530864197530865,0.07530864197530864,-0.004526748971193406,-0.009053497942386812,-0.0028806584362139898,0.0028806584362139898,-0.004938271604938249,-0.007818930041152227
18,18,0.8847736625514403,0.8838647894261055,0.8687800963081862,0.9491463592587188,3.0843198121307216,0.7688176761161323,0.5824974824541836,1.3723786148363508,0.1341893672696769,0.15390946502057612,0.05185185185185183,-0.0012345679012345846,0.011934156378600801,0.011522633744855926,-0.002469135802469158,0.011111111111111082,-0.013580246913580275
19,19,0.8888888888888888,0.8900707199250383,0.8843822843822844,0.96006216006216,3.5517820302927023,0.5193358320276177,0.9072446925299902,1.0022488250303432,-0.0049253459546693,0.11481481481481479,0.06419753086419748,-0.012345679012345723,-0.0020576131687243373,0.005349794238683092,0.0020576131687242262,-0.00823045267489717,-0.010288065843621453
20,20,0.8518518518518519,0.8523676234519608,0.8312716671919319,0.9380712259691144,3.285223435765381,0.8440249109094371,0.8507094641405011,0.6097169151422761,0.23028643018953698,0.07283950617283952,0.06831275720164609,-0.010699588477366217,1.1102230246251566e-17,0.013991769547325106,0.0041152263374485635,-0.0024691358024691358,-0.010699588477366262
21,21,0.8888888888888888,0.8894951292104598,0.8745402206940669,0.9453062529985606,2.6648237895101508,0.73245202304741,0.6431552474223077,1.2815201435239207,0.4193955988597574,0.09547325102880652,0.09753086419753082,-0.006995884773662609,-0.006584362139917743,0.0061728395061728,-0.0008230452674897637,-0.006995884773662619,-0.009465020576131734
22,22,0.8395061728395061,0.8408145861120828,0.8337283365427344,0.9226781217597392,3.8974718392617405,0.6149824770766106,0.4780072101051166,0.8831956751866971,0.25155838869509634,0.09094650205761312,0.11851851851851847,0.00041152263374480966,-0.024279835390946535,-0.00246913580246918,-0.004938271604938338,-0.002880658436214034,-0.03004115226337455
23,23,0.9012345679012346,0.9015784156346406,0.8887094232587457,0.956271667191932,3.1823948757510063,0.7238860405350114,0.32381579752233863,0.9914002054100961,0.3948640093719584,0.09465020576131689,0.15473251028806584,0.0024691358024691466,0.007407407407407418,0.014403292181069971,0.010288065843621408,-0.006172839506172823,-0.0008230452674897082
24,24,0.8600823045267489,0.8597020367765796,0.8443934231965635,0.9299363057324841,3.41377259722167,0.858066944674231,0.38754988754235337,0.7431652036656163,0.41771919952275044,0.08888888888888885,0.07901234567901233,-0.002057613168724304,-0.008641975308642002,0.0028806584362139676,0.006584362139917676,-0.014403292181069982,-0.00823045267489716
25,25,0.9053497942386831,0.9059615797197901,0.902403414195867,0.9698262952979935,3.3915436150897498,0.8195013270455408,0.6217240141449256,0.9800980950001259,-0.18300922052199234,0.11028806584362139,0.11152263374485594,0.005349794238683125,0.0024691358024691245,0.006995884773662542,0.0074074074074073955,0.006172839506172823,-0.006172839506172834
26,26,0.8477366255144033,0.8486679189627035,0.820767960363336,0.9092485549132948,3.7427702310935516,0.4460186157754709,0.5066433470106857,1.8533857570261278,-0.5318731798497384,0.08600823045267492,0.049382716049382734,0.0020576131687242926,-0.006995884773662519,-0.001646090534979383,-0.004938271604938227,-0.008641975308641924,-0.009465020576131666
27,27,0.8641975308641975,0.8649602077864348,0.8443190975020145,0.9283642224012894,3.9739427976436885,0.6281176483291115,0.7840864858597978,0.5618366038609339,-0.052498230285630734,0.08683127572016455,0.08148148148148143,0.006584362139917666,-0.0004115226337448874,-0.0020576131687243147,0.0057613168724279466,-0.013168724279835443,0.0024691358024691136
