,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
50,50,0.9176954732510288,0.9186368648968503,0.923119880863738,0.9599404318689501,3.111851505659689,0.4900010894019748,0.8750554439443158,1.5017341135040707,0.45662278945569235,0.21687242798353915,0.06831275720164613,0.018518518518518566,0.006172839506172922,0.004938271604938338,0.03744855967078194,0.021399176954732545,0.016049382716049432
51,51,0.8847736625514403,0.8847736625514403,0.8687094782340229,0.953149120098796,3.1855975149972253,0.3798149682856468,0.6984772272308036,1.0954015125043246,1.1727042397125915,0.20740740740740735,0.02551440329218104,0.019753086419753076,-0.002880658436214012,-0.002469135802469158,0.004526748971193384,-0.013580246913580285,0.0004115226337448319
52,52,0.9094650205761317,0.9103855796065248,0.9109563253012047,0.9493975903614458,2.6509893363633847,0.1568971618537644,1.747694315487535,1.6475614051578131,0.567474333440783,0.21111111111111108,0.05802469135802466,0.02757201646090531,0.007407407407407374,0.009465020576131656,0.016049382716049353,0.0127572016460905,0.01646090534979421
53,53,0.9176954732510288,0.9180584414502544,0.9160951408142419,0.9574638844301766,2.6754269991060298,0.33452003936950375,1.6552496468930529,1.0876258604582152,0.9743568321272761,0.19629629629629633,0.05432098765432104,0.04403292181069962,0.011111111111111172,0.007407407407407451,0.014403292181070004,0.009465020576131734,0.008641975308642025
54,54,0.9135802469135802,0.9124800329966551,0.8900509416486571,0.9746835443037974,2.9862154516037673,-0.1593805010362124,1.4505565676271959,1.306828166853679,0.7046533233133145,0.19999999999999993,0.04897119341563781,0.024691358024691322,-0.001646090534979472,-0.0004115226337448985,0.0061728395061728,0.006584362139917666,0.005761316872427957
55,55,0.9012345679012346,0.9020935594228767,0.8977377300613496,0.9476993865030675,2.9190143187161466,0.11427963855888774,1.2114931178847776,1.4613374125448808,0.8544050207097887,0.17572016460905351,0.032098765432098775,0.025102880658436223,0.0028806584362139898,0.0016460905349794165,0.013168724279835408,0.006584362139917699,0.006995884773662542
56,56,0.9094650205761317,0.9102776546514026,0.9066841617783267,0.9517598024081507,3.3294161976418657,-0.18481931961995934,1.2686205634930954,1.0054704245140256,1.2423713081253678,0.17530864197530863,0.07119341563786004,0.04074074074074071,0.0032921810699588104,0.0020576131687242484,0.015226337448559646,0.009465020576131643,0.007407407407407385
57,57,0.8888888888888888,0.8883665127143388,0.871269504620512,0.9622026965611271,3.5217515907626344,-0.11421644168752758,1.5354325886324858,0.4398042477860744,1.1259465338965342,0.1584362139917695,0.025925925925925887,0.007818930041152217,-0.009876543209876599,-0.007818930041152316,0.006584362139917666,-0.0049382716049383045,-0.0032921810699588993
58,58,0.897119341563786,0.8981140997641847,0.8950617283950617,0.9515317786922725,2.987368679134936,0.23004353019433305,1.5312188383423517,1.2527235882269943,0.5139422141272835,0.19958847736625515,0.07037037037037039,0.019341563786008254,0.004115226337448585,-0.0020576131687242705,0.004115226337448574,0.0012345679012345846,0.003292181069958877
59,59,0.8806584362139918,0.8808397753676868,0.867283950617284,0.9517604023776863,3.044991296396763,-0.052970210706841096,1.6243670796284764,1.0816962809423245,1.0139267750596925,0.15102880658436213,0.024691358024691357,0.0008230452674896971,-0.00781893004115226,-0.012345679012345701,0.0032921810699588438,-0.0004115226337448652,0.0016460905349794165
60,60,0.9218106995884774,0.9219222455279078,0.9145331325301205,0.9800451807228916,2.722718043874952,-0.02107221948070724,1.4810417257190722,1.4664097021428957,0.9013774884984921,0.1691358024691358,0.050617283950617306,0.016460905349794264,-0.0037037037037036757,-0.0057613168724279466,0.02098765432098767,0.006172839506172856,0.01111111111111115
61,61,0.8930041152263375,0.8926531330479737,0.8756901840490797,0.9627300613496932,2.571474226932052,0.3273370615757982,1.1161250239139924,1.6268577824796384,0.8864826738626325,0.20164609053497945,0.049382716049382755,0.0032921810699588884,-0.002469135802469091,-0.0024691358024690802,0.026748971193415683,0.011522633744856025,0.021399176954732556
62,62,0.9176954732510288,0.9176954732510288,0.9055944055944056,0.9735819735819736,2.3963838504092494,-0.20610384365049722,1.1695359197977044,1.6064295983861614,1.465225349447863,0.23333333333333334,0.051851851851851906,0.025102880658436244,-0.000823045267489686,0.015226337448559713,0.005349794238683181,0.008641975308642014,0.007818930041152305
63,63,0.8641975308641975,0.8634126872643518,0.8353571428571429,0.9471428571428572,2.5660365968686754,0.031899514738117814,1.0863508869626206,2.114332198902816,0.8636947168873873,0.18806584362139914,0.025925925925925873,0.004115226337448518,-0.011111111111111172,-0.01111111111111116,0.007407407407407374,-0.008230452674897148,-0.01193415637860088
64,64,0.8930041152263375,0.8944080439397925,0.8894047619047619,0.9459523809523809,3.2479688978416803,0.3772874464502262,1.1849797403524467,1.172466796955966,0.6306027322978712,0.19588477366255147,0.029218106995884806,0.004526748971193461,-0.0032921810699588216,-0.007818930041152227,0.010288065843621463,0.00246913580246918,-0.005349794238683081
65,65,0.9135802469135802,0.9134529790812241,0.9024849397590362,0.9718373493975904,2.6378301280657785,0.046671205925314846,1.244402405948929,1.5371799961085988,1.0403258440226968,0.2144032921810699,0.0386831275720164,0.02469135802469131,-0.0061728395061728895,-0.0004115226337449207,0.019341563786008188,0.0004115226337447875,0.013991769547325051
66,66,0.897119341563786,0.8978121406104945,0.8979178716020821,0.9591526894158473,3.3591840194252285,0.33835414016806054,1.5223785620288481,0.8048471887576614,0.4776987190537524,0.16131687242798357,0.04197530864197531,0.008230452674897148,-0.0037037037037036757,-0.0028806584362139564,0.0012345679012346067,-0.003292181069958833,0.004526748971193428
67,67,0.8888888888888888,0.8884133509365802,0.8737900223380491,0.9597915115413255,2.837523194868685,0.08504647345703441,1.5986226322926125,1.4189076792888433,0.5056855287817116,0.1967078189300411,0.01769547325102877,-0.004115226337448619,-0.005761316872428046,-0.0008230452674897526,0.004526748971193384,0.006584362139917655,-0.012757201646090588
68,68,0.897119341563786,0.8986320396326893,0.9010352760736196,0.9532975460122699,2.953034457620323,0.024281198006795686,1.6678989004773443,1.032249497102003,1.1390368563257987,0.15884773662551444,0.05308641975308644,0.027572016460905367,0.004526748971193428,0.013580246913580275,0.02304526748971194,0.005761316872428002,0.019341563786008265
