,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled
59,59,0.8065843621399177,0.8009953243834408,0.7592592592592593,0.837219935985368,1.9292592772566526,0.3254166191756224,-0.15528387679641642,1.310046768155043,1.6982794563347383,0.07160493827160493,0.07283950617283949,0.06008230452674894,0.07283950617283946
60,60,0.823045267489712,0.8203936700420716,0.7902484939759036,0.8644578313253012,2.009924476308602,0.4700176943497748,0.3607630784811778,1.5098899731574664,0.6237739434573384,0.10576131687242799,0.10000000000000005,0.0748971193415638,0.05884773662551444
61,61,0.7860082304526749,0.774463464398105,0.7195552147239264,0.8263803680981594,1.6445406242674507,0.35287264069416785,0.5292803991023726,0.9859338504740208,1.7137206967917542,0.06172839506172836,0.06296296296296293,0.06666666666666662,0.06913580246913575
62,62,0.831275720164609,0.8297414082396455,0.798018648018648,0.8673659673659674,2.4250339297626913,0.44969364083475216,0.1714720596613188,0.8863940654190664,1.0609140895854934,0.09835390946502057,0.08724279835390945,0.09547325102880658,0.06666666666666665
63,63,0.7736625514403292,0.7704323894800086,0.7219047619047618,0.8153174603174603,0.8576067952628771,0.7968798441228473,0.1400645920242745,1.6781845973837048,1.2319951519487307,0.0777777777777778,0.06913580246913582,0.051440329218107025,0.037860082304526775
64,64,0.7942386831275721,0.793457165252037,0.7552380952380953,0.856904761904762,1.6573661409093547,0.8863306940781999,0.36849430381872467,0.9983512609292835,1.055723765755007,0.10123456790123461,0.07942386831275725,0.07736625514403296,0.05349794238683131
65,65,0.8024691358024691,0.7947493558559903,0.7514307228915662,0.8771084337349399,1.1700304890048194,0.057169549878577045,0.09917132301791703,2.314280951315857,1.3821047491349603,0.05720164609053498,0.05185185185185186,0.06419753086419755,0.03909465020576132
66,66,0.7695473251028807,0.7633417558008109,0.7342032967032968,0.8395026026604974,1.4046130217077428,0.13867562044431417,0.6065659064986425,1.643777528695392,1.5593347823165447,0.05925925925925929,0.0415637860082305,0.053086419753086464,0.04115226337448563
67,67,0.8024691358024691,0.7993259107778535,0.7692851824274014,0.8540580789277736,1.4712554247273653,0.6619829098236721,-0.23025576484900237,1.4741515116160997,1.2489900312370705,0.08230452674897118,0.08189300411522635,0.10864197530864197,0.06460905349794241
68,68,0.7530864197530864,0.7451447548913436,0.6950153374233129,0.8108128834355829,1.135170118075678,0.5113356763882125,0.4535378335767703,0.8940806024764295,1.9288275143511744,0.06049382716049383,0.05967078189300411,0.07407407407407408,0.05226337448559672
69,69,0.7736625514403292,0.7711028526394698,0.7382530120481927,0.8460090361445783,1.0207842387240422,0.11703829849245607,0.359202223857927,1.6040091567250996,2.050509732653164,0.05884773662551442,0.06172839506172841,0.06954732510288067,0.06255144032921812
70,70,0.7736625514403292,0.7578547021139812,0.6976226993865031,0.8275306748466258,2.0663543120756955,0.35506194246347716,0.4625818316874608,1.134420514411366,1.2843054871720188,0.0563786008230453,0.057201646090535,0.03744855967078194,0.046502057613168744
71,71,0.8065843621399177,0.799689867000656,0.7517366471133066,0.8638468663167644,1.738931589947293,0.7002794584275555,0.6779789635175697,1.7406212340325231,0.29265713045778985,0.08065843621399175,0.08724279835390944,0.05637860082304526,0.045679012345679025
72,72,0.7736625514403292,0.7703715101249384,0.7371967654986523,0.8480083857442348,1.1466242927825245,0.31184452018047076,0.39580402946983506,1.4751162281221193,1.6810774813305498,0.08271604938271605,0.06255144032921812,0.06502057613168727,0.046090534979423906
73,73,0.7695473251028807,0.7623421971528337,0.7160493827160495,0.8207590306355738,2.122770799251177,0.5019770083374309,-0.046406531700145574,0.9883755553481534,1.413000069357576,0.08395061728395066,0.07983539094650212,0.0761316872427984,0.058024691358024724
74,74,0.8024691358024691,0.7939773778613424,0.7507861635220126,0.8398472596585804,2.379103762014796,0.6162456026656749,-0.035063626690675614,1.248022102336908,0.7426229456778094,0.09176954732510288,0.0794238683127572,0.08024691358024692,0.05679012345679013
