,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_CO2_vd_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled
121,121,0.9227674979887369,0.922528358320547,0.9101783947383738,0.9728100809033233,2.2642970169828436,-0.020364984845617943,-0.7736010670012462,3.111716102347186,1.8867280067396326,0.09629927594529365,0.07707160096540629,0.06170555108608204,0.038535800482703095,0.01544650040225264,0.046983105390185,0.017699115044247815,0.01528559935639584,0.02984714400643602,0.004263877715205156,0.0013676588897827858,0.0007240547063555924
122,122,0.9219629927594529,0.921659084745754,0.9092555604943688,0.963441878185775,2.5425020485575267,-0.7156096140360807,-0.8908262925479828,2.7944100798700493,2.9181882953479072,0.11777956556717614,0.07111826226870474,0.0752212389380531,0.039501206757843875,0.013596138374899458,0.07272727272727272,0.01826226870474661,0.012711182622687067,0.03628318584070792,0.00482703137570395,-0.0003218020917135966,-0.002413515687851975
123,123,0.915526950925181,0.9150538157552736,0.8958541458541458,0.966194411648957,2.9289416948032705,-0.33983899875664547,-0.7258642359123396,3.281318484222118,1.4516617582909768,0.0973451327433628,0.06057924376508446,0.03942075623491548,0.038857602574416686,0.008125502815768315,0.04424778761061943,0.005551086082059542,0.017699115044247805,0.015446500402252627,-0.004424778761061954,-0.0015285599356395841,-0.000482703137570395
124,124,0.912308930008045,0.9118431986325473,0.8966153953350637,0.9567387252425662,2.889399030447614,-0.018066152575620588,-0.950821092358994,2.5225364955422735,2.155609909984701,0.10828640386162505,0.0757843925985519,0.06830249396621077,0.033226065969428745,0.029364440868865582,0.054223652453740924,0.010056315366049895,0.01777956556717618,0.024296057924376457,0.0011263073209975883,0.0001609010458567983,-0.0017699115044247816
125,125,0.9283990345937249,0.9282396431518797,0.9167399576671181,0.9708096603401875,2.7859478307185643,0.03634281325654482,-0.8781149684545475,2.4833902181839935,2.0290086817213013,0.10209171359613838,0.08149637972646824,0.05076427996781976,0.03250201126307323,0.0343523732904264,0.06090104585679805,0.01255028157683027,0.012228479485116673,0.023169750603378957,0.000482703137570395,-0.0006436041834271932,-0.00096540627514079
126,126,0.9235720032180209,0.9233885007015671,0.9096320346320346,0.9735668372032008,2.864312504531647,-0.5294534606177568,-0.7491441516849645,2.67506162957817,2.3978537858806805,0.09155269509251814,0.06693483507642799,0.04843121480289618,0.032421560740144816,0.005711987127916341,0.046983105390185,0.010217216411906694,0.009251810136765903,0.011102172164119083,-0.0022526146419951766,-0.0008045052292839916,-0.0012067578439259874
127,127,0.9219629927594529,0.9210541082815412,0.900484133633864,0.9723887466219803,2.567963644217858,-0.3562328145643301,-0.8183703006697554,2.5234213160737258,2.6394099185037985,0.09436846339501208,0.06106194690265485,0.045695897023330614,0.02928399034593726,0.014481094127111849,0.05454545454545452,0.00764279967819792,0.009814963797264698,0.016733708769107025,0.0003218020917135966,-0.00096540627514079,-0.0032984714400643655
128,128,0.910699919549477,0.9104428192959637,0.8960748271798209,0.960329047275627,2.3384950069667974,-0.17218868027654693,-0.9625747316110327,2.9855232220380903,2.4409114461722567,0.1032984714400643,0.06677393403057119,0.07047465808527756,0.046339501206757804,0.015526950925181004,0.04770716009654059,0.016572807723250184,0.016331456154464984,0.022284794851166478,0.002413515687851975,0.0017699115044247816,0.0002413515687851975
129,129,0.917940466613033,0.9178388322540524,0.9061970605072844,0.9698836353440118,2.3917606665134814,0.1906876582189094,-0.6986279077008992,2.955783233169496,1.5432265916347965,0.10426387771520511,0.0666130329847144,0.05189058728881735,0.03258246178600155,0.013274336283185861,0.0300080450522928,0.013274336283185861,0.011665325824617878,0.009412711182622702,0.0037007240547063613,-0.0001609010458567983,0.0004022526146419958
130,130,0.916331456154465,0.9163867372808759,0.9045687014956438,0.9684517260860516,1.99304425822775,0.08115598676107723,-0.6974639954783438,3.233716927243789,1.7925603961406937,0.09597747385358002,0.07224456958970234,0.043443282381335435,0.03660498793242151,0.020997586484312138,0.05060337892196296,0.012952534191472265,0.01971037811745776,0.01713596138374902,-0.0003218020917135966,0.0016894609814963823,0.0004022526146419958
131,131,0.9219629927594529,0.921634629563021,0.9075829800707111,0.9663154561925031,2.954139922743175,0.17523471410446553,-0.7211879906678338,2.5873701357561756,1.4856600704615803,0.08326629123089302,0.06259050683829444,0.050201126307320966,0.03330651649235715,0.01335478680611426,0.03797264682220429,0.01713596138374902,0.009251810136765903,0.011423974255832681,0.0012067578439259874,0.0002413515687851975,-0.002493966210780374
132,132,0.9332260659694288,0.9330666610444706,0.9208663081861003,0.9747723767499747,2.5377476665722023,-0.4275721351298876,-0.9406843842890783,3.387805495737742,1.911866946881576,0.09847144006436044,0.07618664521319389,0.04867256637168138,0.027996781979082907,0.02276749798873696,0.045695897023330635,0.015044247787610644,0.015929203539823033,0.01255028157683027,0.0012872083668543865,0.0016894609814963823,0.0007240547063555924
133,133,0.911504424778761,0.9109790142558647,0.8963140584102494,0.9660163245626119,2.635324208877779,-0.2590721105008234,-0.8524626749970495,2.9318209596944698,2.1389176669637426,0.09670152855993559,0.06259050683829444,0.05213193885760255,0.0372485921158487,0.007079646017699126,0.05711987127916329,0.008286403861625113,0.008125502815768315,0.01673370876910698,-0.004022526146419958,-0.0014481094127111848,-0.000482703137570395
134,134,0.910699919549477,0.9108394127569251,0.9000815132628258,0.9637869237424298,2.5831948146545,-0.15029503592984214,-0.6842665141892974,2.7262802142163567,2.2126662222709728,0.10780370072405465,0.059613837489943665,0.04971842316975057,0.038374899436846285,0.010136765888978294,0.06363636363636363,0.006596942880128731,0.01407884151246983,0.024537409493161643,-0.002574416733708773,0.0014481094127111848,0.0014481094127111848
135,135,0.9219629927594529,0.921834466544427,0.9092187694109712,0.9732905034873196,2.6401103486390842,-0.1035286444478863,-0.9547183652231153,3.2037562548734377,1.7008581302794357,0.11190667739340301,0.07135961383748994,0.050844730490748155,0.029364440868865627,0.025422365245374123,0.03644408688656472,0.01255028157683027,0.012711182622687067,0.02115848753016898,0.0015285599356395841,0.00096540627514079,0.0018503620273531806
136,136,0.911504424778761,0.910885073495553,0.8918875981422751,0.9665187851144449,2.7490857166500944,-0.10486141642571853,-0.3336491311693227,3.28423414013407,0.9776844231395699,0.09131134352373288,0.057924376508447284,0.03483507642799673,0.025261464199517237,0.023008849557522082,0.027996781979082796,0.004424778761061954,0.009895414320193096,0.007964601769911516,-0.001045856798069189,-0.0031375703942075673,-0.0016090104585679832
