,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_CO2_fd1_scaled
33,33,0.9300080450522928,0.9297347688521977,0.9151733254994124,0.9750713446365621,2.580754409642232,-0.08576399672454543,-0.8383051896942043,3.5254963640604027,1.2300557047719642,0.15671761866452133,0.08873692679002416,0.07457763475462591,0.1081255028157683,0.08720836685438457,0.04859211584875298,0.03660498793242156,0.05213193885760255
34,34,0.9227674979887369,0.9230301299625664,0.9136996321559514,0.9627640680782408,1.6781134809992586,-0.2554633079811972,-0.7429185388552308,3.571726782824181,2.21682599767703,0.16926790024135158,0.11230893000804502,0.07811745776347548,0.11520514883346737,0.07916331456154466,0.07787610619469028,0.053982300884955724,0.06331456154465002
35,35,0.9267900241351569,0.92663557282172,0.9159330143540669,0.9710192837465565,2.371768441666538,-0.2733565536279446,-0.6073996091741701,3.6553492397201133,1.5097299021450294,0.16967015285599357,0.1077232502011263,0.06814159292035397,0.0930812550281577,0.05969428801287206,0.07135961383748994,0.041029766693483474,0.06419951729686242
36,36,0.913113435237329,0.912727848395254,0.9003984629901208,0.9571012812205133,2.90986869161831,0.8378238131505538,-1.102990072661725,3.3026096866610226,0.543440073782168,0.14416733708769108,0.10434432823813349,0.10820595333869665,0.0904263877715205,0.08125502815768304,0.07160096540627514,0.0370072405470635,0.04465004022526142
37,37,0.9332260659694288,0.9328344001966716,0.9198446450269051,0.9716426546317191,2.385026315647919,-0.2110493307879749,-0.6058789884282821,3.011967333990971,1.9469722520218893,0.14851166532582463,0.09879324215607406,0.08801287208366856,0.09702333065164928,0.0765084473049075,0.06138374899436845,0.05205148833467414,0.06427996781979081
38,38,0.9324215607401448,0.9321996060501084,0.9198989363269395,0.9754559651138807,2.3862162209764857,-0.3477884298337784,-0.5663882794161497,3.0028615241115464,2.1726553809048217,0.14641995172968625,0.10490748189863237,0.09983909895414324,0.10265486725663722,0.08600160901045859,0.055028157683024916,0.03958165728077233,0.07280772325020113
39,39,0.918744971842317,0.9179137109144382,0.902718289433746,0.9664963520061157,2.100438538591494,-0.0010418852554682752,-0.7358122524706175,3.6600603704446,1.4849637704033556,0.1646017699115044,0.09058728881737732,0.07071600965406274,0.09485116653258245,0.08053097345132745,0.06283185840707964,0.04094931617055506,0.0473049074818986
40,40,0.9316170555108608,0.9317494077324524,0.9260002876456206,0.9661901337552135,3.0290053507171457,-0.5219879196594313,-0.5267032731701116,2.7845806211062145,2.016758989809125,0.1703137570394208,0.12011263073209973,0.11536604987932417,0.10683829444891393,0.06934835076427996,0.07055510860820595,0.0464199517296862,0.07095736122284795
41,41,0.9235720032180209,0.9232719013781537,0.9075771766146752,0.9646236326741352,2.6575212788450178,-0.3974140342114527,-0.7864947569038246,3.374751637816275,1.679978275326223,0.15229283990345938,0.0936444086886565,0.09211584875301691,0.09662107803700727,0.06427996781979081,0.0658085277554304,0.04778761061946899,0.0650844730490748
42,42,0.913917940466613,0.9131472691486929,0.8974794305863916,0.9654110191867629,2.1334522166056757,-0.03828424921822893,-0.2647601314661606,2.979048950763687,1.8206362665224902,0.13338696701528557,0.08986323411102172,0.07055510860820595,0.08077232502011264,0.0668543845534996,0.05832662912308928,0.04094931617055506,0.05140788415124695
