,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled
90,90,0.8559935639581657,0.8538939117392655,0.8254740838061576,0.8913996372430472,0.44326844699566104,0.03626789072279723,1.1141154237209974,1.899701589660729,2.5032252648304527,0.13539823008849555,0.10410297666934834,0.07353177795655672,0.0749798873692679
91,91,0.8744971842316975,0.8698181543206419,0.8243081931633207,0.9027521553023454,0.8772564496098582,-0.2266497029887874,0.9335555547171273,1.845031535089489,2.51565694116669,0.11794046661303303,0.10096540627514083,0.0749798873692679,0.0753821399839099
92,92,0.8704746580852776,0.8674079630633617,0.8303707556815125,0.9060106545174078,0.5641515229099999,0.1511696322335233,1.3701268589056987,1.7436850606396332,2.111267874867732,0.12268704746580854,0.08994368463395015,0.07304907481898633,0.07666934835076429
93,93,0.8736926790024135,0.8717591272098043,0.8477290223248652,0.9174379152054286,0.9319056049427895,-0.16646281960146156,1.1811959635553997,1.592643210458704,2.398412165704746,0.12727272727272726,0.09509251810136769,0.07618664521319389,0.07972646822204346
94,94,0.8503620273531778,0.8491266770550012,0.8217777528646786,0.895667874296369,0.7090035819056419,-0.07582376926839293,1.2151679910751738,1.9322209803812915,2.2722634110148845,0.11769911504424775,0.0924376508447305,0.06854384553499597,0.06902654867256637
95,95,0.8495575221238938,0.8458303810750295,0.8127829713792607,0.9031180785272545,0.5126434517603342,-0.20686442441708563,1.2449260112860134,2.025052023189913,2.4911333975368106,0.1125502815768302,0.08374899436846342,0.06436041834271922,0.07168141592920355
96,96,0.8592115848753017,0.8561886916825974,0.8197027350518964,0.9011052158326932,0.8459216408591753,-0.35295455375872353,1.858266474132464,1.79766067360002,2.050469084882707,0.11279163314561542,0.08600160901045859,0.07184231697506034,0.06838294448913917
97,97,0.8584070796460177,0.8564588569535526,0.8280174780647951,0.9021648966621103,0.05062113216677032,-0.19390047303995808,1.0856069458480342,2.1466031718168876,2.8827974092885897,0.1246178600160901,0.0931617055510861,0.07031375703942075,0.0761061946902655
98,98,0.8616251005631537,0.8577249317728647,0.8195497804885234,0.8910427531748136,0.41734081349245994,0.0060276802697162984,1.7031348577411223,1.9094633910247274,1.9345744628381134,0.12775543041029763,0.08777152051488338,0.06942880128720837,0.07465808527755431
99,99,0.8479485116653258,0.8447097544072015,0.8107223081186732,0.8984480294057586,0.7585547068941982,-0.03610273727832575,1.1725563137746746,1.7157199092694613,2.4619557384918074,0.10868865647626706,0.07835880933226066,0.06814159292035397,0.06170555108608204
100,100,0.8584070796460177,0.8533953925141112,0.8154255319148935,0.8944819235426398,0.8654481224390529,-0.24119260813277432,1.190240081918494,1.728283762784818,2.542054888768212,0.11415929203539821,0.08793242156074017,0.0663716814159292,0.07087691069991955
101,101,0.8648431214802896,0.8610125572772744,0.8228796657973306,0.8881005204215298,1.2408023559080341,-0.21168293232440002,1.3823785378193867,1.3008326290653338,2.3810819678400397,0.12043443282381334,0.08857602574416737,0.06669348350764279,0.07208366854384554
102,102,0.8640386162510056,0.8606561320624567,0.826110195927237,0.8972462701389132,1.412719992797967,-0.03020754363227073,1.369559672144682,0.808915857549818,2.4388386858965485,0.11987127916331455,0.07642799678197909,0.0751407884151247,0.06331456154465002
103,103,0.8527755430410298,0.8486700088257768,0.8026195063767319,0.8864268893170627,0.5534840012087008,0.1162222278657882,1.5173008344777665,1.7820273511374842,2.0443567341505373,0.10820595333869669,0.07948511665325826,0.048511665325824585,0.07127916331456155
104,104,0.8584070796460177,0.8565740297565099,0.8240622335890878,0.9045933743981365,0.8665506459685296,-0.08938030127156937,1.0509270522924254,1.5976275553285801,2.6374126809065848,0.12268704746580852,0.09147224456958973,0.06669348350764279,0.06991150442477875
105,105,0.8559935639581657,0.8541237152804234,0.8248577524893315,0.8789220930369255,0.39265689849171226,-0.07889242032934,1.4061756856036574,2.005844136936181,2.3780866964667102,0.12815768302493963,0.10152855993563958,0.07200321802091714,0.08020917135961385
106,106,0.8527755430410298,0.8481201304908527,0.8084121453459433,0.9038913126226102,0.7339054713707112,-0.0870959184765512,1.694893245759809,1.412234944795086,2.27014802350843,0.11134352373290421,0.06757843925985518,0.054143201930812526,0.04770716009654059
107,107,0.8487530168946098,0.8454528381787226,0.8126071668558983,0.8831070278286257,0.6118455171524037,-0.24019252805599023,0.988613331245452,1.550758788656645,3.169886622750189,0.13869670152855992,0.09750603378921964,0.06395816572807722,0.07835880933226066
108,108,0.8600160901045857,0.8554066849423798,0.817147823458283,0.8928268300623198,0.23016198320439774,-0.017485561749910773,1.1188774957796397,1.9167253266352173,2.675821516832142,0.11898632341110216,0.09002413515687854,0.07007240547063556,0.07296862429605792
109,109,0.8576025744167337,0.85348543660732,0.816794715092253,0.8964495663814679,0.5850255739781677,0.027189506556502208,1.49033869884378,1.4431435597153086,2.4165919177608965,0.1156074014481094,0.08294448913917943,0.06218825422365244,0.07449718423169752
