,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd3_scaled
83,83,0.909895414320193,0.9092056718009788,0.8918308452511599,0.9636920003948416,0.7854564092424736,-0.054074905062164946,-0.7266593660968961,4.499859914782424,2.017910683647379,0.06347546259050682,0.055028157683024916,0.04465004022526142,0.029766693483507578,0.04328238133547864,0.024698310539018442,0.01415929203539822,0.011665325824617856,0.008045052292839916,0.0008045052292839916,-0.0006436041834271932,-0.0014481094127111848
84,84,0.9300080450522928,0.9300886652163517,0.9175934741215164,0.9726779841242364,1.6137044887880934,-0.37862274630849013,-0.7310789869778488,3.8926279149385965,2.1901850751479652,0.07642799678197909,0.05494770716009652,0.052855993563958134,0.03925985518905871,0.05543041029766691,0.04014481094127111,0.02461786001609014,0.012872083668543866,0.020756234915526982,0.0018503620273531806,0.002011263073209979,0.006757843925985529
85,85,0.917940466613033,0.9180753194461541,0.9107056757129082,0.9698994351839096,0.5597793082527844,-0.37937728033696994,-0.22322324975085894,4.699267122522165,1.9712969582103308,0.05430410297666932,0.04271922767497984,0.032180209171359574,0.037731295253419096,0.033226065969428745,0.028640386162510013,0.009332260659694303,0.00764279967819792,0.0059533386967015375,-0.004344328238133554,-0.004344328238133554,-0.003539823008849563
86,86,0.917135961383749,0.9171108362992447,0.9064381158837549,0.9681386689043898,1.5381988810357488,0.018213107838078314,-0.3802304441105357,3.6949641629626933,1.7591804656055317,0.0563958165728077,0.04987932421560737,0.042638777152051444,0.05728077232502009,0.037489943684633896,0.03547868061142392,0.025663716814159264,0.0074014481094127225,0.011343523732904282,-0.0008045052292839916,-0.0001609010458567983,0.0
87,87,0.9219629927594529,0.9215079617073743,0.9051747116768648,0.9683866343642082,1.6184801614528115,-0.18214754611974165,-0.42423861886903463,3.98898068814127,1.6394301413195747,0.066130329847144,0.04875301689460978,0.041512469831053854,0.036122284794851134,0.025422365245374112,0.0312952534191472,0.01721641190667742,0.006275140788415135,0.008769106999195508,-0.0016090104585679832,-0.001045856798069189,0.0002413515687851975
88,88,0.9227674979887369,0.9226712703839608,0.9115285186224967,0.974461327905671,0.9780306302566648,-0.2619459471005411,-0.5837769746524536,4.455413972940968,1.9663221327945373,0.06065969428801286,0.049396621078036974,0.035156878519710354,0.050201126307320966,0.034111021721641176,0.03942075623491548,0.02292839903459375,0.007884151246983117,0.01343523732904266,0.0004022526146419958,-0.004183427192276756,-0.004022526146419958
89,89,0.9219629927594529,0.9221236789539589,0.9143821663465457,0.9692654676677726,1.7142487338858576,-0.27651798623047497,-0.3984511759973403,4.156828382553065,1.4349633097193553,0.07731295253419149,0.052775543041029736,0.03563958165728074,0.046339501206757804,0.045374094931617016,0.03161705551086082,0.024698310539018543,0.009090909090909104,0.014481094127111849,0.0008849557522123908,0.0015285599356395841,0.0037007240547063613
90,90,0.9300080450522928,0.9297254673878466,0.9175338340619477,0.9700580178588039,1.8277206810258382,-0.24307802657793973,-0.5383826064602218,3.710010821445473,1.86570285902751,0.061625100563153644,0.04786806114239739,0.036685438455349974,0.0405470635559131,0.04400643604183424,0.04633950120675782,0.030168946098149674,0.007803700724054718,0.006999195494770727,0.0041029766693483575,-0.0004022526146419958,0.0017699115044247816
91,91,0.9340305711987128,0.9334871269084883,0.9154458310725266,0.9746427925483813,1.0204043810121353,-0.20356626196648162,-0.7209181262312804,4.320159542448258,2.0999135502777397,0.07015285599356395,0.05390185036202734,0.04778761061946899,0.03177795655671767,0.053338696701528535,0.03588093322606599,0.017538213998391016,0.009734513274336299,0.012228479485116673,0.0001609010458567983,-0.0005631536604987942,0.002413515687851975
92,92,0.9283990345937249,0.9285190318319367,0.9190208845282297,0.9709541831835603,1.859587835207601,-0.1982009213360342,-0.6113427613210085,4.15038777633743,1.4424627789016335,0.08149637972646824,0.06516492357200321,0.04400643604183424,0.03845534995977473,0.04489139179404663,0.044569589702333025,0.022445695897023367,0.016894609814963824,0.012148028962188273,0.0014481094127111848,0.0012872083668543865,0.002574416733708773
