,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled
122,122,0.6611977030352748,0.715368711233632,0.6787109956428784,0.8101512814267543,0.08203445447087765,0.006726825266611947,0.015340442986054081,0.016899097621000836
123,123,0.6579163248564397,0.7114186851211073,0.6750507428757002,0.6165448837649861,0.17153404429860541,0.010582444626743293,0.02797374897456939,0.015668580803937515
124,124,0.660377358490566,0.7152682255845942,0.6780668994073232,0.6867554328705584,0.11263330598851518,0.008695652173912993,0.027727645611156593,0.02075471698113207
125,125,0.6546349466776046,0.7086505190311418,0.6717517793835079,0.6969500148845769,0.1049220672682527,0.007547169811320753,0.009105824446267397,0.02608695652173909
126,126,0.6636587366694011,0.7187928669410151,0.6816067224161728,0.6805377391680875,0.1651353568498769,0.017965545529122218,0.011648892534864563,0.010500410172272434
127,127,0.6620180475799836,0.7162534435261708,0.6795959513950908,0.7672133365808774,0.040771123872026305,0.011730926989335644,0.012715340442986056,0.03445447087776865
128,128,0.6694011484823625,0.7241615331964408,0.6875605531650023,0.7938431977483695,0.10926989335520909,0.01312551271534046,0.023954060705496216,0.026579163248564353
129,129,0.6636587366694011,0.7168508287292817,0.6810045736245298,0.65042488701253,0.15455291222313372,0.008777686628383852,0.017637407711238673,0.029532403609515923
130,130,0.6570959803117309,0.7121212121212122,0.6746475061568022,0.6501840274958729,0.1227235438884331,0.009680065627563517,0.016817063166529977,0.025840853158326516
131,131,0.6595570139458573,0.7139903514817367,0.6770615138967822,0.7674636681009985,0.09474979491386393,0.006808859721082805,0.017063166529942664,0.020590648072190354
132,132,0.6652994257588187,0.720164609053498,0.683256204162269,0.7623893805309734,0.10106644790812147,0.015340442986054192,0.012059064807219078,0.04085315832649716
133,133,0.6628383921246924,0.7163561076604554,0.680240047630646,0.6332061378582448,0.10180475799835931,0.01771944216570953,0.018703855619360277,0.015832649712879343
134,134,0.6628383921246924,0.7183002056202878,0.680842196422289,0.7527157587074775,0.0850697292863003,0.023954060705496327,0.01968826907301069,0.011648892534864674
135,135,0.6620180475799836,0.7166437414030261,0.6797163811534194,0.6968688262834564,0.10237899917965543,0.007054963084495491,0.027727645611156704,0.02091878589007401
136,136,0.6562756357670222,0.7100346020761246,0.6734012611296041,0.5568820870883061,0.17071369975389666,0.002214930270713733,0.017145200984413522,0.013043478260869601
137,137,0.667760459392945,0.7227926078028748,0.6859110714189061,0.7026413358231172,0.1384741591468418,0.02149302707137002,0.02387202625102547,0.023133716160787632
138,138,0.660377358490566,0.7136929460580913,0.6775851803740088,0.7300614327081811,0.13027071369975385,0.010828547990155757,0.012715340442985945,0.02387202625102547
139,139,0.6341263330598852,0.6907073509015257,0.6509526129198128,0.6782874617737003,0.13699753896636596,0.02075471698113207,0.010992616899097585,0.004429860541427355
140,140,0.7481542247744053,0.7686510926902789,0.758666883169603,0.8424156315120023,0.021903199343724422,0.0351927809680066,0.03437243642329779,0.03798195242001656
141,141,0.6669401148482362,0.7222982216142271,0.6851465454250223,0.6843684879976184,0.1653814602132896,0.00590648072190314,0.011730926989335533,0.029860541427399467
142,142,0.6611977030352748,0.7173169062286106,0.6793131444345214,0.5116857459879299,0.16611977030352748,0.009680065627563628,0.01771944216570953,0.028712059064807116
143,143,0.6702214930270713,0.7246575342465753,0.6883250791588861,0.789104489729642,0.18113207547169807,0.010582444626743182,0.021903199343724422,0.051435602953240345
144,144,0.6538146021328958,0.7097661623108665,0.6714689724229386,0.6136017969743716,0.1421657095980312,0.023543888433141813,0.02190319934372431,0.0061525840853157154
145,145,0.6611977030352748,0.714975845410628,0.6785905658845498,0.6457971367486672,0.18244462674323203,0.009433962264150941,0.026415094339622525,0.0206726825266611
146,146,0.6652994257588187,0.71939477303989,0.6830153446456118,0.8239398121837027,0.112797374897457,0.010008203445447172,0.02075471698113207,0.032403609515996745
147,147,0.6751435602953241,0.7302452316076294,0.693755243430489,0.6593055668317501,0.11205906480721906,0.01911402789171457,0.028465955701394652,0.028383921246923793
148,148,0.6628383921246924,0.7167470709855273,0.6803604773889746,0.7871911450299045,0.02255947497949151,0.013535684987694863,0.02452830188679256,0.02206726825266625
