,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
53,53,0.9163281884646629,0.9102005231037489,0.9169018576098222,0.9502165882696856,-0.0005686433793663515,0.11559707554833465,0.1374492282696994,0.03208773354995953,0.0012185215272136896,0.010235580828594548,0.021933387489845635,0.007636068237205529
54,54,0.9268887083671812,0.9226804123711341,0.9286746923915066,0.9534348507799835,0.0034930950446790954,0.012185215272136452,0.10154346060113728,0.007392363931762902,0.005686433793663737,0.017384240454914823,0.03265637692932566,0.013566206336312114
55,55,0.9228269699431356,0.9183147033533964,0.9245183236333678,0.9635148422759041,-0.0004874086108854758,0.050528025995125736,0.07108042242079604,-0.0037367993501217223,0.003818034118602709,0.016571892770105512,0.03899268887083662,0.018521527213647415
56,56,0.9179528838342811,0.9127052722558341,0.9192085891200935,0.9564963193281777,-8.123476848098665e-05,0.0526401299756295,0.023314378554021187,-0.001543460601137192,-0.001137286758732814,0.0012997562956944542,0.050771730300568696,-0.0007311129163281027
57,57,0.9228269699431356,0.9168853893263342,0.9231762736187515,0.9552911318398044,0.003086921202274495,0.0534524776604387,0.03484971567831019,0.002437043054427268,0.0021121039805036546,0.006580016246953702,0.04589764419171405,0.014134849715678244
58,58,0.9236393176279447,0.919931856899489,0.9260743043928885,0.950232533418374,0.006904955320877204,0.009098294069861956,0.046547522339561276,0.04865962632006493,0.002924451665312744,0.023314378554021076,0.03761169780666118,0.011941510966693603
59,59,0.9220146222583265,0.916955017301038,0.9232307528767706,0.9500624518323634,8.123476848087563e-05,0.00519902518277815,0.013484971567831239,0.03160032493907394,-0.0010560519902519383,0.011616571892769989,0.016084484159220147,0.013728675873273866
60,60,0.9277010560519903,0.9234737747205503,0.9294254431422573,0.9582476281591326,0.00016246953696186228,0.028107229894394625,0.04784727863525573,0.022339561332250124,0.003818034118602709,0.04321689683184404,0.02965069049553215,0.00722989439480104
61,61,0.9244516653127539,0.9203084832904884,0.9264224401392542,0.954295888809163,0.00560519902518275,0.04102355808285951,0.07522339561332247,0.01267262388302215,0.005117790414297385,0.01746547522339581,0.01364744110479299,0.007148659626320164
62,62,0.9260763606823721,0.921619293712317,0.9276555316378325,0.9556910893194079,0.004386677497969282,0.07969130787977252,0.04524776604386693,0.00243704305442749,0.007229894394801151,0.021770917952883773,0.013809910641754741,0.010479285134037397
63,63,0.9293257514216084,0.9255774165953806,0.9314637646496053,0.9611496452204417,0.010560519902518162,0.032575142160844894,0.08529650690495538,0.018683996750609277,0.008529650690495383,0.0689683184402925,0.044597887896019484,0.0050365556458162875
