,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled
126,126,0.8491343775762572,0.8307123034227567,0.8456476018791652,0.8783704796241669,0.0002473206924979987,0.0649629018961253,0.06826051112943121,0.05498763396537509
127,127,0.832646331409728,0.8142726440988106,0.82976209985797,0.8528679121599475,-0.002555647155811913,0.031657048639736174,0.06067600989282773,0.05053586150041223
128,128,0.8441879637262985,0.8225352112676056,0.839771113296187,0.8705397137550529,-0.00915086562242362,0.05218466611706518,0.12563891178895303,0.02852431986809567
129,129,0.843363561417972,0.8197343453510436,0.8383194034742707,0.8645089041844203,-0.0012366034624896605,0.03173948887056888,0.061088211046990804,0.1130255564715581
130,130,0.8400659521846661,0.8183520599250936,0.8357997377908882,0.8704768928220256,-0.0044517724649630885,0.03520197856553986,0.06636438582028026,0.0822753503709811
131,131,0.8384171475680132,0.8168224299065421,0.834256527914345,0.8807112422156671,-0.0029678483099752073,0.01912613355317405,0.06438582028029682,0.09876339653751032
132,132,0.8202802967848309,0.7996323529411765,0.8170545176444881,0.8390391128591718,-0.005276174773289344,0.025886232481450944,0.08713932399010715,0.06677658697444344
133,133,0.8400659521846661,0.8203703703703704,0.8364798426745329,0.8660685021304491,-0.00016488046166518444,0.07419620774938163,0.06793075020610051,0.035943940643033745
134,134,0.8532563891178895,0.8348794063079777,0.8496189773844641,0.8759996722386103,0.0020610057708160268,0.05136026380873848,0.11096455070074196,0.05226710634789766
135,135,0.8375927452596867,0.8184331797235023,0.834278378673659,0.8733857751556866,-0.007337180544105371,0.05704863973619134,0.11434460016488057,0.01937345424567183
136,136,0.8441879637262985,0.823199251637044,0.8399978149240686,0.8723505954331913,0.006183017312448524,0.0311624072547404,0.12184666117065135,0.028524319868095782
137,137,0.832646331409728,0.8132474701011959,0.8294220474161478,0.861236752977166,-0.007996702390766663,0.06941467436108828,0.045919208573784065,0.045919208573783954
138,138,0.8351195383347073,0.8076923076923077,0.8292431443242653,0.8673713536545395,-0.002555647155812135,0.04938169826875505,0.04723825226710632,0.06949711459192087
139,139,0.8483099752679307,0.828996282527881,0.8445359444990713,0.8703403255763138,0.006018136850783118,0.04039571310799672,0.13330585325638922,0.051112943116240594
140,140,0.8301731244847486,0.8030592734225621,0.8246135146946356,0.8589287665246368,-0.00214344600164873,0.05325638911788955,0.07469084913437762,0.05061830173124493
141,141,0.8499587798845837,0.8295880149812734,0.8457391019337922,0.8704987435813394,0.0018961253091508423,0.10461665292662825,0.07592745259686728,0.05284418796372625
142,142,0.8425391591096455,0.8216619981325863,0.8384546050475254,0.8832322735715066,-0.0007419620774938851,0.02456718878812869,0.043528441879637225,0.11220115416323162
143,143,0.8532563891178895,0.8363970588235294,0.8501857314541681,0.8745711788484649,0.002061005770816249,0.06446826051112942,0.11698268755152508,0.06191261335531728
144,144,0.8474855729596042,0.8294930875576036,0.8442177428165629,0.8736589096471102,0.0027205276174773196,0.043198680956306634,0.1061830173124485,0.061747732893652096
145,145,0.8276999175597691,0.804490177736202,0.8234322080192287,0.8626488582978258,-0.00568837592745286,0.035943940643033745,0.12877164056059354,0.06553998351195378
146,146,0.8392415498763397,0.8158640226628895,0.8344613787829127,0.8691439965038785,-0.0017312448474855469,0.030585325638911698,0.07675185490519376,0.07609233305853258
147,147,0.832646331409728,0.8034849951597289,0.8263615754397465,0.8851469463563858,-0.004616652926628162,0.08985985160758458,0.05976916735366866,0.040148392415498835
148,148,0.8384171475680132,0.8171641791044776,0.8343698787282858,0.8778624494701192,-0.004781533388293346,0.06117065127782362,0.05358615004122025,0.04031327287716413
149,149,0.8351195383347073,0.8084291187739464,0.8294698459521468,0.8708975199388178,-0.0017312448474856579,0.013849958779884486,0.13190436933223415,0.0685902720527618
150,150,0.8367683429513603,0.8156424581005587,0.8328266688517425,0.8720747295968534,-0.0011541632316570682,0.03437757625721338,0.041714756801319086,0.06718878812860674
151,151,0.8103874690849134,0.7916666666666666,0.8080219600131104,0.8498251939254888,-0.019455894476504643,0.0044517724649628665,0.034377576257213494,0.061747732893652096
152,152,0.8400659521846661,0.8148854961832062,0.8346662296514804,0.8671036818529444,0.0015663643858201404,0.058037922506183004,0.10197856553998352,0.05152514427040389
153,153,0.8252267106347898,0.8069216757741348,0.8225909537856441,0.8611397902327106,-0.005688375927452638,0.023248145094806327,0.04921681780708986,0.048062654575432795
154,154,0.8425391591096455,0.8219944082013048,0.8385679558614662,0.8624740522233147,0.002802967848309912,0.04295136026380875,0.09727947238252266,0.05152514427040389
155,155,0.8474855729596042,0.8282265552460538,0.8437643395607997,0.8739293127936196,0.0033800494641385015,0.05581203627370157,0.1159934047815333,0.02250618301731233
156,156,0.8276999175597691,0.8022705771050141,0.822752103135584,0.8592046323609747,-0.001401483924155067,0.019785655399835123,0.09365210222588627,0.0891178895300907
