,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled
36,36,0.874487284659557,0.8615384615384616,0.8723092744445347,0.9275743552271927,-0.0028712059064808226,0.01903199343724371,0.0792452830188679,0.06759639048400323
37,37,0.8728465955701394,0.8612354521038496,0.87138237124841,0.9362236475332196,-0.005086136177194445,0.010336341263330606,0.09171452009844139,0.09737489745693195
38,38,0.8794093519278097,0.8676867686768677,0.877619008957809,0.9318124002056777,-0.0004922067268253727,0.039458572600492126,0.06677604593929454,0.062182116488925354
39,39,0.8679245283018868,0.8606060606060606,0.8687220914183649,0.9233823171226759,0.004593929450369294,0.027153404429860584,0.06817063166529946,0.03929450369155041
40,40,0.8679245283018868,0.8576480990274093,0.8672769343184217,0.9298043354712998,-0.0021328958162428746,0.016488925348646433,0.0546349466776046,0.08720262510254306
41,41,0.874487284659557,0.8663755458515284,0.8747178696111066,0.9275175232064083,0.005086136177194556,0.0333059885151763,0.03921246923707955,0.043068088597210785
42,42,0.8572600492206727,0.851027397260274,0.8587832534978755,0.9224865362236475,0.0031993437243642564,0.006808859721082805,0.03511074651353574,0.08580803937653803
43,43,0.8695652173913043,0.8579088471849866,0.8682038375145462,0.9338881221076559,-0.006972928630024633,0.05684987694831811,0.06603773584905659,0.04741591468416739
44,44,0.8712059064807219,0.8601959038290294,0.8700941787772997,0.9315065898081243,-0.011566858080393705,0.035520918785890254,0.07998359310910585,0.049630844954881126
45,45,0.8654634946677605,0.8593481989708405,0.8669102324700279,0.9299883629671728,0.0027071369975389947,0.03625922887612809,0.07760459392945052,0.02378999179655472
46,46,0.8859721082854799,0.8742081447963801,0.8838556466672078,0.9328867960271711,0.008449548810500418,0.021328958162428302,0.05545529122231341,0.10344544708777692
47,47,0.8630024610336341,0.8556611927398444,0.863894075938405,0.9257746745690238,-0.002789171452009742,-0.0022969647251845915,0.04708777686628385,0.058490566037735836
48,48,0.8712059064807219,0.8638334778837814,0.8719006251522287,0.9311141782360424,-0.0033634126333060843,0.026415094339622636,0.03232157506152589,0.06611977030352756
49,49,0.8531583264971287,0.8466152527849186,0.8545993342534708,0.9215041541500906,-0.0010664479081214928,0.014438063986874305,0.06497128794093521,0.06513535684987692
50,50,0.8720262510254306,0.8645833333333334,0.8726651511461124,0.930838136992233,-0.006480721903199482,0.03035274815422473,0.04626743232157493,0.06800656275635752
51,51,0.8785890073831009,0.8666666666666667,0.8767340532055965,0.9337906957863117,-0.005824446267432282,0.021493027071369908,0.0780147662018047,0.06948318293683342
52,52,0.8826907301066448,0.8740088105726872,0.8823631295499446,0.9349354550621092,-0.0021328958162428746,0.041591468416735,0.08269073010664485,0.07514356029532399
53,53,0.8630024610336341,0.852603706972639,0.8624489188384618,0.9369354009363752,-0.015422477440525162,0.012141099261689825,0.08638228055783437,0.0562756357670221
54,54,0.8777686628383922,0.8694127957931639,0.8777759735866417,0.9334442910881979,-0.001640689089417502,0.025266611977030506,0.05176374077112389,0.06546349466776047
