,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
80,80,0.7877551020408163,0.8050974512743628,0.7994636631804772,0.9203191204076159,0.020000000000000018,0.06375510204081636,0.0770612244897958,0.09012244897959187,-0.08620408163265314,0.06685714285714284,0.06734693877551023,0.06832653061224503
81,81,0.92,0.9162393162393162,0.9220635559131134,0.9575006704210244,0.056816326530612304,0.014857142857142902,0.00310204081632659,0.003673469387755146,0.0660408163265307,0.009551020408163136,0.03314285714285725,-0.001959183673469256
82,82,0.8971428571428571,0.895,0.9009788146956288,0.9611906677393404,0.04685714285714293,0.01053061224489793,0.003836734693877575,0.023183673469387656,0.007836734693877467,0.0011428571428570011,0.06816326530612249,0.0022040816326530654
83,83,0.9322448979591836,0.927637314734089,0.9329176722982033,0.963703405738804,0.03771428571428592,0.003183673469387749,0.023183673469387656,0.005551020408163132,0.07648979591836724,0.018448979591836667,0.10089795918367339,0.005714285714285672
84,84,0.9224489795918367,0.9171752397558849,0.9230624832394744,0.9609680879592384,-0.007591836734694102,0.013877551020408108,0.005632653061224513,0.004816326530612147,0.0022857142857142243,0.015755102040816316,0.004734693877550877,0.035102040816326396
85,85,0.8595918367346939,0.8619582664526485,0.866130329847144,0.9524242424242424,-0.012653061224489837,0.0034285714285714475,0.035673469387755063,0.01510204081632649,-0.05902040816326515,0.019755102040816208,0.09836734693877536,0.059755102040816355
86,86,0.9306122448979591,0.9266609145815358,0.9320394207562349,0.9706704210244034,0.046040816326530565,0.05004081632653057,0.017551020408163254,0.009714285714285786,0.017142857142857015,0.0408163265306124,-0.0027755102040816215,0.06587755102040815
87,87,0.9306122448979591,0.9267872523686477,0.9321668007508715,0.9645293644408689,0.0372244897959183,0.015265306122448918,0.011510204081632613,0.008734693877550881,0.05289795918367335,0.04040816326530605,0.009551020408163247,0.009795918367347056
88,88,0.7208163265306122,0.7584745762711864,0.7373424510592652,0.9308795923840171,0.03289795918367344,0.008571428571428563,0.03428571428571425,0.03208163265306119,-0.004979591836734798,0.03355102040816327,0.0008163265306122547,0.044489795918367214
89,89,0.92,0.9153713298791019,0.9212992759452936,0.9545186377044784,-0.0058775510204081005,0.011836734693877471,0.014122448979591806,0.007591836734693991,-0.012734693877550884,0.02693877551020407,0.10383673469387766,0.011346938775510074
90,90,0.9404081632653061,0.9365768896611643,0.9413850898364173,0.9652051488334674,0.008081632653061277,0.019346938775510303,0.010367346938775501,0.012408163265305916,-0.0009795918367346834,0.013959183673469377,0.01502040816326533,0.04759183673469369
