,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled
66,66,0.8007968127490039,0.7474747474747475,0.8015449822258682,0.8938337435056056,-0.007569721115537775,0.12788844621513928,0.11593625498007953,0.08844621513944206
67,67,0.8127490039840638,0.7589743589743589,0.8109789444900192,0.9055920153130982,0.13466135458167328,0.10756972111553786,0.09083665338645419,0.05617529880478089
68,68,0.8406374501992032,0.8095238095238095,0.8581829368334701,0.920153130981679,0.08924302788844618,0.17609561752988045,0.19243027888446207,0.18366533864541834
69,69,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9227508887065902,0.052191235059760976,0.24780876494023896,0.2713147410358565,0.26454183266932274
70,70,0.8725099601593626,0.8279569892473119,0.86501914137271,0.934235712332513,0.22390438247011935,0.20717131474103578,0.20517928286852583,0.18406374501992018
71,71,0.8884462151394422,0.8556701030927835,0.8913385288487832,0.9359447634673229,0.07450199203187258,0.24143426294820713,0.2581673306772908,0.247410358565737
72,72,0.8645418326693227,0.8425925925925926,0.890791632485644,0.930612523926716,0.028286852589641365,0.3111553784860558,0.30597609561753003,0.3035856573705179
73,73,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9283565764287667,0.08486055776892432,0.26533864541832675,0.3151394422310757,0.2856573705179284
74,74,0.8366533864541833,0.7939698492462312,0.8412975116215478,0.9261689909762101,0.02948207171314743,0.149402390438247,0.144223107569721,0.1741035856573705
75,75,0.8247011952191236,0.7821782178217822,0.8318635493573968,0.9215203718895268,0.026294820717131517,0.11832669322709155,0.13545816733067728,0.12589641434262944
76,76,0.8844621513944223,0.8625592417061612,0.9065149029258955,0.9140005468963631,0.15219123505976084,0.2820717131474103,0.293625498007968,0.32231075697211153
77,77,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9319114027891714,0.30239043824701206,0.3334661354581674,0.33545816733067746,0.33545816733067724
78,78,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9325950232430955,0.2880478087649402,0.3051792828685259,0.3179282868525898,0.3398406374501992
79,79,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9202214930270713,0.06175298804780882,0.3709163346613546,0.41992031872509966,0.4083665338645419
80,80,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.8992343450916052,0.008764940239043839,0.22629482071713147,0.20159362549800797,0.1310756972111553
81,81,0.8446215139442231,0.8097560975609757,0.8567473338802297,0.9038829641782882,0.0223107569721116,0.17529880478087645,0.16852589641434257,0.17609561752988045
82,82,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9078479628110473,0.015537848605577609,0.35258964143426297,0.37250996015936255,0.3565737051792829
83,83,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9258271807492481,0.04302788844621519,0.3318725099601594,0.3760956175298806,0.403585657370518
84,84,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9261006289308176,0.033466135458167345,0.3888446215139443,0.36334661354581665,0.35378486055776903
85,85,0.900398406374502,0.8717948717948718,0.9053527481542247,0.9401148482362591,0.03984063745019928,0.2187250996015936,0.24980079681274892,0.22669322709163342
86,86,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9238446814328685,0.14541832669322707,0.3629482071713147,0.3852589641434263,0.40597609561752995
87,87,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9389526934645884,0.056175298804781004,0.24462151394422305,0.23824701195219122,0.24223107569721114
88,88,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9083264971287941,0.2657370517928286,0.27689243027888444,0.31713147410358566,0.2928286852589641
89,89,0.7888446215139442,0.6666666666666666,0.7440183210281652,0.7990839485917418,0.0023904382470119057,0.052191235059760865,0.06932270916334649,0.08844621513944206
90,90,0.8326693227091634,0.79,0.8381528575334974,0.9088050314465409,0.02948207171314743,0.20836653386454185,0.21633466135458168,0.2211155378486055
91,91,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9220672682526662,0.27848605577689245,0.30159362549800806,0.3338645418326692,0.34342629482071707
92,92,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9242548537052229,0.21235059760956176,0.23107569721115528,0.25537848605577684,0.23545816733067726
93,93,0.8645418326693227,0.8380952380952381,0.883921246923708,0.9302707136997539,0.10756972111553786,0.2334661354581673,0.18247011952191228,0.18247011952191228
94,94,0.852589641434263,0.8262910798122066,0.874487284659557,0.9131802023516543,0.03426294820717135,0.3298804780876493,0.3701195219123507,0.37768924302788837
95,95,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9225458025704129,0.2641434262948207,0.30159362549800794,0.3203187250996016,0.3505976095617529
