,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
53,53,0.8560311284046692,0.7612903225806451,0.8085309617918313,0.9606060606060607,0.11322957198443573,0.026459143968871612,0.03307392996108949,0.046692607003890996,0.00894941634241242,-0.003112840466926281,0.020622568093385252,0.021400778210116767
54,54,0.8715953307392996,0.7975460122699386,0.8350790513833992,0.9627799736495388,0.05797665369649807,0.026070038910505855,0.0058365758754862496,0.0038910505836574627,0.014396887159532912,-0.005447470817120714,0.014396887159533134,0.006614785992217986
55,55,0.8832684824902723,0.8295454545454546,0.8634057971014493,0.9650856389986825,0.04357976653696494,0.00428015564202322,0.0284046692607004,0.005447470817120492,0.0311284046692607,-1.1102230246251565e-16,0.007003891050583522,0.00428015564202322
56,56,0.8404669260700389,0.7354838709677419,0.791600790513834,0.9621870882740449,0.14435797665369654,-0.008560311284046662,-0.010894941634241206,0.005836575875486361,-0.004280155642023331,0.02101167315175101,1.1102230246251565e-16,-0.009727626459143934
57,57,0.8482490272373541,0.7450980392156863,0.79766139657444,0.966798418972332,0.04280155642023342,0.006614785992217875,0.011284046692606964,0.0046692607003890885,0.021400778210116767,-0.0019455252918287869,0.00739299610894939,0.012451361867704347
58,58,0.8871595330739299,0.8242424242424242,0.8544137022397892,0.9672595520421607,0.10700389105058361,0.005447470817120492,0.009338521400778066,0.014007782101167154,0.021400778210116544,0.003112840466925948,0.042412451361867665,0.006614785992217764
59,59,0.8871595330739299,0.8397790055248618,0.8736495388669302,0.9659420289855073,0.04708171206225675,0.0163424124513617,-0.0011673151750973831,0.005447470817120492,0.009338521400778066,0.009727626459143823,0.008949416342412309,0.008560311284046551
60,60,0.9027237354085603,0.8603351955307262,0.8881752305665349,0.9611989459815546,0.03696498054474695,0.019844357976653626,0.012840466926069993,0.0237354085603112,0.0027237354085603016,0.008171206225680905,0.021789883268482413,0.007003891050583633
61,61,0.8210116731517509,0.676056338028169,0.7548089591567853,0.9699604743083005,0.0023346303501945442,0.030739299610894832,0.03229571984435786,0.00894941634241242,0.017120622568093324,0.012062256809338479,0.015564202334630295,0.028404669260700288
62,62,0.8910505836575876,0.8640776699029126,0.9079380764163373,0.9678524374176548,0.1961089494163425,-0.0027237354085603016,0.043968871595330805,0.0797665369649806,-0.0015564202334630295,0.017120622568093324,0.005836575875486361,0.0046692607003890885
