,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
69,69,0.8482490272373541,0.7979274611398963,0.8457509881422924,0.9160737812911727,-0.0035019455252920384,0.017509727626459193,0.01945525291828798,0.010894941634241206,-0.0046692607003893105,0.010116731517509692,0.018677042801556465,0.008171206225680905
70,70,0.9066147859922179,0.8846153846153846,0.9272727272727272,0.9590250329380764,0.007003891050583633,0.19182879377431916,0.037743190661478465,0.03579766536964968,0.07782101167315181,0.18832684824902723,0.14357976653696503,0.0046692607003890885
71,71,0.9260700389105059,0.9045226130653267,0.9376152832674571,0.9852437417654809,0.012840466926070104,0.14708171206225684,0.15330739299610907,0.030350194552529186,0.1408560311284046,0.1428015564202335,0.08210116731517514,0.005447470817120603
72,72,0.642023346303502,0.0,0.5,0.9022397891963109,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
73,73,0.642023346303502,0.0,0.5,0.9287878787878787,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
74,74,0.642023346303502,0.0,0.5,0.939064558629776,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
75,75,0.7898832684824902,0.6666666666666666,0.7449934123847168,0.9347826086956522,-0.0019455252918288979,0.009338521400778177,0.005447470817120603,0.0038910505836575737,-0.005058365758754957,0.00894941634241242,0.009338521400778177,0.0023346303501945442
76,76,0.9260700389105059,0.9035532994923858,0.9352108036890645,0.9826745718050066,0.0015564202334630295,0.11712062256809341,0.06342412451361856,0.09844357976653706,0.02529182879377434,0.0898832684824904,0.006614785992217875,0.09105058365758756
77,77,0.8793774319066148,0.8544600938967136,0.9036561264822134,0.9791172595520422,-0.00894941634241253,0.2151750972762645,0.0622568093385214,0.14396887159533067,0.35214007782101164,0.2214007782101166,0.16498054474708168,0.1373540856031128
78,78,0.6536964980544747,0.06315789473684211,0.5163043478260869,0.9333333333333333,0.011284046692606853,-0.007003891050583744,0.006225680933852007,0.007003891050583522,0.011284046692606853,0.006225680933852007,0.005447470817120492,0.01167315175097261
79,79,0.9416342412451362,0.9222797927461139,0.9473320158102767,0.9849143610013176,0.012840466926069993,0.17704280155642027,0.08599221789883249,0.08171206225680916,0.1163424124513619,0.06614785992217886,0.0906614785992218,0.01945525291828787
80,80,0.9299610894941635,0.90625,0.9334321475625824,0.9844532279314888,0.00739299610894939,0.22101167315175096,0.1474708171206225,0.08910505836575877,0.36420233463035023,0.2245136186770429,0.175875486381323,0.15797665369649816
81,81,0.7898832684824902,0.5970149253731343,0.7113306982872201,0.9374176548089591,0.028793774319066157,0.00739299610894939,0.012840466926069993,0.009727626459143934,0.024513618677042825,0.005447470817120603,0.0035019455252918164,0.005836575875486361
82,82,0.8171206225680934,0.7116564417177914,0.7758234519104085,0.9395915678524375,0.0011673151750972721,0.006614785992217875,0.00894941634241242,0.006225680933852118,-0.0038910505836575737,0.012840466926069993,0.006225680933852118,0.006614785992217875
83,83,0.642023346303502,0.0,0.5,0.932411067193676,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
84,84,0.9182879377431906,0.8934010152284264,0.9267457180500659,0.9803030303030303,0.0027237354085601906,0.060311284046692615,0.02801556420233453,0.022957198443579685,0.13968871595330734,0.08015564202334624,-0.008560311284046773,0.0750972762645914
85,85,0.933852140077821,0.9137055837563451,0.9436758893280632,0.9866930171277998,0.01478599221789878,0.24202334630350197,0.07159533073929969,0.1319066147859922,0.20583657587548643,0.1677042801556421,0.188715953307393,0.09883268482490282
86,86,0.642023346303502,0.0,0.5,0.9457839262187089,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
87,87,0.7859922178988327,0.6153846153846154,0.7179183135704874,0.9225296442687747,0.0548638132295719,0.0015564202334630295,0.006614785992217875,0.00894941634241242,0.010505836575875449,0.003112840466926059,0.005447470817120603,0.008560311284046662
