,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
20,20,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9408303367113436,0.0,-0.002666666666666706,-0.011555555555555541,0.000888888888888828,0.015999999999999792,-0.004888888888888943,0.0022222222222222365,0.0013333333333334085,-0.003555555555555534,-0.004444444444444584,-0.0031111111111110645,0.008444444444444477
21,21,0.88,0.850828729281768,0.8733654789146781,0.9049525988885256,0.00666666666666671,-0.0040000000000000036,0.012444444444444591,-1.1102230246251565e-16,0.128,0.03066666666666662,0.04888888888888887,0.02488888888888885,0.14355555555555566,0.04888888888888887,0.007111111111111068,0.0324444444444445
22,22,0.8444444444444444,0.7852760736196319,0.8215102974828374,0.9251389342922522,0.0,0.004000000000000115,0.003555555555555534,-0.006666666666666821,0.010222222222222244,0.0,0.009333333333333305,0.0119999999999999,0.04399999999999993,0.01822222222222225,0.004888888888888943,0.004888888888888943
23,23,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9116541353383459,0.003555555555555645,0.000888888888888939,-0.002666666666666706,-0.004444444444444584,0.00666666666666671,0.0066666666666664876,0.000888888888888939,0.0022222222222222365,0.00666666666666671,0.000888888888888939,0.0,-0.0013333333333332975
24,24,0.6933333333333334,0.7112970711297071,0.7288738149722132,0.8985779666557698,-0.033777777777777684,-0.023555555555555552,-0.014666666666666717,-0.011111111111111072,0.2537777777777778,0.01866666666666672,-0.028888888888888742,0.019555555555555548,0.24177777777777792,0.008888888888888946,-0.03155555555555556,0.013777777777777778
25,25,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9154952598888525,-0.0022222222222222365,-0.005333333333333301,-0.0031111111111110645,-0.0022222222222222365,0.009777777777777663,-0.0022222222222222365,-0.005333333333333412,-0.0013333333333334085,0.14666666666666672,0.015555555555555545,0.0004444444444443585,0.0013333333333334085
26,26,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9121444916639425,-0.0013333333333334085,0.0,-0.0013333333333334085,-0.001777777777777878,-0.008888888888889057,0.000888888888888828,0.0031111111111110645,0.008000000000000007,0.11822222222222223,0.0,0.0031111111111110645,-0.0013333333333334085
27,27,0.9244444444444444,0.9090909090909091,0.9243625367767244,0.9336384439359269,0.016444444444444373,0.0013333333333331865,0.01777777777777778,0.016888888888888953,0.023555555555555552,0.010222222222222133,0.014222222222222136,0.029777777777777903,0.12666666666666648,0.020888888888888846,0.01200000000000001,0.016444444444444373
28,28,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9150049035632559,0.0,-0.001777777777777878,0.0022222222222222365,0.0,0.025333333333333208,0.000888888888888939,0.002666666666666817,0.0013333333333334085,-0.004444444444444362,-0.0004444444444444695,0.0013333333333334085,0.0022222222222221255
29,29,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9106734226871527,0.000888888888888717,0.0013333333333332975,0.0013333333333332975,-0.0004444444444444695,-0.0013333333333332975,-0.0013333333333332975,0.0031111111111111756,0.008444444444444588,0.008888888888888946,0.0040000000000000036,-0.0004444444444444695,0.001777777777777767
