,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled
116,116,0.5799086757990868,0.0,0.5,0.6796473810338923,0.0,0.0,0.0,0.0
117,117,0.7123287671232876,0.7296137339055794,0.7414840807942485,0.8813762410133515,-0.15068493150684936,0.11369863013698633,0.11187214611872143,0.2972602739726028
118,118,0.8356164383561644,0.8,0.8283122218418351,0.9258815474152687,-0.017808219178082063,-0.006849315068493178,0.03287671232876721,0.0730593607305936
119,119,0.6073059360730594,0.12244897959183673,0.532608695652174,0.8755563163300238,-0.004109589041095818,0.005022831050228382,0.013242009132420018,0.0
120,120,0.8447488584474886,0.8229166666666666,0.8466706607326258,0.9127011297500855,-0.02602739726027392,0.06803652968036522,0.1986301369863014,0.06301369863013695
121,121,0.6118721461187214,0.1414141414141414,0.5380434782608696,0.8741869222868881,0.0009132420091323423,0.00776255707762552,0.009589041095890427,0.020091324200913196
122,122,0.7397260273972602,0.5714285714285714,0.6947107155083876,0.8764121876069839,-0.01963470319634697,0.05662100456620989,0.07625570776255708,0.07351598173515972
123,123,0.7853881278538812,0.7344632768361582,0.7745207120849025,0.8295104416295789,-0.033333333333333215,0.1917808219178081,0.0858447488584475,0.14383561643835607
124,124,0.5799086757990868,0.0,0.5,0.8760698390961998,0.0,0.0,0.0,0.0
125,125,0.5799086757990868,0.0,0.5,0.7191030469017461,0.0,0.0,0.0,0.0
126,126,0.7808219178082192,0.7272727272727273,0.7690859294762067,0.843889079082506,-0.04840182648401825,0.06164383561643838,0.007762557077625631,0.08401826484018271
127,127,0.7990867579908676,0.7528089887640449,0.7893272851763096,0.8497945908935297,-0.005936073059360614,0.07808219178082187,0.1242009132420091,0.014155251141552472
128,128,0.5799086757990868,0.0,0.5,0.891133173570695,0.0,0.0,0.0,0.0
129,129,0.863013698630137,0.8469387755102041,0.8684097911674085,0.9151831564532695,0.0018264840182649067,0.05022831050228305,0.11004566210045663,0.10410958904109602
130,130,0.8036529680365296,0.7650273224043715,0.797757617254365,0.90705237932215,-0.04474885844748866,-0.0031963470319634757,0.029680365296803624,0.07899543378995422
