,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled
53,53,0.8518518518518519,0.8521907528443475,0.8428060703341602,0.92776886035313,1.569938523044256,1.5374502729608799,1.525924770634453,1.426321556511286,-0.5974008872493757,0.0711934156378601,0.009053497942386846,0.02962962962962965,0.010288065843621397
54,54,0.9053497942386831,0.9051922057598829,0.8905140475455388,0.9439641864773078,1.7914838731945195,0.854968747595864,1.104993785214746,1.5157940427851404,0.17176031340983225,0.10617283950617284,0.03374485596707817,0.04238683127572016,0.026748971193415617
55,55,0.8559670781893004,0.8566236509871611,0.841717791411043,0.9184815950920245,1.5381656473355452,0.8875486374320305,0.9174489849967518,1.722726646609134,0.5023602304935927,0.09094650205761313,0.008230452674897127,0.025925925925925918,0.0024691358024691245
56,56,0.8847736625514403,0.8854849362393945,0.8752701451065144,0.9124729854893486,1.7659544176450879,0.9731072100011489,1.3763086299244367,1.4216859512550948,0.011048893732343221,0.11440329218106993,0.025925925925925887,0.041975308641975274,0.03950617283950615
57,57,0.8559670781893004,0.8557482205900135,0.8374488713831238,0.9335706711104378,1.7515321332031735,1.0608302049213294,0.698742496725869,1.0342967464211408,0.8734386485579942,0.08230452674897118,0.04855967078189297,0.03786008230452673,0.01728395061728394
58,58,0.8477366255144033,0.8479679892622208,0.8302469135802469,0.9138850784941319,2.5909645091173217,0.9753749108194429,1.128519112389021,0.7030495179912538,0.12426654917766902,0.09711934156378603,0.022633744855967097,0.03209876543209879,0.02757201646090538
59,59,0.8600823045267489,0.8605009342018886,0.845679012345679,0.93537570492303,1.5761179202259263,1.0231555695190828,1.0080596745338046,1.8120169342308947,0.16775795940039387,0.08148148148148145,0.005349794238683103,0.02345679012345676,0.0127572016460905
60,60,0.8806584362139918,0.8801144187529072,0.8629894578313253,0.9621234939759037,1.9483286061873635,0.6245790571248702,1.2190460109984294,1.4143839387529962,0.2198576047006737,0.09670781893004114,0.02304526748971193,0.03580246913580245,0.01769547325102879
61,61,0.8806584362139918,0.8796349436096482,0.8569401840490798,0.9411042944785276,1.9079012272690048,1.0447171365454864,0.7979664106510771,1.5021656563846795,0.1384484544588631,0.08971193415637858,0.01728395061728394,0.03251028806584359,0.020164609053497918
62,62,0.8683127572016461,0.8698887748021717,0.8624708624708625,0.9421911421911423,1.9465043979891936,0.8081305448069745,1.2278410165113325,1.7306428254592117,-0.2723392878117285,0.12427983539094656,0.013580246913580285,0.03127572016460909,0.02263374485596712
63,63,0.8518518518518519,0.8523829533914626,0.8301190476190476,0.9323015873015873,2.4964600406462467,0.9386835874921382,0.6800054245289732,1.101804381761805,0.27350870524875354,0.07201646090534977,0.03497942386831278,0.029218106995884795,0.00658436213991771
64,64,0.8436213991769548,0.8452070563181674,0.8278571428571428,0.9076190476190477,2.047975012065685,0.8762254267399441,1.0765934307799778,1.5453638058930497,0.12134572926261344,0.0761316872427984,0.016460905349794275,0.023045267489711984,0.009876543209876586
65,65,0.8806584362139918,0.8814560406503226,0.874585843373494,0.9453313253012048,2.056120226416689,1.02777485083547,1.5929682163657777,0.7431224670352038,-0.028748655377585974,0.07901234567901233,0.01769547325102879,0.04074074074074071,0.030041152263374483
66,66,0.8683127572016461,0.8680115118749832,0.8572513013302487,0.9418739155581262,2.2370448598448123,1.039740204878187,0.8126356121724064,1.118515306100866,0.22366970050751553,0.0872427983539095,0.020164609053497994,0.035802469135802505,0.026748971193415693
67,67,0.9053497942386831,0.905476310804446,0.897319434102755,0.9556962025316456,1.8183243629327297,0.6827385372127696,1.8667625614156602,1.3767873933684665,-0.26420428283342023,0.09999999999999999,0.01563786008230452,0.04732510288065842,0.02716049382716048
68,68,0.8436213991769548,0.8431084252239617,0.8197852760736196,0.9095858895705522,2.0515292853783906,0.7453113875317952,0.7422457694481528,1.793669739803512,0.38504778992454247,0.08600823045267494,0.015226337448559734,0.03786008230452679,0.02139917695473257
69,69,0.8436213991769548,0.8421283672902623,0.8174698795180724,0.9231174698795181,1.4273298773237688,1.0229276204203908,1.2018385775829985,1.7413854961864585,0.13460645955447204,0.09176954732510294,0.007818930041152316,0.015226337448559734,0.014403292181070004
70,70,0.8436213991769548,0.8413789704541534,0.8102377300613497,0.9251533742331289,1.065374734285849,1.269917320829825,1.5513733587665908,1.1190690408549717,0.5054597242804143,0.08847736625514407,0.014403292181070015,0.026748971193415683,0.03909465020576136
71,71,0.8477366255144033,0.8474831136137245,0.8248687866625501,0.9257486878666255,1.4651374919157456,0.9851757306037184,0.9472652010599183,1.9480267920454377,0.22605102169303268,0.0662551440329218,0.010699588477366273,0.020576131687242837,0.013991769547325106
72,72,0.8518518518518519,0.8522544882932074,0.8390610961365679,0.9040131775980832,1.6206242660852421,0.7257147267265832,1.6118561694536864,1.707730223857956,0.101570277566408,0.07489711934156378,0.026337448559670795,0.034979423868312785,0.023868312757201637
73,73,0.8559670781893004,0.8536772066183831,0.8240740740740741,0.9096174363664075,1.9544086021901015,1.1388919975834133,0.8595000013388066,1.8118561062364498,-0.2816217055709414,0.09958847736625512,0.031275720164609055,0.03868312757201645,0.03292181069958845
