,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
89,89,0.9506172839506173,0.9504402501040804,0.9394852135815991,0.9902988577687374,0.9895199875088438,2.041830613128187,2.0919820128064477,1.2159581106519386,0.8364212919711108,0.2814814814814815,0.24115226337448553,0.18436213991769546
90,90,0.9423868312757202,0.9426387629230651,0.9330252100840336,0.9834453781512605,0.49194080980373084,2.7203515557378397,1.8865257364138286,1.297566494008638,0.9665792778286458,0.302880658436214,0.28683127572016465,0.1790123456790124
91,91,0.9423868312757202,0.9423868312757202,0.9395092460881935,0.9879800853485065,1.5448927576187481,3.076260627540791,1.0505595953535387,0.6335469152069978,0.45472843391068374,0.3189300411522634,0.22427983539094654,0.1547325102880659
92,92,0.9423868312757202,0.9429885648091805,0.9433871741564049,0.9899248360786823,1.4941207550975406,2.6823055431843286,2.0098305653181003,0.36774170952486157,0.47928490751676717,0.2975308641975309,0.21851851851851856,0.1711934156378601
93,93,0.9547325102880658,0.9553969359773314,0.9595064450474898,0.9847354138398915,0.9192346070716794,2.269002892912457,2.082483564764135,1.2481038272191842,0.8180583553665367,0.25802469135802464,0.2506172839506172,0.17530864197530865
94,94,0.9218106995884774,0.9227766465657559,0.9290022338049144,0.9795979151154133,0.7862678658131265,2.6800443375052154,1.7887599684126338,0.8341216308471496,0.6678553471362237,0.2724279835390947,0.27283950617283953,0.1777777777777778
95,95,0.9506172839506173,0.9506172839506173,0.9433566433566434,0.9916083916083915,0.9240099170097665,1.7235687890683526,1.6553451359971303,2.0342576372672934,0.9196520103571418,0.2650205761316872,0.23703703703703702,0.1382716049382716
96,96,0.9300411522633745,0.9301721169873951,0.9193187270110347,0.974012474012474,0.9618413695857152,2.144573521331173,2.4383350661918586,1.9108370938347787,0.1905146812978665,0.2530864197530864,0.245679012345679,0.15884773662551438
97,97,0.9259259259259259,0.9259259259259259,0.9209441873915558,0.9773713128976287,0.8623814648221214,3.047099396533354,1.6548996281057324,0.5318277546382285,1.0991417030648682,0.31316872427983544,0.26543209876543206,0.1654320987654321
98,98,0.9547325102880658,0.9549453302110308,0.9533420808891633,0.9883451682618092,0.9335032132340095,3.022469543369971,1.5518147941857237,0.6790536824959522,0.9433737641417032,0.34814814814814815,0.25514403292181065,0.2065843621399177
99,99,0.9176954732510288,0.9176954732510288,0.9095309009679822,0.974385703648548,1.5721600053756106,2.3532218232761535,1.4264777160473292,1.1634140102981536,0.4398951017003765,0.29053497942386836,0.24403292181069958,0.1786008230452675
100,100,0.9423868312757202,0.9425138701454491,0.9405228758169935,0.9779956427015251,0.8242546487056976,3.0303536059805096,1.2276603250567877,1.9422729874170028,0.14270869690455695,0.3094650205761317,0.25390946502057615,0.1724279835390947
101,101,0.9423868312757202,0.9431202504481305,0.9473290261582099,0.9855026788528207,1.3289164843949652,2.2624253022781016,2.1140443386366456,0.9439280028614752,0.5753093271019473,0.3123456790123457,0.2329218106995885,0.18189300411522635
102,102,0.9547325102880658,0.9546593760366128,0.9471625766871166,0.9826687116564418,1.6102151911923392,2.478823776648427,1.594515989090824,0.40165122143586773,1.3135087522995799,0.3176954732510288,0.24320987654320989,0.16954732510288065
103,103,0.9465020576131687,0.9469745707944692,0.9463457540380618,0.985686870302255,1.193826331989535,2.6076839538001013,1.2714521526039568,1.4372299878968209,0.7122824220684989,0.3222222222222223,0.2209876543209876,0.16543209876543213
104,104,0.9259259259259259,0.9264908144218488,0.9265498652291105,0.9752171308775083,0.4607088562862574,3.326349835514861,1.7529365609297225,0.8306437887591512,1.0202475100150061,0.31440329218107,0.2818930041152264,0.22510288065843617
105,105,0.9423868312757202,0.9423868312757202,0.9390322580645161,0.9874551971326165,1.3481702724416225,2.542114274760276,1.388660064047744,1.7513738855385086,0.1749401884788579,0.2995884773662552,0.21934156378600828,0.14362139917695477
106,106,0.9300411522633745,0.9301057162900371,0.9274893314366999,0.9872688477951636,1.2481751431096308,1.5367511263113134,2.0854854608882833,0.794223457866014,1.4485825695741608,0.25637860082304526,0.23497942386831272,0.15720164609053497
107,107,0.9423868312757202,0.9430338794419857,0.9475076687116564,0.9912576687116564,0.8890327624296538,2.771235702328036,1.85420301428965,1.374716880946865,0.11702213540794017,0.3045267489711935,0.26049382716049385,0.19465020576131692
108,108,0.9670781893004116,0.9670781893004116,0.9636118598382749,0.9873465109314166,0.8051254181124822,2.54399283182247,1.1653042885424396,1.5655588063710033,1.058695198964432,0.31563786008230454,0.2913580246913581,0.19917695473251032
109,109,0.9423868312757202,0.9426698285121224,0.942267812175974,0.9891127240408829,-0.0716604285358513,2.9865390270303633,1.4927922525533812,1.9105479760889685,0.48556032318026104,0.30781893004115235,0.26625514403292183,0.17777777777777778
110,110,0.9382716049382716,0.9386979298812996,0.9384562945008332,0.9609907589759128,0.7709934190269102,2.707494134677158,0.5095939330214004,1.2184525650738252,1.7707213654115534,0.36502057613168715,0.2637860082304527,0.24979423868312756
111,111,0.9176954732510288,0.9176954732510288,0.9079684896227844,0.9758369943947887,1.7511763832285023,1.860924511363102,1.9437973653792704,1.6100558755536185,0.2576016198951387,0.2518518518518519,0.2263374485596708,0.15925925925925927
