,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
84,84,0.8765432098765432,0.8760188828813457,0.8659503070112808,0.9367413965443383,1.8653643804916182,1.8395588349887935,0.9947599285389752,0.8157044850924099,0.247881207974315,0.07942386831275722,0.09711934156378602,0.10123456790123457,0.07901234567901236
85,85,0.8847736625514403,0.8862405008962609,0.8803183107469272,0.9549322407815948,1.3049584902302493,1.2720197892995821,0.9016240203398872,1.451398932085946,0.7873551632122485,0.11358024691358022,0.10411522633744852,0.11522633744855962,0.05720164609053495
86,86,0.9012345679012346,0.9019427032873822,0.8910123140892372,0.9516232208539901,1.823839469633956,2.07842039359429,1.3823233040634855,0.44572477964482454,-0.06878362240436063,0.10946502057613168,0.12098765432098765,0.09300411522633746,0.07613168724279837
87,87,0.8888888888888888,0.8901077666295057,0.8838601157878265,0.9446878422782037,1.6658620460911049,1.6050951681704995,0.815896689225114,1.215127619381029,0.49862763190311005,0.11522633744855963,0.12510288065843617,0.09876543209876537,0.08847736625514398
88,88,0.8888888888888888,0.8879913321665096,0.8682775337070141,0.9571277079230419,1.8279538808563547,1.8967700921743122,0.802050783879445,0.9806774674253818,0.06115057901548264,0.13292181069958842,0.10493827160493822,0.11810699588477361,0.046090534979423815
89,89,0.8888888888888888,0.8886926141828103,0.869934282584885,0.9225473321858864,2.106633344294684,1.3964386992782936,0.7515930684569175,0.7584880819905729,0.9556432240270473,0.13333333333333325,0.12304526748971187,0.12798353909465016,0.09423868312757197
90,90,0.8436213991769548,0.8466771454057692,0.8284873949579832,0.9251260504201683,1.7848379741782052,1.6227189246786689,1.2328873042313364,1.100121183105346,0.2500858812641612,0.12427983539094653,0.09958847736625519,0.09917695473251033,0.046913580246913625
91,91,0.9176954732510288,0.9175338729022071,0.9116998577524893,0.9578947368421052,1.6562961869768373,1.805437683939863,1.2593725601619172,0.45040404133159795,0.48289835918731844,0.14156378600823047,0.1279835390946502,0.12962962962962968,0.071604938271605
92,92,0.8641975308641975,0.8639359163309156,0.8377978570286262,0.9509835279066049,2.1762347869801455,1.3965579883550918,0.6379641267520371,1.2389454520658265,0.21488064188765915,0.08312757201646084,0.07654320987654317,0.07037037037037033,0.054732510288065785
93,93,0.8806584362139918,0.8824101039402372,0.8667740841248304,0.9375000000000001,2.397667030360233,1.30540134353239,1.3037962623614336,0.623807565434247,0.1569101460356259,0.11769547325102878,0.08518518518518517,0.08724279835390944,0.04979423868312753
94,94,0.8518518518518519,0.8526050365130825,0.8425912137006701,0.9187639612807148,2.3580653418430835,1.7910629270186504,1.6549376408721386,0.23154178230094977,-0.2798606800403848,0.1308641975308642,0.10329218106995888,0.06666666666666668,0.06666666666666667
95,95,0.897119341563786,0.8969428773216577,0.8803030303030304,0.9538461538461539,1.74401742075392,1.5960368385122863,1.4408340112774842,0.6921315513148977,0.17736212606590418,0.12592592592592594,0.12098765432098765,0.04485596707818932,0.040740740740740786
96,96,0.8559670781893004,0.8556896082297589,0.8280825203902127,0.917479609787302,2.3156844896881648,1.3922235190097092,0.5413554724414871,1.088738459951734,0.6032686703521284,0.09341563786008229,0.07942386831275719,0.07119341563786007,0.07983539094650202
97,97,0.8641975308641975,0.8630098050891191,0.8473467322151533,0.9378976286871025,2.3596948992168327,1.3535685754613622,1.0361538241773247,0.42821878678001946,0.8070159458455003,0.13827160493827156,0.09300411522633739,0.06790123456790119,0.059259259259259234
98,98,0.9300411522633745,0.9307623366467257,0.9317690645260883,0.9709015128125965,1.257070546375435,2.002433549631095,1.3409618882893573,0.6099013850093293,0.3134712132183935,0.15102880658436213,0.12551440329218105,0.13744855967078187,0.09794238683127571
99,99,0.8477366255144033,0.8475263052091762,0.8312732688011913,0.9171258376768429,2.05648776800228,1.563651670091969,1.2867639423150703,0.685872859671382,0.3388875792428154,0.12139917695473253,0.12016460905349795,0.06543209876543213,0.052263374485596724
100,100,0.8683127572016461,0.8683127572016461,0.8588235294117648,0.9374001452432825,2.600143108597546,1.3411707615954196,0.6175004784543234,0.9195376471810969,0.43805561748712507,0.13045267489711937,0.1164609053497943,0.10082304526748972,0.07119341563786012
101,101,0.8806584362139918,0.8812725317765978,0.8665694925937599,0.929167979829814,1.9318920599613167,1.206630323845659,1.2713954637148162,0.9637112992700743,0.4977811585744745,0.08600823045267489,0.12798353909465016,0.1065843621399177,0.04403292181069958
102,102,0.8724279835390947,0.8733673413493421,0.8635352760736197,0.9334355828220858,1.6508908610305952,2.090635453104333,1.7826889530763699,0.104956269944616,0.0813923238229723,0.11234567901234568,0.10288065843621401,0.06460905349794242,0.048559670781893036
103,103,0.8888888888888888,0.8882282221548072,0.863145690068767,0.9549016472093395,2.3329875538583815,1.0395727560367551,1.125186072693075,1.1927509723896839,0.14499957453934842,0.09876543209876537,0.11893004115226331,0.09423868312757197,0.0658436213991769
104,104,0.8518518518518519,0.8509653419515562,0.8306379155435759,0.9339622641509435,1.9766230848186093,1.7735749069738156,1.4299245186006146,0.5975769183844818,0.174633085949478,0.055555555555555546,0.0983539094650206,0.08518518518518518,0.0588477366255144
105,105,0.8559670781893004,0.855817057367445,0.8465591397849462,0.9171326164874553,1.8283395464031755,1.6659430246485374,1.1339873455019314,0.7903502849674304,0.4474405990919428,0.09753086419753085,0.11893004115226335,0.10205761316872426,0.03621399176954733
106,106,0.8930041152263375,0.8930041152263375,0.8876600284495022,0.9413229018492176,1.9294415937863996,1.2029515325016003,0.876024590112774,1.0677341443780657,0.7362535836613799,0.1452674897119342,0.13868312757201653,0.11111111111111116,0.05596707818930045
107,107,0.8806584362139918,0.8818502165142218,0.8760352760736196,0.9489263803680983,1.841850550610605,1.1422002650128353,1.1617638846189602,1.3539575468250993,0.31816040662393874,0.11069958847736625,0.12757201646090532,0.08395061728395062,0.059259259259259255
108,108,0.9053497942386831,0.9054805338878784,0.8967879604672058,0.9635369871218928,2.400487655688765,1.330270862353857,1.3303842444889122,0.44480424684354913,0.2639260467017051,0.12510288065843617,0.10041152263374484,0.07572016460905348,0.07860082304526747
109,109,0.8436213991769548,0.8427432623798801,0.823766849355651,0.9181602725522144,2.8315904307442965,1.0953232541580558,1.0244392754144818,0.64800243277493,0.4195801614302497,0.09259259259259263,0.10534979423868318,0.05802469135802474,0.06543209876543213
110,110,0.8847736625514403,0.8862381882816109,0.886115740039388,0.9440236327829117,2.080996562037941,1.0778719642415262,1.0244739645482601,1.0764984998607023,0.5592319363111659,0.11399176954732507,0.14485596707818926,0.13374485596707814,0.05637860082304521
