,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
48,48,0.9382716049382716,0.9387552865813735,0.9376456876456877,0.9886557886557886,1.730119017775852,2.0418671250934284,1.3749680837029579,1.8888242472002368,0.06699732150763427,0.3152263374485596,0.13456790123456783,0.11481481481481474
49,49,0.9588477366255144,0.9588477366255144,0.9534125766871165,0.9922546012269938,1.6226300472165427,1.8042229000591878,0.9535913833570685,1.6842998286011355,1.7049993334987528,0.35843621399176956,0.1753086419753086,0.14156378600823044
50,50,0.9506172839506173,0.9501740290004694,0.9375651526433358,0.9879374534623977,2.8598768157496037,1.986979945350935,1.8578846573841459,0.604678598850482,-0.01736748765060423,0.3613168724279835,0.19629629629629627,0.137037037037037
51,51,0.9547325102880658,0.9549453302110308,0.9533420808891633,0.9819388700216118,2.1903005820484536,2.4910967655044653,0.30645789392794687,1.7615148808713492,0.770758453717068,0.36090534979423866,0.17901234567901234,0.1621399176954732
52,52,0.934156378600823,0.9345142776598059,0.932605421686747,0.9610692771084337,1.6800789010752253,2.1466480940303523,2.040310094261447,1.149403283757936,0.8791834276932026,0.3576131687242798,0.18518518518518517,0.11316872427983533
53,53,0.934156378600823,0.9346944555068808,0.9385670509266015,0.9864293010360425,2.2888695465506363,2.371411471833491,0.6732339637831055,0.7992070999688544,1.3745465727912118,0.3460905349794238,0.19012345679012344,0.16954732510288065
54,54,0.9670781893004116,0.9672814103541126,0.9690490892250694,0.9839456622414327,2.4398406332874574,1.9628808442032333,1.324266938524306,0.8881673153134514,0.8324122238792359,0.317283950617284,0.20000000000000004,0.14115226337448564
55,55,0.9300411522633745,0.9309108551471516,0.935122699386503,0.9835889570552148,1.3771480388370032,2.294906113432285,1.7758692918118746,1.186701183526296,0.9505853823153942,0.3082304526748971,0.1662551440329218,0.08971193415637858
56,56,0.9588477366255144,0.9589787043348734,0.9563908613769682,0.9790830503241742,2.504821934765381,1.661814653151588,2.028577435079642,0.7177422213245819,0.4627294011340445,0.33456790123456787,0.20164609053497942,0.131275720164609
57,57,0.9711934156378601,0.9710579847777916,0.9633010149977276,0.9877291319497046,2.336949632220387,1.7487859791410119,1.3419958037585449,0.7395379414873483,0.9774367155298378,0.34032921810699596,0.21440329218107,0.14897119341563786
58,58,0.9588477366255144,0.9590863453815262,0.9598765432098766,0.9944368236549306,2.2742602823717286,2.747368395272047,1.3226210256215143,0.9098472484676865,-0.13923587085259345,0.3559670781893004,0.21111111111111108,0.1790123456790123
59,59,0.9382716049382716,0.9381748686096514,0.9290123456790124,0.979500076207895,2.7809565731826007,1.8416757261919565,1.899733990262358,0.8814707633917305,0.2502228422029928,0.31975308641975303,0.18765432098765428,0.11893004115226331
60,60,0.9629629629629629,0.962672753977102,0.9515813253012049,0.9914909638554217,2.1194842316269455,2.492894874644981,1.7015651013238682,0.5550895885299441,0.677768353527579,0.3477366255144032,0.1893004115226337,0.13251028806584358
