,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_scaled
51,51,0.9890909090909091,0.9890501549014613,0.978527078302863,0.9990513970334598,1.8228255149061816,2.63155965183262,0.8598634335880664,1.363480478552655,1.4134841052074207,0.26872727272727276,0.12436363636363641,0.01600000000000006
52,52,0.9781818181818182,0.9780404723234274,0.9609089464484348,0.9957095185126331,2.3793112904534146,2.552071342866048,1.6489281909318145,0.8945579144194059,1.3404054892726427,0.2741818181818182,0.12545454545454543,0.01927272727272723
53,53,0.9672727272727273,0.9675568733545542,0.961046511627907,0.9937984496124032,1.650696301841503,3.1617530853554543,0.9475688718012077,1.2574192399613944,1.461617746956045,0.30072727272727273,0.1578181818181818,0.011999999999999978
54,54,0.9636363636363636,0.9640625652882434,0.958372567482737,0.9942718141870684,2.104891604584142,2.672167606140311,1.3343827437063709,0.9278614920072623,1.511876113477644,0.2821818181818182,0.13781818181818184,0.020727272727272716
55,55,0.9672727272727273,0.9678378240370376,0.9650741635046568,0.995860641600552,2.16965967963377,2.579020528245725,1.452548507821701,1.3068261840509228,1.0394571295409272,0.25381818181818183,0.11672727272727275,0.025454545454545462
56,56,0.9709090909090909,0.9709090909090909,0.9503341159472638,0.9968394437420987,1.9701195615872544,2.6993771521965035,1.4130675190572524,1.6405366721085106,1.0157016795632796,0.27272727272727276,0.11490909090909096,0.0014545454545454861
57,57,0.9709090909090909,0.9707055471761354,0.9477272727272728,0.9972727272727273,2.450152604088898,2.2665456077685047,1.8401930685466839,1.427984638375442,0.5413594953417705,0.2716363636363637,0.12072727272727277,0.012000000000000044
58,58,0.9672727272727273,0.9671653617235926,0.9469660389505874,0.9966199903428296,1.9774975759720668,3.0502039258516622,1.1081844453684602,1.6186897710394867,0.9656091239924713,0.2661818181818182,0.14581818181818185,0.015999999999999993
59,59,0.9854545454545455,0.9854545454545455,0.9766275709671937,0.9975352711201768,2.4110663237803487,2.488105004731453,0.8658221554966014,1.0177894228304405,1.9429786107358107,0.28581818181818186,0.11054545454545454,0.0123636363636364
60,60,0.9563636363636364,0.9567123647528197,0.9324981644640236,0.9927496328928047,1.8954538700067065,2.0972364186864128,1.695003962586402,1.614896013558558,1.053572413241559,0.23200000000000004,0.09381818181818187,0.011272727272727346
61,61,0.9818181818181818,0.9820219527654205,0.981111111111111,0.9967111111111111,2.071907403716974,2.8455115155151036,1.4898225025260607,0.8875977792695722,1.22401044246387,0.2978181818181818,0.14109090909090907,0.012727272727272731
62,62,0.9672727272727273,0.9676299430906171,0.9571953781512605,0.9966736694677871,1.915015210387517,2.4433222776366046,1.897451883328851,-0.2591437044285615,2.2072615867569847,0.22363636363636363,0.11854545454545455,0.009090909090909104
63,63,0.9781818181818182,0.9783470206264325,0.971111111111111,0.9969777777777777,2.37940016986547,2.684713267238671,1.3262351780353427,0.05007126368923728,1.9914028096879974,0.25999999999999995,0.14036363636363633,0.015272727272727238
64,64,0.9781818181818182,0.9781818181818182,0.9654348919054802,0.9976537623596448,1.7237201296140008,2.771010186793897,2.0075443966616455,0.4074219818474929,1.6014713811144279,0.2698181818181818,0.14290909090909087,0.00836363636363634
65,65,0.9709090909090909,0.9709090909090909,0.9545454545454546,0.9984297520661157,2.2105316123408296,2.1867712916797486,1.1409039626369997,1.027199888778455,1.558926544587374,0.2760000000000001,0.12654545454545457,0.00545454545454549
66,66,0.9709090909090909,0.9707157682500147,0.9492596169322388,0.994608079832609,2.4124900460704852,1.9101619460745523,1.4590617625185298,1.425710795459135,1.3799066830332423,0.2661818181818182,0.12581818181818188,0.010181818181818226
67,67,0.9927272727272727,0.9927272727272727,0.9867149758454106,0.9982608695652174,2.3673905387867746,2.4680181204516223,1.2660057928521828,1.115031589441832,1.2021770548576005,0.28181818181818175,0.10363636363636357,0.013090909090909052
68,68,0.9709090909090909,0.9713161783750018,0.9673163159710245,0.9861159020351845,1.9156514885999192,2.67940412234932,1.4207302636789727,1.3315918653225032,1.4356663495250888,0.2720000000000001,0.12181818181818185,0.017818181818181844
69,69,0.9890909090909091,0.9891316632803568,0.9857317927170868,0.9979866946778712,2.141911348628189,2.8581124250048604,1.4326745339943119,0.5592946574371714,1.5681009195397797,0.27309090909090916,0.14690909090909093,0.01418181818181824
70,70,0.9709090909090909,0.9709090909090909,0.9545454545454546,0.996694214876033,2.378946512481298,2.8685431940199106,1.2373240833666561,1.408497028234378,1.1535852580960189,0.29527272727272724,0.11090909090909098,0.009454545454545504
71,71,0.9745454545454545,0.9743072939377789,0.9536821705426357,0.997984496124031,2.1052288209242023,1.9628028214717703,2.0450329671252288,1.0016298046003569,1.2244690562682483,0.2669090909090908,0.11781818181818178,0.018181818181818098
72,72,0.9745454545454545,0.9749737975706084,0.9770525242223356,0.9959204487506375,2.135570541546833,2.654829793861214,1.3731812663645009,0.43886764200243644,1.6053428934910623,0.29781818181818176,0.15563636363636357,0.01599999999999996
73,73,0.9709090909090909,0.9712957362272431,0.9679068208479973,0.9943019943019944,2.1853646830163265,2.424276619950475,1.7214632982918603,1.1216330070335445,1.2871075538551058,0.28400000000000003,0.1345454545454546,0.01381818181818183
74,74,0.9854545454545455,0.9854545454545455,0.9784212178279974,0.9987445072190836,2.208342423285982,2.8345020552698887,1.6151720533794456,0.24531229421021733,1.3688810507666023,0.27236363636363636,0.13963636363636364,0.02581818181818184
75,75,0.9745454545454545,0.974640547654166,0.9616596638655461,0.9980742296918768,1.5935495704974139,2.9739215568119692,1.4242239502640013,0.8261546697225441,1.549265333591396,0.26763636363636356,0.08799999999999994,0.013818181818181775
76,76,0.96,0.960127936031984,0.9423788829872848,0.9936423627877031,2.2539642359783705,3.0032637759634793,1.193494352956099,1.320822934930107,1.2779620950404407,0.30690909090909085,0.14218181818181813,0.00472727272727268
77,77,0.9709090909090909,0.9709090909090909,0.9477881146762863,0.9945889500664515,1.9243726042014746,2.736591378738153,1.522888763571009,1.260324002601844,1.2938074889000901,0.25781818181818184,0.10800000000000005,0.012000000000000033
78,78,0.9781818181818182,0.9785718050065876,0.9775962309542903,0.997093023255814,2.1168226189050916,2.7714004841622017,1.1893618440981522,0.6574977599729838,1.6894716777133802,0.27599999999999997,0.12472727272727266,0.012727272727272698
79,79,0.9781818181818182,0.9783128964059196,0.9737915881983679,0.9970966729441305,2.678678993591763,2.116481749570779,1.3915707469650995,1.2467275376150542,1.0761364135489275,0.32436363636363635,0.1007272727272727,0.01345454545454543
80,80,0.9818181818181818,0.9816641711229948,0.9663803317535544,0.9994075829383886,2.3166339960967015,2.041565092278116,1.148794249785002,1.6085918861266888,1.3411111701363472,0.32327272727272727,0.12509090909090906,0.01709090909090908
