,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled
68,68,0.831275720164609,0.8298287133791579,0.8010352760736197,0.9001533742331288,2.4600432033512822,-0.26950173058675486,1.6413233154998481,1.8167584219221042,0.17670597774189634,0.09835390946502057,0.00864197530864197,0.018930041152263377,0.009876543209876543
69,69,0.8477366255144033,0.8442400279727803,0.8118975903614458,0.917394578313253,2.7508357017164626,0.8662327038284937,1.475476737655174,1.3768229656020166,0.3477003362284897,0.12592592592592594,0.016460905349794264,0.03333333333333336,0.004938271604938283
70,70,0.8518518518518519,0.8503045370515251,0.8227377300613496,0.9084355828220859,2.6691078707097713,0.8698955918461503,1.5123786676238784,1.0082446389328914,0.6525355481921012,0.1065843621399177,0.02016460905349795,0.031275720164609055,0.013168724279835398
71,71,0.8600823045267489,0.860945994004979,0.8471364618709478,0.9330040135844396,3.3201321560567973,-0.012640221651902438,0.8304807219755814,1.339138029270393,0.3491773434162213,0.11440329218106995,0.003292181069958833,0.027572016460905326,0.00823045267489706
72,72,0.8271604938271605,0.8288584772455742,0.820193171608266,0.889862234201857,3.1484499697086483,-0.2802011527808159,1.925162034407507,1.5201918834921115,-0.5289923174116592,0.12016460905349793,0.03086419753086419,0.03950617283950619,0.01728395061728396
73,73,0.8395061728395061,0.8340984932753565,0.7932098765432098,0.9128943758573388,2.936560753134064,-0.2766905399419016,1.6966790367090694,1.0406988322009256,0.15190064541917153,0.10370370370370363,0.012345679012345623,0.03744855967078185,0.0032921810699588104
74,74,0.8683127572016461,0.8666363705218512,0.8432165318957772,0.9373315363881402,2.8241752155956217,0.3203679245190173,1.6137088807915223,1.1980870231136833,0.24476072343492378,0.11440329218107,0.02839506172839511,0.05226337448559674,4.4408920985006264e-17
75,75,0.8724279835390947,0.8709411704999784,0.8468792607180731,0.9256930768065444,3.564600108397571,-0.2356647519229482,1.5982443063230662,0.9394807590416956,0.03885866819964147,0.1320987654320988,0.0004115226337448874,0.03827160493827163,0.0041152263374485964
76,76,0.8600823045267489,0.8600823045267489,0.8416027607361963,0.9256901840490798,2.664361379380896,0.500043238964002,0.9783516452652194,1.7046335651304454,0.5445658321142219,0.11975308641975305,0.009465020576131666,0.02427983539094648,0.0024691358024691024
77,77,0.8395061728395061,0.8382868233577649,0.8155884995507637,0.9139712488769093,3.0930479034338205,-0.04455399175723572,1.34788760578024,1.5039455947606908,0.10988975247850165,0.11111111111111108,-0.0020576131687243147,0.021810699588477322,-0.002469135802469169
78,78,0.8847736625514403,0.8836397201290344,0.8621799727314043,0.9478866838357825,2.3308806743233945,-0.6389890082594573,1.9093732319311167,1.3705548134568932,0.2725268058611961,0.10329218106995883,0.023045267489711918,0.05020576131687241,0.01769547325102877
79,79,0.8724279835390947,0.8726340891568263,0.8562828033343625,0.9289132448286508,3.0689717264382317,0.11490993148626323,1.4731644509652388,1.0565238423917547,0.4127400078804926,0.14938271604938275,0.03209876543209879,0.052263374485596724,0.013580246913580275
80,80,0.8641975308641975,0.8640560826607337,0.855268817204301,0.9397849462365591,3.1992586459819887,-0.34247951437372565,1.6772726666876616,1.1596493009500752,-0.09472813673233574,0.15720164609053494,0.02716049382716045,0.03786008230452671,0.006584362139917643
81,81,0.8395061728395061,0.8384680024152308,0.7997870946609892,0.9176220111365869,2.13956655791054,-0.13752769954271069,1.993911753662338,1.9878576780075918,-0.15651811554564024,0.08353909465020572,0.004938271604938227,0.006584362139917643,0.0057613168724279466
82,82,0.8518518518518519,0.8494360332037174,0.8286581839213418,0.9218478889531521,3.670910652469803,-0.6589441721743006,1.9908670755552424,0.3367090800039131,-0.14342608946990232,0.11522633744855967,0.01646090534979424,0.021399176954732525,0.0008230452674897082
83,83,0.8683127572016461,0.8686361826146772,0.8593059239610964,0.9168877099911582,3.124852832678515,0.23686328457237493,1.1445010477541384,1.051436361178549,0.6351160420634986,0.09794238683127576,0.020576131687242837,0.04855967078189306,0.013580246913580308
84,84,0.8683127572016461,0.8659695160333731,0.8474582321862059,0.9447379694416678,2.930210513741001,0.2049870107636923,1.3740933935533501,1.2279040675779374,0.5277586903262041,0.10946502057613175,0.025925925925925963,0.018106995884773724,-0.013580246913580207
85,85,0.8518518518518519,0.8513051146384479,0.8241017964071856,0.9300346675070911,3.157112304307095,-0.15608497372736668,1.76858646625674,0.7390731386798076,0.404296535036129,0.0962962962962963,0.0004115226337448541,0.009465020576131699,0.0024691358024691466
86,86,0.8765432098765432,0.8750116258850836,0.8428754197984967,0.9498640652486807,2.91106411817858,-0.25048691061935896,1.8093705559893452,1.0531217774564203,0.015374367850734125,0.10946502057613168,0.006995884773662553,0.029218106995884785,0.004115226337448574
87,87,0.8806584362139918,0.880007289201934,0.856947269597872,0.9360819902988577,2.8671470161803807,0.1008632701942618,1.2119490461428153,0.8603474117294265,0.9083586722481573,0.1259259259259259,0.021810699588477356,0.05185185185185185,0.008230452674897092
88,88,0.8888888888888888,0.8871736564554029,0.8622935918800182,0.9465990001514922,3.123560254511027,0.03608547617570882,1.6871944587939267,1.0115815557582462,0.038521149989862065,0.11810699588477358,0.021810699588477322,0.04979423868312753,0.011522633744855936
89,89,0.8641975308641975,0.8644304636638067,0.8448990768267877,0.9302925989672978,2.6350762745979033,-0.2383110774791971,1.2300633295021282,1.4778417318326071,0.6715169526325447,0.12181069958847732,0.005349794238683081,0.027160493827160438,0.0024691358024691136
90,90,0.8724279835390947,0.8747036134009314,0.8619747899159664,0.945546218487395,2.7004309638913564,-0.3630698337655158,1.5309879844824392,1.9466042892445083,-0.19264849371526355,0.14403292181069963,0.002880658436214023,0.06049382716049386,0.023868312757201672
