,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_humidity_fd1_scaled
60,60,0.9745454545454545,0.9746485680178586,0.9599394273127753,0.9958700440528634,2.4661150278087756,2.7336045824333475,1.0426630153616674,1.0008440639549692,0.819101060108673,0.10690909090909084,0.10181818181818177,0.0465454545454545,0.022181818181818115,0.009818181818181771,0.007636363636363575,0.0003636363636363549,0.006545454545454488
61,61,0.9709090909090909,0.971723265840913,0.9822222222222222,0.9926222222222222,1.7872924523052087,3.0657515210757795,1.3246388696396838,1.115615116855063,0.8194907010290454,0.09818181818181822,0.0774545454545455,0.026181818181818216,0.01200000000000001,0.0061818181818182215,0.005090909090909113,0.005090909090909113,0.014545454545454573
62,62,0.96,0.9598465236278639,0.930015756302521,0.9964985994397759,1.7439501943785587,3.2059753716222774,0.10313942827265103,1.8996444527229381,1.1578526513667744,0.09745454545454542,0.11127272727272723,0.017454545454545424,0.0025454545454544953,-0.0036363636363636598,0.00036363636363632155,0.0021818181818181403,-0.0014545454545454861
63,63,0.96,0.9598423256959843,0.9288888888888889,0.9889777777777778,3.0308162475095637,3.074354944236754,0.4939396770427802,0.8707310749405094,0.7460382032977181,0.1003636363636363,0.09236363636363633,0.015636363636363605,0.021454545454545393,-0.0043636363636363916,-0.0032727272727273047,0.0018181818181817744,-0.005090909090909123
64,64,0.9781818181818182,0.9784718021704322,0.9794285235461706,0.9959778783308195,1.7519697348756778,3.3947493264311475,0.7140455372211474,1.1166721964599144,0.8270071494772341,0.11636363636363636,0.09636363636363633,0.03490909090909087,0.02109090909090906,0.011636363636363601,0.010909090909090879,0.010545454545454514,0.012363636363636354
65,65,0.9709090909090909,0.9712860131981328,0.9681818181818183,0.9949586776859504,2.1946127544752603,2.4804384213041066,0.8055378553614808,1.5469380050126185,1.0378566604521846,0.11781818181818186,0.0963636363636364,0.021090909090909125,0.007636363636363686,0.00981818181818187,0.0007272727272727431,0.0007272727272727541,0.013818181818181851
66,66,0.9672727272727273,0.9673774022079868,0.9534443907934975,0.9943666505713826,2.3000190514510614,3.0439103078890946,0.2594724570123516,1.4455335943938679,0.8849270778346476,0.10545454545454547,0.10945454545454547,0.04000000000000002,0.02072727272727274,-0.0010909090909090868,0.0040000000000000036,0.002909090909090928,0.00945454545454547
67,67,0.9745454545454545,0.9750754508649246,0.9758454106280193,0.9939130434782608,2.9043228729082027,2.6809021348279765,0.6302515113167224,1.3711829502523154,0.6838455691963067,0.0905454545454545,0.0974545454545454,0.027272727272727216,0.023636363636363567,0.009818181818181759,0.009818181818181759,0.0014545454545454306,0.014181818181818118
68,68,0.9636363636363636,0.9636363636363636,0.9407123145912384,0.9938771990341496,2.3824585172078945,2.2376978767081614,0.8439042146648953,0.8701762804709136,1.898208582052712,0.10654545454545454,0.14509090909090908,0.039999999999999994,0.03163636363636364,0.006545454545454532,0.0036363636363636264,0.0029090909090908946,0.010181818181818136
69,69,0.9527272727272728,0.9535649995876574,0.9406950280112045,0.9929096638655462,2.328066783212895,3.394461856109775,0.5358655429514196,1.056405154871215,0.5907572004407818,0.07236363636363638,0.07745454545454547,0.01563636363636367,0.006909090909090943,-0.0014545454545454417,-0.0007272727272727098,-0.009454545454545438,-0.0003636363636363438
