,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd1_scaled
46,46,0.9745454545454545,0.9742524541986493,0.9474387719903414,0.9946533287340462,2.9442767396421536,1.507877864421629,1.0352729304509083,0.7396418716077061,1.2071171051410379,0.17272727272727267,0.04654545454545448,0.031636363636363574,0.005454545454545423
47,47,0.9527272727272728,0.9520083519592185,0.9180296834772073,0.9926548538543086,2.0361838326429873,1.8136387300499077,1.147211732791571,1.5569518775772844,0.8028447364290826,0.16945454545454547,0.026181818181818205,0.05854545454545457,0.0010909090909091202
48,48,0.9563636363636364,0.9553454545454546,0.9083375828658848,0.9917559068502465,2.5266428562677965,1.4905442934458097,1.1040470547584742,1.4482115837194764,0.9591102743013188,0.16581818181818184,0.016727272727272792,0.02181818181818187,0.010909090909090969
49,49,0.9527272727272728,0.9525506712396657,0.9192393928941014,0.9884442911348741,2.4907680966315664,1.9386181364310975,0.8941393348834126,1.632251256324941,0.460126872139315,0.14181818181818184,0.034181818181818216,0.06254545454545458,0.022545454545454556
50,50,0.96,0.9601576743040158,0.9357052555535488,0.9873577749683945,3.037775587319781,2.0354496736434844,1.1993608209168825,0.6378341741800592,0.41438698907256616,0.14872727272727268,0.04872727272727271,0.06872727272727269,0.013454545454545419
51,51,0.9636363636363636,0.9633610262286733,0.9333390824422214,0.9948258020006898,2.7315298406254342,1.8889103917668209,0.5878113596641783,1.68830711185473,0.6613388615709748,0.15854545454545454,0.005090909090909079,0.026181818181818185,0.014545454545454528
52,52,0.9418181818181818,0.9397289570874477,0.8810185920864453,0.9922135706340378,3.0186437977452485,1.7509510370510244,1.318527941906817,0.8962979637204678,0.5387591675626231,0.15490909090909089,0.014181818181818129,0.002909090909090861,-4.4408920985006264e-17
53,53,0.9636363636363636,0.9629296343444098,0.9286821705426357,0.9934108527131783,3.1251883704439565,1.7182774952513216,0.794521831371724,1.0021995241078656,0.5881670917592361,0.16363636363636366,0.04036363636363636,0.01854545454545453,0.016000000000000004
54,54,0.9527272727272728,0.9531480090157776,0.9391086001255493,0.9795197740112995,2.4663236326707048,2.086389915568436,0.680731630725229,0.980812805353184,1.4947976846933702,0.15890909090909094,0.03381818181818186,0.06545454545454547,0.06763636363636366
55,55,0.9490909090909091,0.9490909090909091,0.9169972404277338,0.98637461193515,2.834634283864181,1.6951680393440192,0.68851333223546,1.1318983790913169,1.0638300398175151,0.15527272727272728,0.017818181818181834,0.027272727272727282,0.014545454545454539
