,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled
66,66,0.9090909090909091,0.908417125002785,0.8886102108174005,0.9589426422051085,1.8530590763092383,-0.7268578005406299,-0.1654026943818237,2.5128231052272914,3.1241139155276123,0.11440064360418338,0.082864038616251,0.06950925181013676,0.0754625905068383,0.057039420756234895,0.05358004827031373,0.06540627514078841,0.049074818986323376
67,67,0.918744971842317,0.9186254629642234,0.9078575515370078,0.9637261531170714,2.1167154986533965,-0.7129618676006112,0.05971879525914347,2.4329118767323172,2.881370459829151,0.11753821399839096,0.0905872888173773,0.09002413515687853,0.0925985518905873,0.06733708769106998,0.07232502011263073,0.061303298471440046,0.05494770716009652
68,68,0.9211584875301689,0.9205442325747276,0.9040124589896448,0.967063512875649,2.296818162391402,-0.26976050964601467,-0.6752881672525534,2.473748599052609,2.671012542608673,0.1057924376508447,0.08455349959774741,0.07803700724054707,0.09066773934030573,0.06862429605792437,0.05808527755430408,0.0658889782783588,0.05953338696701527
69,69,0.918744971842317,0.9183709484971104,0.9046953564890979,0.9607711379382254,2.021234736562121,-0.25333080967267274,-0.11631656091248574,2.3758926287670796,2.458736480329257,0.11134352373290421,0.0851166532582462,0.07779565567176186,0.07892196299275947,0.07465808527755431,0.07240547063555913,0.05526950925181011,0.04553499597747381
70,70,0.9018503620273531,0.9014900110204612,0.8865231259968103,0.9506626069305495,2.3470099328993808,-0.6168471339158921,0.040472955801127745,2.158390238055631,2.872726025832632,0.10144810941271112,0.08688656476267088,0.07578439259855187,0.07481898632341107,0.05430410297666932,0.050201126307320966,0.05325824617860013,0.04191472244569585
71,71,0.9211584875301689,0.9205610063581654,0.90618424429048,0.9659567188435548,1.6154148201804233,-0.6841852119717989,-0.27855057326936655,2.9175165103306098,3.0428466235536353,0.10997586484312145,0.08109412711182624,0.07634754625905069,0.07345132743362832,0.06484312148028962,0.058970233306516476,0.07192276749798873,0.05687851971037809
72,72,0.9203539823008849,0.9203800650830327,0.9090940094899169,0.958526097271649,1.6650971376580628,-0.3876386094339289,-0.1734714460292613,2.651929001140201,2.783793050986784,0.13000804505229283,0.10756234915526945,0.06725663716814159,0.11110217216411904,0.06516492357200321,0.06395816572807722,0.06524537409493161,0.05728077232502009
73,73,0.9340305711987128,0.9338912705871638,0.9214335458617005,0.9666888800835705,1.8739168306243474,-0.3666197766501268,-0.4097936115203334,3.2811446466891794,2.148426024883979,0.11287208366854387,0.07900241351568786,0.10168946098149642,0.08213998390989544,0.06291230893000803,0.05164923572003216,0.0752212389380531,0.05004022526146418
74,74,0.917135961383749,0.9163118169341863,0.8995619649571965,0.9661430057261726,1.9784925466522776,-0.45806970777009953,-0.25611809559987214,2.686360400689497,2.580231428276317,0.10474658085277548,0.07723250201126308,0.08334674175382142,0.06757843925985518,0.05124698310539015,0.0659694288012872,0.06725663716814159,0.04529364440868862
75,75,0.9203539823008849,0.9194882602785094,0.901937824310052,0.9678129448500712,1.8248845822032127,0.052953808397089186,-0.1393320517921626,2.3741477067014958,2.257812211565964,0.09903459372485919,0.07843925985518907,0.07119871279163315,0.07144006436041835,0.04312148028962184,0.06009654062751406,0.061625100563153644,0.04271922767497984
76,76,0.9243765084473049,0.9240467284267699,0.9109123569900475,0.9697760673425727,2.596433078862685,-0.24250289489105553,-0.4935977900519974,2.2616855560364777,2.461788406568757,0.10434432823813355,0.09018503620273535,0.10176991150442478,0.07168141592920355,0.07200321802091714,0.0563958165728077,0.085679806918745,0.05526950925181011
77,77,0.919549477071601,0.9198702648901225,0.9109750833353318,0.9691689249142665,1.5347316224858283,-0.578582859647365,0.024926201123904788,2.8200862049354978,2.82552284674497,0.11826226870474654,0.08978278358809333,0.09678197908286404,0.07747385358004828,0.07658889782783589,0.06452131938857601,0.07111826226870474,0.058728881737731276
78,78,0.911504424778761,0.9112280878766409,0.9006429771448545,0.9621401752190238,1.7209733210830245,-0.19675368187919687,-0.21317126216123486,3.0267780290002415,2.1668802234309785,0.12807723250201125,0.08817377312952532,0.07457763475462591,0.06331456154465002,0.06194690265486724,0.05358004827031373,0.05446500402252612,0.0560740144810941
