,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
65,65,0.9228269699431356,0.9181739879414298,0.9243841186319062,0.9556419251109516,-0.0007311129163282137,0.0010560519902517163,0.002030869212022779,0.0009748172217710627,0.0018683996750608056,0.005361494719739901,0.00982940698619017,0.013403736799350141,-0.001137286758732814,0.025345247766043855,0.026807473598700282,0.007148659626320053
66,66,0.917140536149472,0.9126712328767124,0.919128863376651,0.9459300007972573,-0.0004061738424046002,0.00016246953696186228,0.003086921202274606,0.00032493907392361354,0.0,0.0012185215272135785,0.06425670186839971,8.123476848098665e-05,-0.0018683996750610277,0.00422420796100742,0.0177904142973192,0.004955320877335523
67,67,0.9212022745735174,0.916162489196197,0.9224800021260198,0.9563754019506232,-8.123476848087563e-05,-0.0019496344435419033,0.00016246953696175126,-0.002680747359869895,0.006661251015434688,0.05109666937449231,0.03728675873273757,0.005767668562144723,0.010722989439480024,0.013403736799350141,0.0356620633631195,0.013647441104792768
68,68,0.9236393176279447,0.9197952218430034,0.9259400993914269,0.9483722660713811,0.00016246953696186228,0.001543460601137303,-8.123476848109767e-05,0.002030869212022779,0.015028432168968209,0.0390739236393175,0.0047928513403735495,0.01600324939073916,0.01998375304630373,0.028594638505280212,0.043379366368805794,0.02201462225832651
69,69,0.9203899268887084,0.9155172413793103,0.9218634563767307,0.9458741927768476,-0.002274573517465517,-0.002680747359869895,-0.003330625507717455,-0.000893582453289965,0.0012185215272136896,0.015515840779853907,0.1022745735174655,0.020471161657189207,-0.0004061738424047112,0.002274573517465406,0.011697806661250976,0.04199837530463035
70,70,0.9268887083671812,0.9224137931034483,0.9284062823885832,0.9641234154508491,0.005523964256701874,0.00040617384240437815,-0.0047928513403736606,-0.0012997562956947872,-0.003980503655564571,0.06588139723801778,0.058976441917140576,0.006661251015434577,0.0018683996750608056,0.07497969130787985,0.06376929325751435,0.007879772542648267
71,71,0.925264012997563,0.9209621993127147,0.9270389858885434,0.9563288952669483,-0.0002437043054427379,-0.0018683996750610277,0.0023558082859465035,0.0014622258326565385,0.005686433793663848,0.032981316003249384,0.04029244516653141,0.005117790414297496,0.00016246953696175126,0.02201462225832651,0.03663688058489034,0.006255077173029977
72,72,0.9268887083671812,0.9232081911262798,0.9292115123973531,0.9571925908209094,-0.0005686433793663515,0.0006498781478471161,0.003330625507717344,0.004874086108854869,0.006336311941511075,0.037367993501218555,0.07766043866774996,0.021527213647441035,0.002274573517465406,0.015353371242891822,0.04313566206336328,0.02404549147034929
73,73,0.9268887083671812,0.9232081911262798,0.9292115123973531,0.940359828855404,0.0034118602761982197,0.00178716490657993,0.0005686433793664625,0.001543460601137303,0.030706742485783978,0.014784727863525582,0.06214459788789617,0.04744110479285124,0.027213647441104882,0.02307067424857856,0.03883021933387487,0.03371242891957771
74,74,0.9325751421608448,0.9288774635818338,0.93460097265407,0.9519041165058864,0.0034930950446790954,0.010316815597075424,0.0009748172217708406,0.0112103980503655,0.00861088545897637,0.0797725426482534,0.052396425670186764,0.02461413484971542,0.010966693744922873,0.048578391551584055,0.06685621445978884,0.02185215272136476
75,75,0.9179528838342811,0.9127052722558341,0.9192085891200935,0.9540407664301469,0.0034118602761983308,0.0034930950446792064,0.0008123476848092004,0.0018683996750608056,-0.0010560519902518273,0.0355808285946384,0.005361494719740012,0.004792851340373772,-0.001787164906580041,0.042567018683996705,0.07952883834281077,0.04508529650690496
76,76,0.9220146222583265,0.9172413793103448,0.9234991628796938,0.9501209173775544,8.123476848065359e-05,8.123476848087563e-05,0.0019496344435416813,0.000893582453289965,-0.0021933387489847522,0.05580828594638498,0.027944760357433096,0.03168155970755482,-0.00048740861088558685,0.008204711616571991,0.030381803411860475,0.034524776604386576
77,77,0.9268887083671812,0.9228130360205832,0.9288088973929682,0.9553735151080284,0.0021121039805036546,0.0037367993501218333,0.002680747359870117,0.011616571892770211,0.0032493907392364685,0.08326563769293271,0.013566206336311892,0.009341998375304805,0.002437043054427268,0.020146222583265483,0.054995938261576005,0.014947197400487333
78,78,0.925264012997563,0.9213675213675213,0.9274416008929283,0.9539238353397645,-0.00032493907392361354,0.0006498781478472271,0.004061738424045558,0.0025182778229082547,0.0041429731925264335,0.022908204711616698,0.06896831844029261,0.012510154346060176,-0.00040617384240448917,0.028350934199837474,0.00519902518277815,0.00739236393176268
79,79,0.9187652315190902,0.9137931034482759,0.9202277498737677,0.9311076563288951,8.123476848076461e-05,0.0006498781478472271,-0.0006498781478474491,0.0004874086108854758,-0.0012185215272135785,0.013566206336312003,0.037530463038180306,0.04289195775792032,0.0032493907392363575,0.024939073923639254,0.010479285134037286,0.003086921202274606
80,80,0.9228269699431356,0.9181739879414298,0.9243841186319062,0.9514815700656408,-0.0006498781478473381,0.0004874086108853648,0.000893582453289965,0.002924451665312744,0.0013809910641755518,0.03728675873273757,0.061007311129163355,0.009829406986190059,-0.002680747359870117,0.04703493095044664,0.025182778229082103,0.0017059301380990544
81,81,0.9228269699431356,0.9181739879414298,0.9243841186319062,0.9597012942145685,0.0007311129163282137,-0.0010560519902517163,0.00032493907392361354,-0.0012185215272136896,0.00032493907392361354,0.050365556458163985,0.030706742485783978,0.012266450040617327,0.0010560519902517163,0.03631194151096662,0.014297319252640106,0.008448415922014618
