,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
67,67,0.8302193338748984,0.8381099922540666,0.8398721730580138,0.9501368625262432,-0.040536149471973926,0.006986190089358191,-0.018683996750609277,0.0019496344435417923,0.02160844841592202,0.06848090982940702,0.06003249390739229,0.028757108042241963,-0.02047116165718932,0.016490658001624747,0.038342810722989396,0.038992688870836734
68,68,0.8350934199837531,0.8412822517591869,0.8439740625581333,0.9583778468734219,0.01844029244516665,0.002680747359870006,0.009504467912266557,0.014134849715678244,0.09853777416734366,0.0798537774167345,0.00641754670999195,0.04914703493095052,-0.029163281884646564,0.08968318440292444,0.08513403736799363,0.08497156783103166
69,69,0.9285134037367994,0.9217081850533808,0.9276262988652368,0.9589718036620691,0.00203086921202289,0.0012185215272135785,0.0012185215272135785,0.0173842404549146,0.013403736799350252,0.06791226645004056,0.047766043866775076,0.004549147034930923,0.00381803411860282,0.03168155970755471,0.007067424857839288,0.019415109666937602
70,70,0.9228269699431356,0.9191489361702128,0.9253235536421378,0.9587950782641048,-0.007554833468724431,0.001543460601137192,0.002193338748984641,0.007067424857838955,-0.0027619821283509927,0.00519902518277815,0.030138099106417626,0.0028432168968318683,0.004955320877335301,0.03663688058489034,0.024126726238829943,0.01259138911454083
71,71,0.8968318440292445,0.8949545078577337,0.9014337346195753,0.9530973451327435,-0.011779041429731851,0.005361494719740012,0.044597887896019706,0.004874086108854647,0.09090170593013813,0.05727051177904141,0.09536961819658807,0.019740048740861105,0.016571892770105623,0.022502030869212097,0.07067424857839155,0.03866774979691312
72,72,0.685621445978879,0.7347498286497601,0.7055675144170719,0.7838103590315979,0.035580828594638514,0.00040617384240448917,0.00016246953696186228,0.001137286758732703,0.001137286758732703,0.0077173030056865155,0.003980503655564571,0.0013809910641754408,0.016165718927701134,0.008692120227457467,0.004792851340373772,0.0077173030056865155
73,73,0.6896831844029244,0.7369146005509641,0.7091870631693641,0.921967099843206,0.04890333062550767,0.004711616571892674,-0.0010560519902517163,-0.0023558082859463925,0.0034930950446790954,0.010154346060113673,0.013160032493907403,0.013972380178716493,0.012266450040617327,0.013322502030869154,0.013160032493907403,0.021527213647441035
74,74,0.8480909829406986,0.8483373884833739,0.8539729995482208,0.9161550931462437,-0.014134849715678355,0.0002437043054426269,0.008042242079610018,0.009585702680747432,0.1076360682372055,0.03980503655564571,0.021283509341998297,0.006498781478472715,0.043948009748172145,0.02705117790414291,0.026320064987814917,0.011941510966693714
75,75,0.9033306255077173,0.8925022583559169,0.9011321055568843,0.9455499747535147,0.05109666937449242,-0.0010560519902518273,-0.001137286758732814,0.0027619821283509927,-0.010479285134037286,0.037774167343623044,0.003168155970755482,0.007636068237205418,-0.011047928513403749,0.02843216896831846,0.09894394800974815,0.05523964256701841
76,76,0.8895207148659626,0.8740740740740741,0.8854168327619655,0.9482048420101516,0.016978066612510112,0.004061738424045558,0.00016246953696175126,0.012753858651502803,-0.03850528025995115,0.02623883021933382,0.030219333874898502,-0.012916328188464554,-0.03582453290008125,0.04597887896019481,0.0445166531275385,0.015922014622258174
77,77,0.851340373679935,0.8551068883610451,0.8592574875760717,0.9563288952669484,-0.046872461413485,0.04606011372867591,0.005361494719740234,0.034524776604386576,0.08830219333874889,0.10471161657189276,0.020714865962632056,0.03103168155970759,0.009179528838342721,0.05060926076360672,0.09626320064987814,0.04792851340373683
78,78,0.9155158407798538,0.9095652173913044,0.9162853118605331,0.953748438704191,0.12079610073111291,0.004549147034931034,-0.0021121039805036546,-0.0001624695369619733,-0.010722989439480024,0.027944760357433096,0.043541835905767656,0.008935824532900094,0.0352558895207149,0.061819658813972445,0.04768480909829409,0.0720552396425671
79,79,0.9212022745735174,0.917726887192536,0.9239562571420978,0.9697121900661724,-0.012753858651502914,0.002924451665312744,0.006904955320877315,0.014297319252639995,0.011535337124289113,0.0290008123476847,0.04329813160032481,0.005848903330625377,0.01380991064175452,0.06645004061738413,0.022339561332250235,0.020146222583265705
80,80,0.8805848903330625,0.8753180661577609,0.8830635945680194,0.9238645725371389,0.012103980503655576,0.005361494719740123,-0.006417546709991839,0.019171405361494753,0.10544272948822087,0.02705117790414291,0.04346060113728678,0.03809910641754666,-0.008935824532900094,0.041429731925264,0.0642567018683996,0.02242079610073111
81,81,0.9025182778229082,0.8979591836734694,0.9049443248558293,0.9567461266576311,0.01860276198212829,0.006498781478472826,0.010073111291632797,0.002437043054427157,-0.006986190089358191,0.03241267262388303,0.03046303818034113,0.027132412672624007,0.0010560519902517163,0.07067424857839155,0.03216896831844018,0.05995125913891142
82,82,0.9163281884646629,0.911130284728214,0.917707087618592,0.9444444444444444,0.03883021933387487,-0.004549147034930812,-0.0007311129163281027,0.019740048740861105,0.06206336311941507,0.05329000812347673,0.011616571892770211,-0.001543460601137192,0.02428919577579214,0.019983753046303954,0.04451665312753861,0.010885458976441886
83,83,0.6872461413484972,0.7346657477601654,0.7066664009141885,0.8734167796114698,0.008692120227457245,0.0004874086108854758,0.0030056864337936195,0.002437043054427157,0.0025182778229081437,0.020146222583265594,0.018115353371242815,0.00861088545897648,-0.031356620633631094,0.012185215272136563,0.011535337124289224,0.002274573517465406
