,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
82,82,0.9229494614747308,0.9201716738197425,0.9247790783623666,0.9701107642068334,0.013753106876553622,0.03703396851698437,0.0025683512841758738,0.0051367025683514145,0.0034797017398507935,0.005965202982601503,0.01739850869925441,0.004971002485501308
83,83,0.9221209610604806,0.919931856899489,0.9244494886532881,0.9551592511280518,-0.002651201325600594,0.00952775476387746,-0.002651201325600594,0.0020712510356256653,0.0010770505385252482,0.03256006628003316,0.06876553438276733,-0.002319801159900381
84,84,0.9246064623032312,0.9210754553339116,0.9257733636353607,0.9566293039727282,-0.012096106048053112,0.0030654515327259713,-0.0054681027340515165,0.004556752278376264,-0.005633802816901512,0.02974316487158246,0.0064623032311517115,0.15509527754763874
85,85,0.9146644573322287,0.9126378286683631,0.917238507110312,0.9438649426872456,-0.0009113504556752527,0.007207953603976858,0.019966859983429952,-0.00422535211267594,-0.0032311516155758557,0.00977630488815262,-0.009196354598177248,0.0074565037282519064
86,86,0.9179784589892295,0.9144338807260155,0.9193387796079123,0.963623776794678,-0.005633802816901401,0.0015741507870753457,-0.0011599005799503015,-0.002982601491300807,-0.012676056338028152,0.008616404308201986,0.014664457332228542,-0.0007456503728251462
87,87,0.8956089478044739,0.8948247078464107,0.8991579603499442,0.9389776375450946,-0.00505385252692625,0.04548467274233625,0.004639602319801206,0.0021541010770503854,0.013835956917978343,0.08475559237779606,0.016487158243579048,0.006959403479701698
88,88,0.9196354598177299,0.9173060528559249,0.9218968922034796,0.9576525490109551,0.0054681027340514055,0.03529411764705881,-0.0008285004142503105,-0.0061309030654514984,-0.00472245236122637,0.007539353769677071,0.004308202154100882,0.0032311516155757447
89,89,0.9362054681027341,0.9326334208223972,0.9368663327559767,0.965402733801838,0.006545153272576765,0.022286661143330666,0.0025683512841756517,-0.009693454846727345,0.000994200497100306,0.011267605633802913,0.03703396851698426,0.02858326429163216
90,90,0.9221209610604806,0.9193825042881647,0.9240026808468387,0.9455721897995433,-0.0057995028997513964,0.008864954432477368,0.001325600662800519,0.02742336371168208,-0.002071251035625443,0.023115161557580755,0.008036454018226946,0.018641259320629766
91,91,0.9121789560894781,0.9100169779286927,0.9146859106605032,0.9383846518760411,0.008036454018226946,0.004639602319801206,0.013338856669428467,0.0004971002485500975,0.0017398508699254522,0.007787903893951897,0.029743164871582572,0.017481358740679576
92,92,0.923777961888981,0.9190140845070423,0.9239916485553215,0.9695646657767285,0.002734051367025647,0.015078707539353697,-0.003976801988401002,0.00869925434962715,-0.01375310687655329,-0.0002485501242749377,0.003314001657000798,0.06644573322286662
