,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
38,38,0.9167340339531124,0.9127857747671465,0.9196994837758112,0.9635350821744627,-0.0008892481810832686,0.003233629749393674,0.0007275666936136238,0.005497170573969368,0.00016168148746975586,0.019644300727566955,0.028213419563459907,0.0035569927243330746,-0.0012126111560226693,0.026273241713823947,0.01705739692805175,0.010751818916733935
39,39,0.9151172190784155,0.9122807017543859,0.9191977454698694,0.9624446902654866,0.0024252223120452276,0.0041228779304769425,-0.0004850444624092676,0.0020210185933711156,0.0009700889248180911,0.033144704931285296,0.04357316087308005,0.02853678253839942,-0.0025869037995150945,0.03928860145513324,0.04850444624090533,0.03492320129345172
40,40,0.9191592562651576,0.9153976311336718,0.9222134428992836,0.9621154656552885,0.00436540016168141,0.002344381568310294,0.002101859337105938,0.0024252223120453387,-0.0006467259498786904,0.025222312045270923,0.025707356507679746,0.016814874696847282,-0.003476151980598141,0.03015359741309609,0.025222312045270923,0.03379143088116421
41,41,0.9159256265157639,0.9126050420168067,0.9195190686894227,0.9590286557100716,-0.000565885206143979,-0.0004042037186742231,0.0005658852061437569,0.0029911075181890956,0.0004042037186741121,0.02489894907033141,0.02708164915117217,0.010024252223120422,-0.002101859337105827,0.030234438156830912,0.034680679062247366,0.008811641067097642
42,42,0.9175424413904608,0.9137055837563451,0.9205844395280236,0.9668115254951538,0.00048504446240904553,0.000565885206143868,0.0033144704931287183,0.004931285367825389,0.0012934518997573807,0.028132578819725196,0.021665319320937848,0.021827000808407493,-0.005254648342764789,0.019725141471301555,0.02643492320129348,0.02239288601455136
43,43,0.9223928860145514,0.918918918918919,0.9256123577749684,0.9601559207753898,0.003961196443007298,0.0018593371059014707,0.0018593371059014707,0.007356507679870727,0.0038803556992724753,0.03880355699272442,0.023848019401778497,0.016895715440582104,0.0016976556184318259,0.03387227162489892,0.046160064672595036,0.031851253031528026
44,44,0.919967663702506,0.9163144547759933,0.923098398651496,0.9628845343447113,0.0013742926434924252,0.0031527890056587404,0.0024252223120452276,0.00687146321746146,0.002263540824575694,0.03492320129345183,0.027566693613581217,0.020695230396119646,-0.00307194826192414,0.03354890864995963,0.027566693613581328,0.012449474535165761
45,45,0.9151172190784155,0.911690496215307,0.9186341129372102,0.9618705225453014,0.0001616814874695338,0.002101859337105827,0.0031527890056588515,0.00307194826192414,-0.000565885206143979,0.03322554567502012,0.032821341956345895,0.02643492320129337,-0.00210185933710616,0.033387227162489874,0.03508488278092148,0.017057396928051527
46,46,0.9207760711398545,0.9173693086003373,0.9241242625368731,0.9612463126843658,0.002263540824575583,0.0009700889248180911,0.004769603880355744,0.0038803556992724753,0.0017784963621665373,0.025707356507679857,0.012287793047696116,0.02303961196442994,0.0004042037186742231,0.022231204527081827,0.03047696038803549,0.010913500404203691
47,47,0.9167340339531124,0.9130801687763713,0.9199813000421407,0.9598741045090603,0.0005658852061437569,0.0005658852061437569,0.0035569927243330746,0.0021827000808406494,-1.1102230246251565e-16,0.026596604688763126,0.02077607113985447,0.027243330638641927,-0.004850444624090566,0.01802748585286984,0.022150363783346894,0.03702506063055777
48,48,0.9207760711398545,0.9170896785109983,0.9238424462705436,0.9643462916139908,0.0009700889248182021,0.0008084074373482242,0.0024252223120451166,0.007841552142279662,0.0005658852061437569,0.018512530315278886,0.02635408245755866,0.023443815683104385,-0.004850444624090566,0.024090541632982965,0.027566693613581217,0.020856911883589402
49,49,0.9151172190784155,0.911986588432523,0.9189159292035398,0.958778445006321,0.0019401778496361821,0.0007275666936136238,-0.0014551333872273586,-1.1102230246251565e-16,0.0007275666936134018,0.033387227162489874,0.02578819725141457,0.025383993532740345,-0.0020210185933710045,0.028698464025869064,0.02457558609539201,0.03128536782538405
50,50,0.9191592562651576,0.9156829679595279,0.9224952591656131,0.9598978086809945,-0.0010509296685529135,0.0023443815683104052,0.0016976556184314928,0.006143896523848058,-0.001131770412287847,0.03888439773645913,0.03484236054971701,0.01584478577202908,-0.0024252223120455607,0.024333063864187654,0.01705739692805175,0.005497170573969146
51,51,0.9167340339531124,0.9130801687763713,0.9199813000421407,0.9641434892541086,-0.00024252223120435623,0.0016976556184314928,0.0016976556184317149,0.005335489086499612,0.0012126111560225583,0.04559417946645106,0.040582053354890735,0.009296685529506798,-0.00097008892481798,0.02886014551333882,0.008245755860953774,0.019805982215036377
52,52,0.9167340339531124,0.9136630343671417,0.9205449325747999,0.9601216814159292,0.0027485852869845173,0.005012126111560433,0.005416329830234434,0.003880355699272253,-0.0018593371059014707,0.03629749393694437,0.05481002425222303,0.03201293451899756,0.0035569927243330746,0.028051738075990262,0.029749393694421866,0.026596604688763126
