,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd3_scaled
22,22,0.9083333333333333,0.8777777777777778,0.8989424206815511,0.967024089306698,0.12499999999999989,-0.0029166666666665675,-0.007916666666666461,0.0024999999999999467,0.060833333333333406,-0.0004166666666667318,-1.1102230246251565e-16,-0.0050000000000000044,0.00374999999999992,-0.002083333333333326,0.015833333333333477,0.028750000000000053
23,23,0.8958333333333334,0.8587570621468926,0.8826380728554641,0.9663631022326674,0.13666666666666671,-0.010000000000000009,-0.0033333333333332993,-0.003750000000000031,0.046666666666666634,-0.02458333333333318,-0.014583333333333282,-0.025833333333333153,-0.0004166666666666208,0.006249999999999978,0.002083333333333215,0.012083333333333335
24,24,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.9414659224441833,0.1070833333333332,-0.007083333333333441,-0.010416666666666519,0.003750000000000031,0.07500000000000007,-0.015000000000000124,-0.0012500000000000844,-0.007083333333333441,-0.02041666666666675,0.012499999999999845,-0.00374999999999992,0.004583333333333273
25,25,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.9312573443008225,0.10250000000000004,-0.007083333333333441,-0.01708333333333334,0.006250000000000089,0.0625,-0.018750000000000155,-0.02833333333333332,-0.02458333333333329,-0.010833333333333584,-0.006666666666666599,-0.006250000000000089,-0.0008333333333332416
26,26,0.875,0.8255813953488372,0.8554641598119859,0.9531433607520564,0.13916666666666666,-0.0029166666666666785,-0.008333333333333415,0.0004166666666666208,0.04874999999999985,-0.004583333333333273,-0.02416666666666667,-0.012499999999999956,-0.008333333333333193,-0.0029166666666666785,-0.00374999999999992,0.004166666666666652
27,27,0.8958333333333334,0.8587570621468926,0.8826380728554641,0.9517479435957696,0.13,-0.0008333333333333526,0.007083333333333441,0.011250000000000093,0.0641666666666667,-0.01749999999999996,-0.005833333333333357,-0.011249999999999871,-0.008333333333333193,0.0029166666666664565,0.008333333333333415,0.002083333333333215
28,28,0.8666666666666667,0.8117647058823529,0.8445945945945945,0.962984723854289,0.012083333333333446,-0.002083333333333326,-0.00708333333333333,0.0012499999999999734,0.03416666666666679,-0.004166666666666652,-0.012083333333333224,-0.026666666666666616,0.0016666666666664831,-0.018333333333333313,-0.002083333333333326,0.002083333333333326
29,29,0.875,0.8275862068965517,0.8575205640423031,0.9655552291421856,0.08750000000000002,-0.002083333333333215,-0.0012499999999999734,0.006666666666666599,0.032916666666666705,-0.009583333333333277,-0.023749999999999938,-0.027083333333333237,-0.006666666666666599,-0.011249999999999871,-0.004999999999999893,0.002083333333333437
30,30,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9721650998824911,0.11791666666666667,-0.008333333333333526,-0.00041666666666650976,-0.006250000000000089,0.03916666666666668,-0.032916666666666705,-0.032500000000000195,-0.03708333333333347,-0.007500000000000173,-0.010000000000000009,-0.0024999999999999467,0.0033333333333334103
31,31,0.8875,0.8457142857142858,0.8717685076380728,0.9579905992949471,0.1891666666666666,-0.017916666666666803,-0.014583333333333393,-0.003750000000000142,0.05499999999999983,-0.01791666666666658,-0.0004166666666667318,-0.025000000000000022,-0.015833333333333366,-0.006666666666666821,-0.009583333333333499,0.005416666666666625
