,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
73,73,0.8215962441314554,0.7654320987654321,0.8038986704994611,0.9207689543657922,0.05962441314553979,0.0009389671361501595,-0.028638497652582195,-0.04647887323943667,0.038497652582159536,-0.07464788732394367,-0.08591549295774648,-0.04600938967136159,0.015023474178403773,-0.0046948356807512415,0.012676056338028152,0.00985915492957734
74,74,0.8169014084507042,0.7577639751552795,0.7984638878907653,0.8398311174991017,0.018779342723004744,-0.0046948356807511304,0.022535211267605604,0.027230046948356845,0.05539906103286385,-0.015492957746478964,-0.0370892018779343,-0.033333333333333326,-0.007511737089201942,0.024413145539906145,0.020187793427230094,0.03943661971830981
75,75,0.8450704225352113,0.8023952095808383,0.8310725835429393,0.9294825727632051,0.07887323943661961,-0.028169014084507116,-0.04178403755868554,-0.020187793427229983,0.03943661971830981,-0.05774647887323936,-0.06338028169014098,-0.0596244131455399,0.017840375586854473,0.029577464788732244,0.04788732394366191,0.029107981220657275
76,76,0.8591549295774648,0.8235294117647058,0.8473769313690263,0.9158282429033417,0.06619718309859146,-0.018309859154929664,-0.030985915492958038,0.001877934272300541,0.0624413145539906,-0.04647887323943667,-0.04225352112676062,-0.04882629107981229,0.028169014084507005,0.00938967136150215,0.00422535211267594,0.015492957746478742
77,77,0.8169014084507042,0.7607361963190185,0.7997664390945023,0.9192418253683075,0.05164319248826299,0.013145539906103232,-0.009389671361502372,-0.03286384976525836,0.0028169014084507005,-0.05258215962441315,-0.037089201877934186,-0.06478873239436611,0.008920187793427292,-0.025821596244131495,0.032394366197183055,0.036150234741783915
78,78,0.8732394366197183,0.8457142857142858,0.8649838303988502,0.9360402443406396,0.11126760563380289,-0.018779342723004966,-0.020657276995305285,0.0032863849765258912,0.030985915492957705,-0.030985915492957705,-0.027699530516432147,-0.030516431924882736,0.012206572769953072,0.0065727699530516714,0.015492957746478853,0.012206572769953072
79,79,0.7746478873239436,0.6883116883116883,0.7508533956162415,0.8856449874236436,-0.006103286384976481,0.00892018779342707,0.0046948356807512415,-0.023943661971830954,0.04319248826291078,-0.029107981220657164,-0.036150234741784026,-0.0624413145539906,-0.06525821596244141,-0.016901408450704203,0.011267605633802802,0.018779342723004633
80,80,0.7887323943661971,0.7096774193548387,0.7658551922385914,0.9327164929931728,0.008450704225352101,-0.04976525821596245,-0.005633802816901512,-0.019248826291079824,0.019248826291079713,-0.05070422535211272,-0.07934272300469492,-0.0713615023474179,0.009859154929577452,0.019248826291079713,0.020187793427229983,0.00328638497652578
81,81,0.7793427230046949,0.6887417218543046,0.7536830758174631,0.8460294646065397,0.018309859154929664,-0.035211267605633756,-0.06056338028169017,0.005633802816901512,0.015023474178403884,-0.06619718309859157,-0.07558685446009394,-0.10046948356807517,0.0028169014084507005,0.00046948356807507974,0.007511737089201831,0.007511737089201942
82,82,0.8028169014084507,0.7341772151898734,0.7821595400646784,0.9525691699604744,0.030046948356807546,0.015962441314554043,-0.01220657276995285,-0.038028169014084456,0.009389671361502483,-0.018779342723004633,-0.0765258215962441,-0.05023474178403764,0.019248826291079824,0.00046948356807519076,0.018779342723004633,0.024413145539906034
