,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled
35,35,0.7397260273972602,0.7164179104477612,0.7456350564875043,0.8468846285518657,0.27625570776255715
36,36,0.7397260273972602,0.7164179104477612,0.7456350564875043,0.8616912016432727,0.28036529680365296
37,37,0.7899543378995434,0.7526881720430108,0.7859465936323178,0.8842862033550154,0.3369863013698631
38,38,0.7671232876712328,0.7357512953367875,0.7677593289969189,0.874272509414584,0.2936073059360731
39,39,0.7579908675799086,0.7414634146341463,0.7673741869222869,0.8640020540910648,0.31689497716894977
40,40,0.8401826484018264,0.7928994082840237,0.8247603560424512,0.9100479287915098,0.373972602739726
41,41,0.6986301369863014,0.6796116504854369,0.7072064361520027,0.8436323176994178,0.24520547945205484
42,42,0.7579908675799086,0.7195767195767195,0.7553919890448476,0.8729031153714482,0.2908675799086758
43,43,0.8356164383561644,0.7906976744186046,0.8223211229031153,0.9026874358096542,0.3853881278538813
44,44,0.8264840182648402,0.8,0.8264293050325231,0.9026874358096542,0.37031963470319634
45,45,0.7123287671232876,0.6834170854271356,0.7160219103046901,0.8574118452584731,0.25981735159817354
46,46,0.7990867579908676,0.7528089887640449,0.7893272851763096,0.8797500855871276,0.32374429223744294
47,47,0.771689497716895,0.7340425531914894,0.7687007874015748,0.8649435124957205,0.3068493150684932
48,48,0.8356164383561644,0.7857142857142857,0.8193255734337556,0.8950701814447106,0.34292237442922374
49,49,0.7397260273972602,0.7076923076923077,0.7411417322834646,0.8497090037658335,0.2662100456621004
50,50,0.7488584474885844,0.7150259067357513,0.7490157480314961,0.8681102362204725,0.2881278538812786
51,51,0.8401826484018264,0.7953216374269005,0.8262581307771311,0.9029441971927421,0.3885844748858447
52,52,0.7351598173515982,0.7070707070707071,0.7387024991441287,0.8576686066415611,0.2881278538812786
53,53,0.8721461187214612,0.8409090909090909,0.8628038343033209,0.9065388565559739,0.43698630136986305
54,54,0.7442922374429224,0.7052631578947368,0.7420831906881205,0.8634029441971928,0.2794520547945206
55,55,0.817351598173516,0.7777777777777778,0.8095686408764122,0.8860835330366312,0.3589041095890411
56,56,0.8082191780821918,0.7640449438202247,0.7986990756590209,0.8675111263266004,0.326027397260274
57,57,0.8264840182648402,0.7912087912087912,0.8204382060938036,0.8990927764464225,0.365296803652968
58,58,0.7442922374429224,0.711340206185567,0.7450787401574803,0.8555289284491613,0.28812785388127854
59,59,0.7579908675799086,0.7253886010362695,0.7583875385142075,0.8662273194111605,0.29954337899543376
60,60,0.726027397260274,0.7,0.7308284833960972,0.8586956521739132,0.2739726027397261
61,61,0.7123287671232876,0.6896551724137931,0.71901745977405,0.8461999315302979,0.26392694063926936
62,62,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.8873673399520712,0.40045662100456614
63,63,0.8264840182648402,0.759493670886076,0.8024649092776446,0.9332420403971244,0.30593607305936066
64,64,0.7625570776255708,0.7263157894736842,0.7608267716535433,0.8524477918521054,0.30639269406392694
65,65,0.8401826484018264,0.7928994082840237,0.8247603560424512,0.892245806230743,0.3684931506849315
66,66,0.7488584474885844,0.7488584474885844,0.7684868195823348,0.8500513522766175,0.2972602739726027
67,67,0.730593607305936,0.7121951219512195,0.7392588154741526,0.8538171858952414,0.27716894977168954
68,68,0.8127853881278538,0.7630057803468208,0.7996405340636767,0.9030297843204381,0.3598173515981735
69,69,0.730593607305936,0.700507614213198,0.7332677165354331,0.8617767887709689,0.27625570776255703
70,70,0.7031963470319634,0.6889952153110048,0.7141389934953783,0.8426908592947622,0.24794520547945204
71,71,0.7579908675799086,0.7336683417085427,0.7628808627182472,0.8640876412187607,0.30410958904109586
72,72,0.7625570776255708,0.7291666666666666,0.7623245463882232,0.8760698390962001,0.308675799086758
73,73,0.7123287671232876,0.6985645933014354,0.7235107839780897,0.8453440602533379,0.2735159817351598
74,74,0.730593607305936,0.7203791469194313,0.7437521396781924,0.8557856898322493,0.29908675799086754
75,75,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9074803149606299,0.3936073059360731
76,76,0.5570776255707762,0.6135458167330677,0.5956436152002739,0.5037658336186237,0.05251141552511418
77,77,0.7534246575342466,0.71875,0.7529527559055118,0.8678534748373844,0.30228310502283107
78,78,0.7534246575342466,0.7157894736842105,0.7514549811708319,0.8688805203697365,0.2899543378995434
79,79,0.817351598173516,0.7674418604651163,0.8035775419376925,0.8858267716535433,0.3666666666666667
80,80,0.8493150684931506,0.8135593220338984,0.8401232454638823,0.9040568298527902,0.39543378995433787
81,81,0.8082191780821918,0.7640449438202247,0.7986990756590209,0.8918178705922629,0.35022831050228315
82,82,0.7123287671232876,0.6896551724137931,0.71901745977405,0.8310510099281068,0.25114155251141546
