,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled
173,173,0.6617647058823529,0.0,0.5,0.8651570048309178,-1.1102230246251565e-16
174,174,0.6617647058823529,0.0,0.5,0.8634057971014493,-1.1102230246251565e-16
175,175,0.6617647058823529,0.0,0.5,0.8623792270531401,-1.1102230246251565e-16
176,176,0.6985294117647058,0.21153846153846154,0.5570048309178744,0.8604468599033818,0.03749999999999987
177,177,0.6654411764705882,0.021505376344086023,0.5054347826086957,0.8623792270531401,0.00367647058823517
178,178,0.6875,0.1414141414141414,0.5380434782608696,0.8664855072463769,0.026102941176470495
179,179,0.6617647058823529,0.0,0.5,0.8641304347826088,-1.1102230246251565e-16
180,180,0.6911764705882353,0.16,0.5434782608695652,0.8628019323671497,0.02904411764705883
181,181,0.6617647058823529,0.0,0.5,0.8613526570048309,-1.1102230246251565e-16
182,182,0.6617647058823529,0.0,0.5,0.861352657004831,-1.1102230246251565e-16
183,183,0.6617647058823529,0.0,0.5,0.8647946859903382,-1.1102230246251565e-16
184,184,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8608695652173912,0.04044117647058809
185,185,0.6911764705882353,0.16,0.5434782608695652,0.8609903381642512,0.02941176470588225
186,186,0.8235294117647058,0.6571428571428571,0.7444444444444445,0.8394927536231884,0.17426470588235277
187,187,0.6617647058823529,0.0,0.5,0.8631038647342996,-1.1102230246251565e-16
188,188,0.6617647058823529,0.0,0.5,0.8624396135265701,-1.1102230246251565e-16
189,189,0.6617647058823529,0.0,0.5,0.8637077294685991,-1.1102230246251565e-16
190,190,0.6617647058823529,0.0,0.5,0.8620772946859903,-1.1102230246251565e-16
191,191,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8677536231884058,0.014705882352941124
192,192,0.6801470588235294,0.10309278350515463,0.5271739130434783,0.8635869565217392,0.018382352941176405
193,193,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.8611714975845411,0.014705882352941124
194,194,0.6617647058823529,0.0,0.5,0.8640700483091788,-1.1102230246251565e-16
195,195,0.6617647058823529,0.0,0.5,0.8657608695652174,-1.1102230246251565e-16
196,196,0.7022058823529411,0.21359223300970873,0.5597826086956522,0.8623792270531401,0.04080882352941162
197,197,0.6764705882352942,0.08333333333333333,0.5217391304347826,0.860024154589372,0.014705882352941124
198,198,0.6617647058823529,0.0,0.5,0.8644927536231883,-1.1102230246251565e-16
199,199,0.6617647058823529,0.0,0.5,0.8640700483091788,-1.1102230246251565e-16
200,200,0.6617647058823529,0.0,0.5,0.8661231884057972,-1.1102230246251565e-16
201,201,0.6617647058823529,0.0,0.5,0.86231884057971,-1.1102230246251565e-16
202,202,0.6617647058823529,0.0,0.5,0.8658816425120772,-1.1102230246251565e-16
203,203,0.6617647058823529,0.0,0.5,0.8631038647342995,-1.1102230246251565e-16
204,204,0.6617647058823529,0.0,0.5,0.8650362318840579,-1.1102230246251565e-16
205,205,0.6617647058823529,0.0,0.5,0.8597826086956522,-1.1102230246251565e-16
206,206,0.6617647058823529,0.0,0.5,0.8622584541062803,-1.1102230246251565e-16
