,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled
157,157,0.72,0.6956521739130435,0.7296502124877411,0.8217554756456358,0.30177777777777776
158,158,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8164432821183394,0.3035555555555556
159,159,0.72,0.6956521739130435,0.7296502124877411,0.814481856815953,0.29422222222222216
160,160,0.72,0.6956521739130435,0.7296502124877411,0.8238803530565545,0.29999999999999993
161,161,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8162798300098072,0.28222222222222226
162,162,0.72,0.6956521739130435,0.7296502124877411,0.8170970905524682,0.3008888888888888
163,163,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8148904870872835,0.292
164,164,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8130107878391631,0.28755555555555556
165,165,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8195488721804511,0.3088888888888889
166,166,0.7155555555555555,0.6862745098039216,0.7225400457665905,0.8060640732265446,0.29288888888888887
167,167,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8251062438705459,0.30311111111111116
168,168,0.7288888888888889,0.7053140096618358,0.7388443935926774,0.8206930369401766,0.30933333333333335
169,169,0.72,0.6956521739130435,0.7296502124877411,0.819385420071919,0.3048888888888888
170,170,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8163615560640732,0.312
171,171,0.7422222222222222,0.6947368421052632,0.7383949002942138,0.8100686498855836,0.2951111111111111
172,172,0.72,0.6956521739130435,0.7296502124877411,0.8208564890487088,0.29777777777777775
173,173,0.72,0.6956521739130435,0.7296502124877411,0.821183393265773,0.2991111111111111
174,174,0.72,0.6956521739130435,0.7296502124877411,0.8209382151029748,0.2991111111111111
175,175,0.72,0.6956521739130435,0.7296502124877411,0.8155442955214122,0.29688888888888887
176,176,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8150539391958155,0.29066666666666663
177,177,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8156260215756783,0.3057777777777778
178,178,0.7155555555555555,0.6893203883495146,0.7242154298790454,0.8165250081726054,0.2986666666666665
179,179,0.72,0.6956521739130435,0.7296502124877411,0.8207747629944425,0.3062222222222222
180,180,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8125204315135666,0.2808888888888889
181,181,0.72,0.6956521739130435,0.7296502124877411,0.8201209545603139,0.3026666666666667
182,182,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8130107878391631,0.29333333333333333
183,183,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8181595292579275,0.308
184,184,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8132559660019614,0.2875555555555556
185,185,0.72,0.6956521739130435,0.7296502124877411,0.8166067342268716,0.3008888888888888
186,186,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8154625694671462,0.29377777777777775
187,187,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8138280483818241,0.2888888888888889
188,188,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8016508662961752,0.28222222222222226
189,189,0.7244444444444444,0.6990291262135923,0.7334096109839817,0.8197940503432495,0.3048888888888889
190,190,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8099051977770513,0.2911111111111111
191,191,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.813010787839163,0.2924444444444445
192,192,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8094965675057209,0.29333333333333345
193,193,0.7288888888888889,0.7053140096618358,0.7388443935926774,0.8242072572736189,0.30577777777777776
194,194,0.72,0.6956521739130435,0.7296502124877411,0.8242072572736189,0.30177777777777776
195,195,0.7111111111111111,0.6829268292682927,0.7187806472703497,0.8086793069630598,0.2835555555555556
196,196,0.72,0.6956521739130435,0.7296502124877411,0.8205295848316443,0.29777777777777775
197,197,0.72,0.6956521739130435,0.7296502124877411,0.8126838836220988,0.30177777777777776
