,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled
161,161,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8336874795684864,0.4315555555555555
162,162,0.7866666666666666,0.76,0.7927427263811704,0.8320529584831644,0.3702222222222221
163,163,0.8488888888888889,0.8131868131868132,0.8420235371036286,0.8327067669172933,0.42844444444444446
164,164,0.7911111111111111,0.7684729064039408,0.799852893102321,0.8326250408630271,0.3648888888888889
165,165,0.8133333333333334,0.7878787878787878,0.818649885583524,0.8640895717554756,0.3924444444444445
166,166,0.88,0.847457627118644,0.8700147106897679,0.9029094475318733,0.46355555555555555
167,167,0.7511111111111111,0.7333333333333333,0.7643429225237006,0.8208564890487088,0.32577777777777767
168,168,0.7822222222222223,0.7677725118483413,0.797360248447205,0.8377737822817914,0.3622222222222222
169,169,0.7955555555555556,0.7676767676767676,0.8002615233736515,0.8594311866623079,0.3595555555555555
170,170,0.88,0.8571428571428571,0.8800670153644983,0.9037267080745343,0.4613333333333334
171,171,0.8533333333333334,0.8070175438596491,0.8374060150375939,0.8354854527623408,0.39911111111111114
172,172,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8334423014056882,0.42666666666666664
173,173,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8349950964367441,0.4057777777777778
174,174,0.7244444444444444,0.7129629629629629,0.741786531546257,0.8028767571101666,0.3084444444444444
175,175,0.7822222222222223,0.7537688442211056,0.7873079437724746,0.8312356979405034,0.3511111111111111
176,176,0.88,0.8571428571428571,0.8800670153644983,0.8712814645308924,0.4693333333333334
177,177,0.7955555555555556,0.77,0.8019369074861066,0.8611474338018961,0.3702222222222222
178,178,0.8577777777777778,0.813953488372093,0.8428407976462897,0.834259561948349,0.4173333333333333
179,179,0.7022222222222222,0.6912442396313364,0.7196387708401438,0.7964203988231447,0.27999999999999997
180,180,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8322164105916966,0.4351111111111111
181,181,0.8711111111111111,0.8361581920903954,0.8608205295848317,0.887218045112782,0.42577777777777776
182,182,0.88,0.8540540540540541,0.8767162471395882,0.9081399150049035,0.46133333333333326
183,183,0.8622222222222222,0.8248587570621468,0.8516263484798954,0.83319712324289,0.43288888888888893
184,184,0.8711111111111111,0.8379888268156425,0.8624959136972867,0.8841941811049363,0.4426666666666666
185,185,0.8222222222222222,0.7916666666666666,0.8228179143510952,0.8649885583524027,0.3897777777777777
186,186,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8349950964367441,0.4315555555555556
187,187,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8353220006538085,0.4248888888888889
188,188,0.8088888888888889,0.7794871794871795,0.8115397188623733,0.8664596273291926,0.36933333333333335
189,189,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8324615887544949,0.4346666666666667
190,190,0.8533333333333334,0.8176795580110497,0.8457829355998692,0.8327067669172932,0.4248888888888889
191,191,0.7555555555555555,0.7342995169082126,0.7664269369074861,0.819467146126185,0.3315555555555556
192,192,0.8088888888888889,0.7772020725388601,0.8098643347499183,0.8262504086302713,0.3871111111111111
193,193,0.8711111111111111,0.8342857142857143,0.8591451454723766,0.876675384112455,0.43599999999999994
194,194,0.7466666666666667,0.7323943661971831,0.7622589081399149,0.8160346518470087,0.32222222222222224
195,195,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8357306309251389,0.4208888888888889
196,196,0.7955555555555556,0.77,0.8019369074861066,0.8511768551814317,0.3711111111111111
197,197,0.8711111111111111,0.8432432432432433,0.8675220660346519,0.8792906178489702,0.4582222222222221
198,198,0.7466666666666667,0.7246376811594203,0.7572327558025498,0.8120300751879699,0.3164444444444445
199,199,0.8266666666666667,0.7868852459016393,0.8198757763975155,0.8605753514220333,0.37955555555555553
200,200,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8342595619483492,0.43822222222222224
201,201,0.8266666666666667,0.7958115183246073,0.8265773128473357,0.864334749918274,0.39288888888888895
202,202,0.8577777777777778,0.8202247191011236,0.8478669499836547,0.8323798627002288,0.4297777777777777
203,203,0.7511111111111111,0.7383177570093458,0.7676936907486107,0.8076168682576005,0.3226666666666666
204,204,0.7688888888888888,0.7425742574257426,0.7760297482837528,0.823471722785224,0.32977777777777767
205,205,0.7466666666666667,0.7323943661971831,0.7622589081399149,0.8030402092186988,0.3253333333333334
206,206,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.8345047401111474,0.4351111111111111
207,207,0.88,0.847457627118644,0.8700147106897679,0.8931023210199411,0.45599999999999996
208,208,0.8577777777777778,0.8202247191011236,0.8478669499836547,0.8331153971886237,0.43244444444444446
209,209,0.8577777777777778,0.813953488372093,0.8428407976462897,0.8337692056227525,0.4235555555555555
210,210,0.8444444444444444,0.8186528497409327,0.8466410591696634,0.8743053285387382,0.41511111111111115
211,211,0.7822222222222223,0.7609756097560976,0.7923340961098397,0.842268715266427,0.36711111111111117
212,212,0.7555555555555555,0.7393364928909952,0.7697777051323962,0.7486106570774763,0.3288888888888888
213,213,0.7466666666666667,0.7323943661971831,0.7622589081399149,0.8081072245831971,0.32977777777777784
214,214,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8354854527623408,0.43644444444444447
215,215,0.8844444444444445,0.8645833333333334,0.8871771820856489,0.892121608368748,0.4706666666666667
216,216,0.7866666666666666,0.7647058823529411,0.7960934946060805,0.8655606407322655,0.35511111111111104
217,217,0.6844444444444444,0.6872246696035242,0.7096273291925466,0.7236024844720497,0.2746666666666666
218,218,0.7333333333333333,0.7222222222222222,0.7509807126511931,0.8244524354364172,0.316
219,219,0.76,0.75,0.778563255966002,0.8072899640405361,0.3484444444444445
220,220,0.7111111111111111,0.7004608294930875,0.72883295194508,0.8070447858777379,0.3
221,221,0.8488888888888889,0.8210526315789474,0.8487250735534488,0.8777378228179145,0.3995555555555556
222,222,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8368747956848643,0.428888888888889
223,223,0.8666666666666667,0.8275862068965517,0.853710362863681,0.8358940830336712,0.42844444444444446
224,224,0.8577777777777778,0.8181818181818182,0.8461915658711998,0.893837855508336,0.42266666666666663
