,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled
218,218,0.7488584474885844,0.729064039408867,0.7565046217048956,0.8407223553577542,0.3082191780821918
219,219,0.8036529680365296,0.7860696517412935,0.8112375898664841,0.8791509756932556,0.37077625570776257
220,220,0.8493150684931506,0.8216216216216217,0.8461143444026018,0.9036288942143101,0.4013698630136986
221,221,0.7488584474885844,0.7417840375586855,0.7639934953782952,0.874529270797672,0.3251141552511415
222,222,0.8127853881278538,0.7853403141361257,0.8131205066757959,0.8819753509072235,0.3789954337899543
223,223,0.8584474885844748,0.837696335078534,0.859979459089353,0.9035433070866142,0.4146118721461188
224,224,0.7579908675799086,0.7309644670050761,0.7613830879835672,0.8770112975008559,0.2972602739726027
225,225,0.7534246575342466,0.73,0.7589438548442314,0.8631461828141047,0.30639269406392694
226,226,0.7168949771689498,0.7129629629629629,0.7334388907908251,0.8800924340979116,0.2776255707762557
227,227,0.730593607305936,0.714975845410628,0.7407565902088327,0.8578397808969531,0.29086757990867584
228,228,0.7488584474885844,0.7368421052631579,0.7609979459089353,0.8656282095172886,0.3187214611872146
229,229,0.7853881278538812,0.7707317073170732,0.7954895583704211,0.9153543307086615,0.3488584474885844
230,230,0.7351598173515982,0.7289719626168224,0.7506846970215679,0.8408935296131461,0.2885844748858448
231,231,0.8493150684931506,0.8135593220338984,0.8401232454638823,0.907223553577542,0.3977168949771689
232,232,0.7808219178082192,0.7735849056603774,0.7960458747004451,0.8800924340979117,0.35936073059360735
233,233,0.726027397260274,0.7169811320754716,0.7398151318041766,0.8705922629236562,0.29223744292237447
234,234,0.7442922374429224,0.7383177570093458,0.7600564875042795,0.8652858610065046,0.3168949771689499
235,235,0.817351598173516,0.7560975609756098,0.797586442998973,0.9144984594317015,0.3794520547945206
236,236,0.6621004566210046,0.672566371681416,0.6846970215679562,0.8329339267374186,0.23926940639269412
237,237,0.7168949771689498,0.7047619047619048,0.7289455665867853,0.8503937007874015,0.28310502283105027
238,238,0.7625570776255708,0.7636363636363637,0.7832933926737418,0.9267374186922286,0.34337899543378997
