,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
26,26,0.6334661354581673,0.0,0.5,0.9395679518731201,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
27,27,0.6334661354581673,0.0,0.5,0.898003828274542,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
28,28,0.8844621513944223,0.861244019138756,0.9042247744052503,0.977508887065901,0.018326693227091684,0.14701195219123497,0.18844621513944215,0.08286852589641436
29,29,0.6334661354581673,0.0,0.5,0.9278096800656276,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
30,30,0.6334661354581673,0.0,0.5,0.8781788351107466,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
31,31,0.6334661354581673,0.0,0.5,0.8784522832923161,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
32,32,0.8685258964143426,0.8465116279069768,0.8939362865736943,0.979901558654635,0.0019920318725099584,0.26015936254980077,0.245816733067729,0.22310756972111545
33,33,0.6334661354581673,0.0,0.5,0.8789991796554553,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
34,34,0.8366533864541833,0.7759562841530054,0.8229764834563851,0.9204265791632487,0.10517928286852585,0.023505976095617664,0.007171314741035939,0.018725099601593742
35,35,0.6334661354581673,0.0,0.5,0.9374487284659557,-1.1102230246251565e-16,-0.006772908366533881,-0.0023904382470120167,-1.1102230246251565e-16
36,36,0.848605577689243,0.8137254901960784,0.85989198796828,0.9193327864369701,0.144223107569721,0.005976095617529875,0.005976095617529875,0.032270916334661504
37,37,0.852589641434263,0.8262910798122066,0.874487284659557,0.939909762100082,0.05617529880478089,0.0019920318725099584,0.003984063745020028,-0.011553784860557803
38,38,0.8406374501992032,0.797979797979798,0.8444421657095981,0.9270576975663112,0.14820717131474093,0.017928286852589626,0.03585657370517936,0.013147410358565703
39,39,0.6334661354581673,0.0,0.5,0.9016953787257315,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
40,40,0.8286852589641435,0.7597765363128491,0.8098167897183484,0.9183073557560844,0.008366533864542003,0.017529880478087678,0.025498007968127512,0.0677290836653387
41,41,0.8605577689243028,0.8292682926829268,0.8739062072737216,0.9146158053048947,0.06135458167330676,0.016334661354581614,0.0063745019920319335,0.007569721115537775
42,42,0.649402390438247,0.40540540540540543,0.5812824719715615,0.8459119496855345,0.012350597609561698,0.0023904382470119057,0.02390438247011939,-0.0063745019920319335
43,43,0.8127490039840638,0.7314285714285714,0.7880776592835658,0.9287667487011211,0.1625498007968128,0.0035856573705178585,-0.005577689243027817,0.021513944223107595
44,44,0.6533864541832669,0.2689075630252101,0.552365326770577,0.8937653814602133,0.021513944223107484,-0.009163346613545897,-0.014342629482071767,-0.020318725099601642
45,45,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9354662291495761,0.12071713147410357,0.021513944223107595,0.028685258964143423,0.00039840637450194727
46,46,0.6334661354581673,0.0,0.5,0.9205633032540335,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
47,47,0.8207171314741036,0.7058823529411765,0.7714656822532131,0.9412770030079299,0.03824701195219127,0.012749003984063756,0.020318725099601753,0.021513944223107595
48,48,0.8924302788844621,0.8708133971291866,0.9128042111019962,0.9828411266065081,-0.002788844621513742,0.27091633466135445,0.2366533864541832,0.11992031872509956
49,49,0.6334661354581673,0.0,0.5,0.8985507246376812,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
50,50,0.8087649402390438,0.7176470588235294,0.7780626196335794,0.9250751982499317,0.06892430278884454,-0.0023904382470120167,-0.005577689243027928,0.0003984063745020583
