,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled
232,232,0.6334661354581673,0.0,0.5,0.9175895542794641,-1.1102230246251565e-16
233,233,0.6334661354581673,0.0,0.5,0.9398072190319935,-1.1102230246251565e-16
234,234,0.6334661354581673,0.0,0.5,0.9200505879135904,-1.1102230246251565e-16
235,235,0.6334661354581673,0.0,0.5,0.9000205086136177,-1.1102230246251565e-16
236,236,0.6334661354581673,0.0,0.5,0.9151285206453377,-1.1102230246251565e-16
237,237,0.6334661354581673,0.0,0.5,0.929757998359311,-1.1102230246251565e-16
238,238,0.6334661354581673,0.0,0.5,0.8867240907847962,-1.1102230246251565e-16
239,239,0.6334661354581673,0.0,0.5,0.9169401148482362,-1.1102230246251565e-16
240,240,0.6334661354581673,0.0,0.5,0.9252461033634126,-1.1102230246251565e-16
241,241,0.6334661354581673,0.0,0.5,0.8625581077385834,-1.1102230246251565e-16
242,242,0.6334661354581673,0.0,0.5,0.9179313645064261,-1.1102230246251565e-16
243,243,0.6334661354581673,0.0,0.5,0.8417418649165984,-1.1102230246251565e-16
244,244,0.6334661354581673,0.0,0.5,0.911402789171452,-1.1102230246251565e-16
245,245,0.6334661354581673,0.0,0.5,0.9081897730380092,-1.1102230246251565e-16
246,246,0.6334661354581673,0.0,0.5,0.919982225868198,-1.1102230246251565e-16
247,247,0.6334661354581673,0.0,0.5,0.919127700300793,-1.1102230246251565e-16
248,248,0.6334661354581673,0.0,0.5,0.9147525293956796,-1.1102230246251565e-16
249,249,0.6334661354581673,0.0,0.5,0.910035548263604,-1.1102230246251565e-16
