,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled
69,69,0.8247011952191236,0.7755102040816326,0.8249931637954608,0.9353978671041838,0.3689243027888447
70,70,0.6334661354581673,0.0,0.5,0.9291085589280831,-1.1102230246251565e-16
71,71,0.6334661354581673,0.0,0.5,0.914684167350287,-1.1102230246251565e-16
72,72,0.6334661354581673,0.0,0.5,0.9330735575608422,-1.1102230246251565e-16
73,73,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9157779600765655,0.4350597609561753
74,74,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9318430407437791,0.4557768924302789
75,75,0.6334661354581673,0.0,0.5,0.8658053048947224,-1.1102230246251565e-16
76,76,0.9243027888446215,0.8950276243093923,0.9150601585999454,0.9825676784249385,0.4374501992031873
77,77,0.6334661354581673,0.0,0.5,0.8381870385561936,-1.1102230246251565e-16
78,78,0.6334661354581673,0.0,0.5,0.4880708230790265,-1.1102230246251565e-16
79,79,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9372436423297785,0.48804780876494025
80,80,0.8406374501992032,0.8095238095238095,0.8581829368334701,0.9317063166529943,0.3079681274900399
81,81,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.9055236532677058,0.4860557768924303
82,82,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9135903746240088,0.49123505976095616
83,83,0.6334661354581673,0.0,0.5,0.9338255400601585,-1.1102230246251565e-16
84,84,0.8167330677290837,0.7444444444444445,0.7980926989335522,0.9106508066721357,0.31075697211155395
85,85,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9040880503144654,0.49043824701195216
86,86,0.7848605577689243,0.6746987951807228,0.7477440525020509,0.9273995077932732,0.20438247011952193
87,87,0.6334661354581673,0.0,0.5,0.9078479628110473,-1.1102230246251565e-16
88,88,0.9282868525896414,0.9021739130434783,0.9227850697292863,0.984208367514356,0.4792828685258964
89,89,0.6334661354581673,0.0,0.5,0.8783839212469237,-1.1102230246251565e-16
90,90,0.848605577689243,0.8207547169811321,0.8690525020508614,0.905386929176921,0.43864541832669324
91,91,0.6334661354581673,0.0,0.5,0.9046349466776046,-1.1102230246251565e-16
92,92,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9114711512168444,0.4354581673306773
93,93,0.6334661354581673,0.0,0.5,0.9519756631118402,-1.1102230246251565e-16
94,94,0.8087649402390438,0.7419354838709677,0.7963836477987422,0.8824172819250753,0.33187250996015927
95,95,0.6334661354581673,0.0,0.5,0.8971151216844409,-1.1102230246251565e-16
96,96,0.8446215139442231,0.8151658767772512,0.8636177194421657,0.9170768389390211,0.37250996015936255
97,97,0.649402390438247,0.10204081632653061,0.524029258955428,0.9425075198249933,0.015936254980079556
98,98,0.8326693227091634,0.7980769230769231,0.8473133716160788,0.9455838118676512,0.31235059760956185
99,99,0.8645418326693227,0.8380952380952381,0.883921246923708,0.963426305715067,0.4549800796812749
100,100,0.8565737051792829,0.8317757009345794,0.8799220672682526,0.8979354662291497,0.48804780876494025
101,101,0.6334661354581673,0.0,0.5,0.8816994804484549,-1.1102230246251565e-16
102,102,0.6334661354581673,0.0,0.5,0.8257451462947771,-1.1102230246251565e-16
103,103,0.848605577689243,0.8207547169811321,0.8690525020508614,0.9238446814328685,0.48047808764940236
104,104,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9400464861908668,0.4856573705179283
105,105,0.8366533864541833,0.8038277511961722,0.8527481542247743,0.9185124418922614,0.45737051792828687
106,106,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9093519278096801,0.49442231075697207
