,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_scaled
40,40,0.8661710037174721,0.7692307692307693,0.8147875214934905,0.8139277818717761,0.3531598513011154,0.02156133828996276,0.04237918215613379
41,41,0.8698884758364313,0.782608695652174,0.8254421518054532,0.8131908621960207,0.39888475836431225,0.029368029739777035,0.11784386617100373
42,42,0.8698884758364313,0.7878787878787878,0.8306619995087202,0.838123311225743,0.27843866171003717,0.0037174721189591198,-0.0033457249070631967
43,43,0.8773234200743495,0.8047337278106509,0.844141488577745,0.8290346352247605,0.3011152416356877,0.017100371747211907,0.0018587360594796154
44,44,0.8736059479553904,0.7976190476190477,0.8387067059690494,0.8281748956030459,0.23011152416356884,0.009665427509293667,-0.0014869888475835813
45,45,0.862453531598513,0.7672955974842768,0.8145725865880619,0.8187177597641858,0.312639405204461,-0.005947955390334547,0.036802973977695275
46,46,0.862453531598513,0.7643312101910829,0.8119626627364285,0.8162613608450011,0.3962825278810409,0.008178438661710086,0.10260223048327144
47,47,0.8847583643122676,0.8098159509202454,0.8445713583886023,0.8133136821419799,0.35613382899628243,0.01895910780669141,0.06394052044609677
48,48,0.8810408921933085,0.8048780487804879,0.8417464996315401,0.8333333333333335,0.33568773234200744,0.029368029739776813,0.13048327137546456
49,49,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8281134856300664,0.3524163568773234,0.011895910780669205,0.09479553903345728
50,50,0.8810408921933085,0.8024691358024691,0.8391365757799067,0.8313068042250061,0.3620817843866171,0.011524163568773282,0.07174721189591082
51,51,0.8810408921933085,0.8048780487804879,0.8417464996315401,0.827069516089413,0.34089219330855014,0.009293680297397633,0.0921933085501857
52,52,0.8884758364312267,0.8214285714285714,0.855225988700565,0.8341930729550479,0.3397769516728625,0.012267657992565129,0.06691449814126393
53,53,0.8810408921933085,0.8095238095238095,0.8469663473348071,0.8437730287398673,0.3609665427509292,0.008550185873605898,0.06022304832713754
54,54,0.8698884758364313,0.7770700636942676,0.8202223041021861,0.84493981822648,0.34460966542750926,0.01895910780669141,0.08104089219330857
55,55,0.8736059479553904,0.7875,0.8282670105625154,0.806005895357406,0.4323420074349442,0.046840148698884754,0.1527881040892194
56,56,0.8698884758364313,0.7770700636942676,0.8202223041021861,0.8156472611152051,0.3501858736059479,0.03271375464684023,0.1394052044609665
57,57,0.8438661710037175,0.75,0.8056681405060182,0.8156472611152051,0.16691449814126402,-0.004460966542750966,-0.004460966542750855
58,58,0.8847583643122676,0.8165680473372781,0.8524011299435028,0.8380004912797839,0.3457249070631969,0.019702602230483146,0.015613382899628325
59,59,0.8698884758364313,0.7770700636942676,0.8202223041021861,0.7808278064357653,0.4066914498141264,0.046840148698884865,0.12267657992565062
60,60,0.8736059479553904,0.7875,0.8282670105625154,0.8188405797101449,0.41152416356877325,0.004089219330854932,0.03866171003717467
61,61,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8158929010071236,0.31412639405204457,0.008178438661710086,0.051672862453531754
62,62,0.8698884758364313,0.7928994082840237,0.8358818472119872,0.8335789732252518,0.34052044609665433,-0.0003717472118959231,0.1003717472118959
63,63,0.8736059479553904,0.7848101265822784,0.8256570867108819,0.8052689756816509,0.38066914498141274,0.027881040892193454,0.12527881040892197
64,64,0.8773234200743495,0.8,0.838921640874478,0.8397813804961927,0.3851301115241636,0.006319702602230692,0.14014869888475845
65,65,0.8847583643122676,0.8143712574850299,0.8497912060918693,0.8396585605502335,0.3505576208178439,0.005576208178438624,0.04907063197026007
66,66,0.8661710037174721,0.7777777777777778,0.822617293048391,0.8286661753868827,0.28847583643122676,0.017100371747211796,0.01635687732341995
67,67,0.8810408921933085,0.8024691358024691,0.8391365757799067,0.8203144190616557,0.3776951672862454,0.02527881040892177,0.09330855018587358
68,68,0.8773234200743495,0.7950310559006211,0.833701793171211,0.8251043969540653,0.33048327137546474,0.026022304832713727,0.09293680297397788
69,69,0.8587360594795539,0.7682926829268293,0.8169675755342668,0.8230164578727586,0.1973977695167286,0.007806691449814274,0.0070631970260224275
70,70,0.8550185873605948,0.7636363636363637,0.8141427167772046,0.8173667403586343,0.15687732342007443,0.009293680297397744,0.00520446096654259
71,71,0.8736059479553904,0.7901234567901234,0.8308769344141489,0.8179808400884303,0.3520446096654277,0.010037174721189701,0.037174721189590976
72,72,0.862453531598513,0.7784431137724551,0.825012281994596,0.8308155244411691,0.3557620817843866,-0.005204460966542701,0.14312267657992572
73,73,0.8736059479553904,0.7901234567901234,0.8308769344141489,0.844632768361582,0.25947955390334576,0.0074349442379182396,0.009293680297397744
74,74,0.8736059479553904,0.7875,0.8282670105625154,0.8350528125767624,0.36728624535316,0.004089219330854932,0.059479553903345805
75,75,0.8698884758364313,0.779874213836478,0.8228322279538197,0.8162613608450011,0.42788104089219337,0.01858736059479571,0.11635687732342015
76,76,0.8587360594795539,0.759493670886076,0.8091378039793662,0.7967943994104641,0.4319702602230483,0.0237918215613383,0.1464684014869888
77,77,0.8884758364312267,0.8192771084337349,0.8526160648489314,0.8249815770081063,0.3635687732342008,0.014126394052044633,0.08289962825278807
