,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
143,143,0.8875,0.847457627118644,0.8738249118683901,0.962397179788484,0.16916666666666658,0.06875000000000009,0.040416666666666656
144,144,0.875,0.8214285714285714,0.8513513513513513,0.9491039952996475,0.1691666666666667,0.06333333333333324,0.07541666666666669
145,145,0.8208333333333333,0.7225806451612903,0.7806991774383079,0.9457256169212691,0.15083333333333326,0.002083333333333326,-0.004166666666666652
146,146,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9415393654524089,0.2025,0.07708333333333328,0.002083333333333326
147,147,0.875,0.8255813953488372,0.8554641598119859,0.94286133960047,0.2020833333333334,0.05499999999999994,0.05958333333333332
148,148,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.938454759106933,0.2070833333333334,0.06208333333333327,0.0016666666666665941
149,149,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9411721504112809,0.16541666666666677,0.0954166666666666,1.1102230246251565e-16
150,150,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.9471577555816686,0.19291666666666651,0.07874999999999988,0.011249999999999871
151,151,0.8791666666666667,0.8361581920903954,0.8650117508813161,0.9383813160987073,0.1233333333333334,0.06458333333333344,0.01708333333333334
152,152,0.9,0.8681318681318682,0.8921856639247944,0.9394095182138661,0.1891666666666667,0.06625000000000003,0.046666666666666745
153,153,0.9,0.8709677419354839,0.8962984723854289,0.9521151586368977,0.1479166666666667,0.06500000000000006,-0.00374999999999992
154,154,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9433019976498237,0.19541666666666668,0.06458333333333333,0.009166666666666545
155,155,0.9125,0.8864864864864865,0.9084900117508813,0.9412455934195064,0.24750000000000005,0.0724999999999999,0.0
156,156,0.8916666666666667,0.8571428571428571,0.8833725029377204,0.9465334900117509,0.13833333333333342,0.06291666666666673,0.007916666666666683
157,157,0.8416666666666667,0.7564102564102564,0.8037602820211516,0.9308901292596946,0.11499999999999999,0.10666666666666669,0.03541666666666665
158,158,0.8458333333333333,0.7643312101910829,0.8091950646298472,0.9419800235017626,0.12124999999999997,0.060416666666666674,0.05208333333333337
159,159,0.625,0.1,0.5170387779083431,0.9363249118683901,-0.01416666666666655,0.007916666666666572,0.00374999999999992
160,160,0.8958333333333334,0.8648648648648649,0.8908636897767332,0.9553466509988249,0.13083333333333336,0.06125000000000003,0.014166666666666772
161,161,0.8791666666666667,0.8342857142857143,0.8629553466509988,0.9485164512338424,0.14874999999999994,0.06333333333333313,-0.0004166666666666208
162,162,0.8541666666666666,0.7878787878787878,0.8262338425381903,0.94939776733255,0.11833333333333318,0.04875000000000007,0.0050000000000001155
163,163,0.8333333333333334,0.7368421052631579,0.790834312573443,0.940951821386604,0.10624999999999996,0.06999999999999995,0.018333333333333313
164,164,0.9,0.8695652173913043,0.8942420681551116,0.9457990599294948,0.16625,0.06291666666666662,0.030000000000000138
165,165,0.7666666666666667,0.582089552238806,0.7018213866039953,0.9510869565217391,0.10208333333333341,0.012916666666666687,0.02041666666666664
166,166,0.9166666666666666,0.8924731182795699,0.913924794359577,0.9302291421856639,0.27208333333333323,0.20124999999999993,0.016249999999999765
167,167,0.9,0.8666666666666667,0.8901292596944771,0.9363983548766157,0.19833333333333336,0.08041666666666658,-0.0033333333333332993
168,168,0.9,0.8695652173913043,0.8942420681551116,0.9357373678025852,0.15541666666666665,0.0641666666666666,0.0012499999999999734
169,169,0.7541666666666667,0.5354330708661418,0.6814042303172738,0.959165687426557,0.10750000000000015,0.05125000000000002,0.02750000000000008
170,170,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.939042303172738,0.18500000000000005,0.0675,-0.0008333333333333526
171,171,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9438895417156287,0.16791666666666671,0.0675,0.009583333333333166
172,172,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9432285546415982,0.19791666666666663,0.06874999999999987,0.010833333333333361
173,173,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9386016451233842,0.18874999999999997,0.06874999999999987,0.026250000000000218
174,174,0.9,0.8695652173913043,0.8942420681551116,0.94403642773208,0.18875000000000008,0.06208333333333338,0.003750000000000031
175,175,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9274383078730903,0.2220833333333333,0.0675,-0.004166666666666652
176,176,0.9041666666666667,0.8756756756756757,0.8996768507638073,0.9293478260869564,0.21125000000000005,0.06250000000000011,0.0004166666666667318
177,177,0.8041666666666667,0.6802721088435374,0.7548472385428907,0.939409518213866,0.07208333333333339,0.06500000000000006,-0.057499999999999996
