,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled
132,132,0.875,0.8214285714285714,0.8513513513513513,0.8935076380728554,0.20666666666666667,0.07125000000000004,-0.012499999999999956
133,133,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.8966656874265571,0.23583333333333323,0.09374999999999989,0.0050000000000000044
134,134,0.9125,0.8839779005524862,0.9043772032902467,0.8963719153936546,0.24250000000000005,0.11083333333333345,0.007499999999999951
135,135,0.9125,0.88268156424581,0.9023207990599296,0.8976938895417157,0.26874999999999993,0.10583333333333333,0.005833333333333357
136,136,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.9051850763807286,0.15749999999999997,0.05458333333333332,0.02416666666666656
137,137,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.8946827262044654,0.13541666666666674,0.06166666666666676,-0.0004166666666667318
138,138,0.8416666666666667,0.7625,0.8078730904817861,0.9002643948296122,0.1529166666666667,0.04500000000000004,-0.022916666666666696
139,139,0.8791666666666667,0.8284023668639053,0.8567861339600471,0.9070211515863691,0.17999999999999994,0.050416666666666665,0.015416666666666523
140,140,0.9041666666666667,0.8715083798882681,0.8935076380728555,0.8986486486486487,0.22875,0.09666666666666679,0.0004166666666667318
141,141,0.9041666666666667,0.8715083798882681,0.8935076380728555,0.8965188014101059,0.2300000000000001,0.09708333333333341,0.0004166666666667318
142,142,0.8291666666666667,0.7354838709677419,0.7895123384253819,0.8944623971797885,0.08708333333333351,0.04458333333333353,0.012083333333333446
143,143,0.8125,0.6896551724137931,0.7616039952996474,0.9077555816686252,0.08208333333333329,0.03208333333333324,0.032916666666666705
144,144,0.9,0.8620689655172413,0.8839600470035253,0.8976938895417157,0.22416666666666663,0.09458333333333335,0.0008333333333333526
145,145,0.8625,0.8,0.8350470035252644,0.9032755581668624,0.1279166666666668,0.05499999999999994,0.018333333333333424
146,146,0.8958333333333334,0.8571428571428571,0.8805816686251469,0.8976204465334899,0.22833333333333328,0.07958333333333345,-0.0012499999999999734
147,147,0.8875,0.8439306358381503,0.8697121034077555,0.8954171562867215,0.23749999999999982,0.09291666666666654,-0.015000000000000124
148,148,0.8541666666666666,0.7852760736196319,0.824177438307873,0.89762044653349,0.1545833333333333,0.046666666666666745,-0.015833333333333255
149,149,0.875,0.8214285714285714,0.8513513513513513,0.8970329024676851,0.1675000000000001,0.050833333333333286,0.004583333333333273
150,150,0.8875,0.8439306358381503,0.8697121034077555,0.8996768507638073,0.16625000000000012,0.06125000000000003,0.01750000000000007
151,151,0.8541666666666666,0.7852760736196319,0.824177438307873,0.8998237367802585,0.14375000000000004,0.04833333333333323,0.0025000000000000577
152,152,0.9041666666666667,0.8700564971751412,0.8914512338425382,0.9032021151586369,0.19166666666666665,0.07208333333333317,0.021250000000000102
153,153,0.8958333333333334,0.8677248677248677,0.8949764982373678,0.8985017626321975,0.28541666666666676,0.11124999999999996,-0.00666666666666671
154,154,0.8625,0.8,0.8350470035252644,0.9039365452408931,0.13375000000000004,0.0491666666666668,0.03374999999999995
155,155,0.9041666666666667,0.8700564971751412,0.8914512338425382,0.9046709753231493,0.21124999999999994,0.07833333333333337,0.01666666666666672
156,156,0.8833333333333333,0.8372093023255814,0.86427732079906,0.9031286721504113,0.17333333333333334,0.05666666666666653,0.013333333333333197
157,157,0.875,0.8235294117647058,0.8534077555816686,0.8912309048178614,0.15666666666666662,0.09375,-0.00374999999999992
158,158,0.9083333333333333,0.8791208791208791,0.9009988249118683,0.8974001175088132,0.25291666666666657,0.10833333333333328,-0.0024999999999999467
159,159,0.8583333333333333,0.7926829268292683,0.8296122209165688,0.9048913043478262,0.1283333333333332,0.04249999999999998,0.030833333333333268
160,160,0.9,0.8636363636363636,0.8860164512338425,0.8998237367802586,0.20375,0.06958333333333333,0.013749999999999929
161,161,0.8833333333333333,0.8372093023255814,0.86427732079906,0.9000440658049353,0.2041666666666666,0.0787500000000001,-0.0033333333333331883
162,162,0.8416666666666667,0.7625,0.8078730904817861,0.8983548766157463,0.11375000000000013,0.05166666666666675,0.002083333333333326
163,163,0.8375,0.7547169811320755,0.8024383078730906,0.9001909518213865,0.11666666666666659,0.029166666666666674,-0.007499999999999951
164,164,0.8875,0.8421052631578947,0.8676556991774383,0.8979876615746181,0.15500000000000003,0.0625,0.011666666666666714
165,165,0.8708333333333333,0.8143712574850299,0.8459165687426558,0.9020270270270272,0.16416666666666668,0.05874999999999997,0.010416666666666519
166,166,0.8666666666666667,0.8095238095238095,0.8425381903642772,0.8940217391304347,0.16499999999999992,0.05874999999999997,-0.0029166666666667895
167,167,0.8958333333333334,0.8571428571428571,0.8805816686251469,0.8981345475910694,0.22791666666666688,0.09999999999999998,-0.004583333333333273
168,168,0.825,0.72,0.7799647473560518,0.8990893066980025,0.09499999999999997,0.050833333333333286,0.0050000000000000044
169,169,0.9041666666666667,0.8715083798882681,0.8935076380728555,0.8989424206815512,0.22375,0.09499999999999997,0.0066666666666664876
170,170,0.8833333333333333,0.8352941176470589,0.8622209165687427,0.8969594594594595,0.1858333333333333,0.06875000000000009,0.0004166666666667318
171,171,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9071680376028203,0.1545833333333334,0.04249999999999998,0.029166666666666674
172,172,0.8875,0.8421052631578947,0.8676556991774383,0.9027614571092832,0.1775,0.05583333333333329,0.010833333333333361
173,173,0.9,0.8620689655172413,0.8839600470035253,0.8998237367802585,0.2087500000000001,0.06500000000000006,0.014166666666666772
174,174,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9013660399529965,0.15583333333333338,0.0429166666666666,0.004583333333333384
175,175,0.8791666666666667,0.8304093567251462,0.8588425381903643,0.8993830787309048,0.17374999999999996,0.0591666666666667,-0.00374999999999992
176,176,0.8666666666666667,0.8072289156626506,0.8404817861339601,0.9018801410105758,0.135,0.04083333333333339,0.023333333333333317
177,177,0.8833333333333333,0.8352941176470589,0.8622209165687427,0.8952702702702703,0.23624999999999996,0.08499999999999996,-0.009583333333333388
178,178,0.8208333333333333,0.7225806451612903,0.7806991774383079,0.8859430082256169,0.09041666666666659,0.0475000000000001,-0.007916666666666683
