,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_humidity_fd2_scaled
32,32,0.9012345679012346,0.9015300712013332,0.8919753086419753,0.9634964182289286,1.5669785694484093,0.5242417858112413,2.2667549306354267,1.5205865563365781,1.2306039227841807,0.1646090534979424,0.032098765432098796,0.005349794238683125,0.019753086419753096,-0.005349794238683125,0.020987654320987658,-0.01069958847736623,0.0024691358024691358
33,33,0.9176954732510288,0.9179191601628931,0.9118373764600181,0.9776879305181192,2.3914308879861683,0.6117343445902804,1.0396983406470854,2.37850912755084,0.9199826273141593,0.1592592592592593,0.05432098765432104,5.551115123125783e-17,-0.0012345679012345401,-0.007407407407407374,-0.0037037037037036757,-0.014403292181069893,-0.0028806584362139455
34,34,0.9135802469135802,0.9134722718431186,0.905241935483871,0.9683284457478006,2.196612725639107,1.0003373103204225,1.1785104010767027,2.0519073376382897,0.9347611316223264,0.21769547325102873,0.08230452674897115,0.06090534979423863,0.008230452674897092,0.006584362139917666,0.0032921810699588104,0.006172839506172811,-0.00534979423868317
35,35,0.9176954732510288,0.9179046912124817,0.9126425714708932,0.9625981336098356,1.9625883589989523,0.5385319346709825,1.7354988977324155,2.358901044463382,0.8925971983751495,0.18189300411522635,0.06255144032921815,0.008641975308642025,0.009465020576131744,4.4408920985006264e-17,-0.0028806584362139564,3.3306690738754695e-17,0.004526748971193473
36,36,0.934156378600823,0.9347156607290337,0.9385630498533725,0.9762463343108505,1.5042204865497224,0.6371213642354916,1.6126510897791646,2.64411462781969,0.34380266571602036,0.202880658436214,0.08395061728395058,0.02263374485596703,0.011522633744855936,0.010288065843621352,0.006584362139917666,0.007407407407407374,-0.0008230452674897193
37,37,0.9423868312757202,0.9426600587649278,0.9424182139699381,0.9774535809018567,2.379441442975091,0.3280017411285796,1.9867086343189055,1.8762417748894267,0.7622708588063299,0.18395061728395062,0.07078189300411528,0.03045267489711939,0.02921810699588482,0.009876543209876609,0.0218106995884774,0.020164609053497963,0.016460905349794275
38,38,0.9382716049382716,0.9380158099724547,0.9285661383498741,0.9868167678862391,2.427534938925299,0.43257256654188825,1.4835028025778076,2.3470341455902943,0.6835206105994313,0.19629629629629625,0.04279835390946497,0.058847736625514346,0.0032921810699588104,0.0032921810699587995,0.016049382716049332,0.006995884773662519,-0.0008230452674897637
39,39,0.9588477366255144,0.959150947950231,0.9629188384214444,0.9673864482501862,2.253878922730079,0.48242431204159886,1.711099909891881,1.591398337149541,0.883191561640854,0.18683127572016459,0.09835390946502054,0.04691358024691357,0.01563786008230451,0.01687242798353905,0.03662551440329215,0.020987654320987627,0.01769547325102876
40,40,0.9423868312757202,0.9429538024869232,0.9437440907658368,0.9822722975102427,1.6718172072071744,0.6163752590697718,1.1137292132552992,2.892086482256098,0.5635231873923774,0.18477366255144037,0.058847736625514444,0.027160493827160535,-0.0028806584362139785,-0.004115226337448518,0.011522633744856004,-0.0020576131687242705,0.0032921810699588993
41,41,0.9547325102880658,0.9548794588019821,0.9549019607843138,0.9888162672476397,1.3524072679975145,0.9291152693383931,1.7257288583779276,2.3395485991126463,0.24427398751530974,0.20946502057613164,0.06748971193415637,0.033333333333333305,-0.0012345679012345846,0.0004115226337448541,0.008230452674897104,-0.0020576131687242817,0.0008230452674897082
42,42,0.9465020576131687,0.9467613517774116,0.9437062937062937,0.9783993783993784,2.257215769026605,0.7485788120231032,1.9139484146816932,1.789486463238116,0.6117970620901542,0.16954732510288067,0.05061728395061732,0.03251028806584365,0.005761316872428024,-0.0028806584362139785,0.013580246913580285,0.0016460905349794275,0.004938271604938293
43,43,0.9259259259259259,0.9272153549261982,0.9312865497076024,0.9678362573099416,2.3515324147127177,1.069478831576221,1.8975891015850468,2.275451275490428,-0.506780989086513,0.16748971193415635,0.056790123456790145,0.006584362139917699,-0.0074074074074073955,-0.005761316872427957,0.0028806584362139898,-0.0020576131687242705,0.009053497942386824
44,44,0.9465020576131687,0.9467384121589729,0.9444444444444444,0.9908550525834476,1.7647094686717943,0.6626447690277362,1.727761666361526,2.2170477741671117,0.5564021383069809,0.20370370370370372,0.05185185185185187,0.028395061728395076,-0.0016460905349794165,-0.006584362139917666,0.018518518518518556,-0.0012345679012345622,0.0069958847736625975
45,45,0.9423868312757202,0.9428879096633448,0.9443251533742332,0.9701687116564417,2.5590048818063127,1.0465350327743739,0.992435967266802,2.211784781818845,0.29634281922290007,0.17325102880658436,0.07283950617283955,0.060905349794238714,0.015637860082304566,0.013580246913580295,0.023868312757201682,0.008641975308642047,0.013168724279835443
46,46,0.9176954732510288,0.9184112995190639,0.9163726993865031,0.973159509202454,1.9850933525914025,0.7105100216824667,1.4521331138331872,2.5866110186096156,0.6328826924714557,0.17489711934156382,0.06378600823045272,0.012757201646090599,0.015637860082304576,0.005761316872428046,0.017695473251028847,0.0032921810699588993,-0.0004115226337448208
47,47,0.9588477366255144,0.959150947950231,0.9629188384214444,0.9888309754281459,2.20476334463825,0.850689033260779,1.1666047257246763,2.2351311842664385,0.4986336029799514,0.19176954732510282,0.09012345679012342,0.03580246913580245,0.02263374485596704,-0.004938271604938293,0.0275720164609053,0.011522633744855914,0.008230452674897082
48,48,0.9382716049382716,0.9387552865813735,0.9376456876456877,0.9823620823620824,1.7497935366051263,0.7835735214881718,1.6369424285967042,2.2007509078285334,0.4160307138826318,0.19423868312757195,0.059670781893004066,0.011522633744855914,0.0004115226337448208,0.0020576131687242705,0.006584362139917655,0.010288065843621352,0.00041152263374480966
