,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled
44,44,0.96,0.9601417691609883,0.9393166751657318,0.9921808601053884,1.6862920630087854,1.8000593745333586,1.8859842994160982,0.5121664643061916,1.769587439361696,0.19090909090909086,0.06363636363636362,0.012727272727272698,0.004363636363636303
45,45,0.9490909090909091,0.948785059901339,0.9204075379194117,0.9886624789336602,2.831311900578582,1.6680475363625744,1.37519504209052,1.130510810058904,0.857264480162885,0.2290909090909091,0.052000000000000005,0.008363636363636373,-0.000727272727272732
46,46,0.9818181818181818,0.9817502581691023,0.9666695412211107,0.9973266643670231,2.4465458038571617,1.8501682275999778,2.18135225584686,0.7772471615130508,0.28478184540844453,0.19163636363636363,0.013818181818181808,0.0058181818181818334,-0.001454545454545464
47,47,0.9709090909090909,0.9705595489781536,0.9469180675450553,0.9918976222928971,1.6442060622008714,1.9897476193773336,1.988186918415989,1.1897032399771963,0.7978526150256037,0.22218181818181826,0.04800000000000004,0.01309090909090912,0.004000000000000026
48,48,0.9709090909090909,0.9704685510567862,0.9388917219105899,0.9936257011728711,1.8807267872186617,2.3234797951364428,1.413670921169853,1.1566731185615884,0.834307177265807,0.21345454545454548,0.0363636363636364,0.011636363636363667,0.0043636363636363916
49,49,0.9563636363636364,0.956033231474408,0.9214815453604692,0.9901690238013108,2.323570685812527,1.9045000968080257,2.202636457497295,0.4792185432960442,0.7137390874461434,0.17781818181818185,0.012000000000000066,0.004727272727272758,0.008727272727272783
50,50,0.9672727272727273,0.9674017335214675,0.9481217265667329,0.9916019505147191,2.494046496000518,2.2944292199031495,1.6750920449857991,0.3259142811618496,0.7082661405082883,0.1672727272727273,0.059636363636363654,0.009818181818181804,0.006909090909090953
51,51,0.9781818181818182,0.9778424242424242,0.9496809244567093,0.9964642980338048,2.4719676051450064,1.9694338190498908,2.5166334117724376,0.4975177332711882,-0.09338088395611567,0.20909090909090908,0.004363636363636359,0.0065454545454544984,0.0
52,52,0.9527272727272728,0.9515845214927785,0.9068806610519624,0.9944382647385985,2.495819332886485,1.6570350199268964,2.148341416260605,0.39609881240584766,0.8780195467297992,0.22400000000000003,0.012727272727272754,0.0036363636363636598,0.002909090909090928
53,53,0.96,0.9601186692095782,0.9443798449612403,0.994031007751938,2.6814983041055935,1.9594244308357796,1.973524731036497,-0.28996731612432614,1.2166156389982543,0.2134545454545454,0.04618181818181814,0.003272727272727205,0.002909090909090839
54,54,0.9527272727272728,0.9528710568808835,0.9329488386691777,0.9889359698681732,2.13469256406082,2.073799031724794,1.9150298971070736,-0.06585960269028267,1.727877450717067,0.20800000000000002,0.061454545454545505,0.03854545454545459,0.02581818181818185
55,55,0.9563636363636364,0.9563636363636364,0.928854777509486,0.9905139703345981,2.6525373571113993,2.1010553157279954,1.6648801015176151,1.317776848343145,0.017013707673931136,0.19200000000000006,0.023272727272727313,0.0069090909090909645,0.005818181818181856
56,56,0.9781818181818182,0.9783515151515152,0.97074227921257,0.9966588405273614,1.7859288178265686,1.9371432475933352,1.7782231351482518,0.8705506140703907,1.2247375990273055,0.21781818181818183,0.05236363636363632,0.009090909090909038,0.0
57,57,0.9636363636363636,0.9633819339701694,0.9363636363636363,0.9939669421487604,2.633817823532915,1.3590536052691264,2.022213338499534,-0.33297582418499494,1.767295604551974,0.19709090909090907,0.06072727272727272,0.018181818181818153,0.009818181818181781
58,58,0.9563636363636364,0.9560736523750223,0.9271286013198132,0.9880090133590858,3.2502553193116683,2.0350389414009484,1.9809352991449616,-0.11937633770255966,0.4345299911337827,0.20581818181818184,-0.003636363636363571,0.015272727272727327,-0.0007272727272726875
