,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_temperature_scaled
24,24,0.934156378600823,0.9344798040138541,0.9332691453118056,0.9623759443045474,1.5857908703282277,3.158167233308047,0.39935026672069746,1.362045816683511,0.9289954607904288,0.3008230452674897,0.21316872427983538,0.18065843621399175
25,25,0.9629629629629629,0.963111482409728,0.9632749326145553,0.9914645103324349,1.2801632356893056,3.3880187611630883,0.6269942327103172,0.8045685625439717,1.479075205040101,0.3954732510288065,0.3156378600823045,0.19629629629629625
26,26,0.9629629629629629,0.9630406231084616,0.9569777043765483,0.9909165978530141,0.8917932844394845,3.4569270443079496,0.9435023574639905,0.8866624334737863,1.2485827613789786,0.40246913580246907,0.3316872427983538,0.26790123456790116
27,27,0.934156378600823,0.9346423672349599,0.9294923448831587,0.9760676873489121,1.524251818018979,3.0751892094286513,0.19340762018844987,1.2650106491328577,1.2457221025206633,0.3609053497942386,0.2662551440329218,0.14403292181069957
28,28,0.9794238683127572,0.9795091333013627,0.9814759036144578,0.9867469879518072,1.1416976930329363,3.0270005611320814,0.14470746061224904,1.2800286977850581,1.4145455066047574,0.3720164609053498,0.27283950617283953,0.22510288065843623
29,29,0.9053497942386831,0.904632863610182,0.8940256045519204,0.97574679943101,1.2146364492911808,3.277005006800616,0.8846139692845469,1.5438279795655465,0.6829119759406057,0.2650205761316873,0.20164609053497942,0.14032921810699586
30,30,0.9547325102880658,0.9550872101596739,0.9565268065268066,0.9841491841491842,1.424982745542948,3.1449348430769124,0.3603773935391114,0.8427437033124778,1.728958294092368,0.40329218106995884,0.34032921810699585,0.25925925925925924
31,31,0.9506172839506173,0.9509924125308741,0.9488304093567251,0.982050032488629,1.3575389123977888,3.2568255554508623,0.7139611628656717,1.2503389268718401,0.9319555987563622,0.36213991769547327,0.2938271604938272,0.17818930041152262
32,32,0.9259259259259259,0.9256901840490798,0.9135802469135803,0.9804907788446884,1.6585536991219474,2.824607482071974,0.4866903834189494,0.9588104669881848,1.58641762508902,0.3539094650205762,0.31234567901234567,0.17037037037037037
33,33,0.9506172839506173,0.9509938762812327,0.9538409703504043,0.9928122192273136,1.2549651913040212,3.6475695577418716,0.5012734330105322,1.0538665756221937,0.9113748786899639,0.35432098765432096,0.3308641975308642,0.21275720164609052
34,34,0.9300411522633745,0.929573591042077,0.9181451612903226,0.975733137829912,1.319537958407033,2.8536938728424657,1.3461632515331592,1.0572619399422645,0.8128767561997374,0.2872427983539094,0.24320987654320989,0.18024691358024691
35,35,0.9588477366255144,0.9591404803639512,0.9628943860168864,0.9841504962227818,1.9328358202380342,3.1480996131124805,0.7267707183770801,0.4563322724925481,1.1515996167572065,0.3893004115226337,0.31234567901234567,0.2452674897119341
36,36,0.9300411522633745,0.9304340015125069,0.930425219941349,0.9857038123167156,1.3610537051828797,3.22760267943759,0.9029670198172284,0.7073465184350992,0.7578618261017743,0.29423868312757195,0.21399176954732507,0.16954732510288067
37,37,0.9094650205761317,0.9092269823766392,0.8989832007073386,0.9761273209549071,2.297006400391692,2.9677096058033228,0.5364177057615235,0.680253446577268,1.2104404800529862,0.2962962962962963,0.22716049382716044,0.14650205761316867
