,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled
54,54,0.9636363636363636,0.9638548273431994,0.9522128060263653,0.9938010043942247,1.964157995153818,0.04341920197926226,2.452176312641436,2.0297419844324702,1.676961417660275,0.24290909090909088,0.05345454545454546,0.021818181818181803
55,55,0.9563636363636364,0.9563636363636364,0.928854777509486,0.9945670921007245,2.5294402406119856,0.6218379378537608,1.7794551427927572,1.9378403139094529,1.407594832612333,0.210909090909091,0.024000000000000056,0.00545454545454549
56,56,0.9745454545454545,0.974645792738919,0.960538197579917,0.9972909517789417,2.8811651520898787,0.11242737850830332,1.5517396770637497,2.0278297589392578,1.975533895112438,0.27018181818181813,0.016727272727272646,-4.4408920985006264e-17
57,57,0.9709090909090909,0.9709090909090909,0.9545454545454546,0.9949586776859504,2.255168109123156,0.2717432267513217,1.917137894927432,2.141637882495799,1.7706110983991734,0.24363636363636365,0.03854545454545457,0.015272727272727294
58,58,0.9709090909090909,0.9710928448637014,0.962216320618059,0.9958152261387414,2.487476747293843,-0.10395830924078862,1.3056064284128286,2.4387446257016197,2.2129452251635775,0.2494545454545455,0.06072727272727276,0.016727272727272747
59,59,0.9781818181818182,0.9780209476622033,0.9577596464388918,0.9980452150263471,2.4722576446637285,0.14564826898494215,1.5942780316156997,1.6030591082426662,2.579254521017756,0.2476363636363636,0.03999999999999996,0.014181818181818151
60,60,0.9563636363636364,0.9567123647528197,0.9324981644640236,0.9918318649045521,2.0765968976790377,0.33093846732363086,2.2581423735946555,2.421324184838506,1.0475706276785444,0.20727272727272733,0.030181818181818233,0.00909090909090915
61,61,0.9745454545454545,0.9748307338715887,0.9688888888888889,0.9969777777777777,1.6196601452876094,0.5922685917234356,2.0524525673861143,2.3311147044150866,1.5140471105335236,0.24327272727272725,0.04036363636363631,0.006909090909090842
62,62,0.9636363636363636,0.9641586698190471,0.9549632352941176,0.9963235294117647,2.0678741923194623,0.7233026387704722,2.039460643445749,2.0494784904913232,1.3686553575577771,0.22800000000000004,0.008727272727272684,0.0021818181818181624
63,63,0.9745454545454545,0.9748307338715887,0.9688888888888889,0.9936888888888888,1.948544252044319,0.4128456238383902,1.8609622281062743,2.8370684355733338,1.107515684970402,0.24290909090909088,0.031272727272727216,0.014545454545454483
64,64,0.9854545454545455,0.9855537190082646,0.9839534104239986,0.9986592927769399,2.8625283799263763,0.6378121338334585,2.635239958739066,0.9907083155617831,1.0574887588013946,0.25309090909090914,0.03963636363636365,0.01309090909090912
65,65,0.9672727272727273,0.9671597079198653,0.9454545454545454,0.9981818181818182,2.6402423650490356,0.41556781993483977,1.803083757872125,1.7266430564873314,1.3095736153596889,0.2621818181818182,0.025454545454545462,0.001454545454545464
66,66,0.9781818181818182,0.9781818181818182,0.9668034765813616,0.9962980846611942,2.2802629944061876,0.35968243083716217,1.7152847703084038,1.757151794435939,2.292035171782971,0.27818181818181814,0.04909090909090906,0.01854545454545451
67,67,0.9890909090909091,0.9891389656095539,0.9845410628019324,0.997584541062802,2.6299425591956855,0.25521223238871454,1.670495438212043,1.4979623719067359,2.3109236450213246,0.25563636363636366,0.027272727272727303,0.00909090909090915
68,68,0.9709090909090909,0.9715041322314049,0.9746895481200414,0.9852535357019663,2.412004358495119,0.4467305725415597,2.1299370747936965,2.139514105673649,1.4136811887894023,0.24290909090909096,0.03781818181818184,0.01563636363636366
69,69,0.9781818181818182,0.9780121212121213,0.9563200280112045,0.9984243697478992,2.687728055021799,0.18948268782426228,1.3957219197790671,3.1688545140410467,0.8438660709059597,0.24218181818181814,0.018181818181818153,0.0076363636363635965
70,70,0.9781818181818182,0.9783268101761252,0.9727272727272727,0.9971900826446282,3.2599519872630736,0.06728970859548357,1.4705222961341953,1.7094542667677193,2.1163517058514607,0.27745454545454545,0.02436363636363633,0.014545454545454518
