,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_temperature_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd3_scaled,feature_importance.backtop_humidity_fd2_scaled
182,182,0.9670781893004116,0.9670001243034951,0.9624183006535947,0.9931009440813362,3.4638163896624774,0.7711065124678291,0.4330448682714819,2.0818062330090195,0.6787453433971637,0.14362139917695477,0.08641975308641979,0.06790123456790127,0.016460905349794285,0.004938271604938349,0.006172839506172911,0.007407407407407474,0.013580246913580295,0.009876543209876609,0.002057613168724326,-0.0028806584362139785,0.0020576131687243147
183,183,0.9423868312757202,0.9423868312757202,0.9351851851851851,0.9825483920134126,2.0843748416761585,1.470646574067664,0.9946680876631411,2.0913847587873367,0.6853437354649228,0.16625514403292185,0.08477366255144038,0.0724279835390947,0.033744855967078234,0.012345679012345723,0.002057613168724326,0.0032921810699588993,0.017695473251028847,0.007818930041152305,0.004115226337448641,0.009465020576131744,0.00246913580246918
184,184,0.9506172839506173,0.9503662223968738,0.9420691667882679,0.9905151028746534,2.1794115979308657,1.2440794393970038,0.8218671858556688,2.075589075195955,0.7861008923426774,0.15390946502057612,0.08312757201646091,0.05349794238683129,0.011934156378600836,-0.0020576131687242705,-0.004938271604938249,-0.003292181069958833,0.0008230452674897193,-0.0024691358024691245,0.003292181069958855,0.0004115226337448652,0.0032921810699588438
185,185,0.9135802469135802,0.914415843801915,0.9135802469135802,0.9871970736168267,1.509066101681422,1.7237343883982625,0.8199316908796879,2.1239163820754614,0.7260166396189658,0.12263374485596698,0.06008230452674892,0.032510288065843586,0.0057613168724279466,-0.009053497942386902,-0.018930041152263398,-0.022222222222222254,-0.016049382716049432,-0.007407407407407462,-0.005761316872428035,-0.008230452674897182,-0.006995884773662609
186,186,0.9629629629629629,0.9634344832130738,0.9696637426900585,0.9878167641325537,2.09619015404973,0.941531850026918,1.3725259492495314,2.2221718914466333,0.9224914354557068,0.14279835390946496,0.07654320987654314,0.05843621399176947,0.013991769547325039,0.010699588477366207,0.004526748971193395,0.0012345679012345401,0.010288065843621352,0.005761316872427957,0.010699588477366207,0.0016460905349794165,0.004938271604938249
187,187,0.9506172839506173,0.9510257063483398,0.9480259870064967,0.9910044977511244,2.6466488857133506,0.6682105877149537,0.5689271250898078,2.948047192647379,0.6847789582244289,0.14362139917695474,0.06502057613168725,0.044855967078189306,0.012757201646090566,0.00781893004115225,0.0004115226337448541,0.0004115226337448541,0.01440329218106996,0.004526748971193395,0.0008230452674897193,0.0004115226337448652,0.0004115226337448541
188,188,0.9588477366255144,0.9589453178716599,0.9579178885630499,0.9921554252199414,2.141728390834749,1.2252124648643952,0.9798735884152922,1.7347272445224946,0.9379586153587267,0.13662551440329213,0.09341563786008227,0.0604938271604938,0.015226337448559623,0.0012345679012345622,0.004938271604938249,0.003292181069958833,0.025925925925925908,0.008641975308641936,0.0012345679012345622,0.008641975308641959,0.004115226337448541
189,189,0.9259259259259259,0.9279288612621945,0.9437241948802643,0.9837324525185797,1.971841553700401,0.9318160715213845,0.8110352000157323,3.1401726722483785,0.5138068688276285,0.1868312757201646,0.04897119341563788,0.04897119341563788,0.012345679012345678,0.004526748971193395,0.004115226337448552,-0.0024691358024691245,0.00493827160493826,0.004526748971193395,0.0012345679012345622,0.0004115226337448541,0.0004115226337448541
190,190,0.9423868312757202,0.9426130717640705,0.9430247624532104,0.97797293406277,2.211938364225921,0.9559893120151703,1.1510651169414277,1.7606948791283055,1.2649729695746466,0.17901234567901242,0.09341563786008235,0.07201646090534983,0.014403292181070004,0.008230452674897182,0.007407407407407474,0.001646090534979472,0.01111111111111116,0.007818930041152338,0.011111111111111172,0.01193415637860088,0.004115226337448619
191,191,0.9259259259259259,0.9266548889117583,0.9245981720768988,0.982981405609833,2.5532423728137656,1.449624522927085,0.5731786803435226,1.91172664752854,0.9109691181720345,0.13333333333333336,0.08065843621399175,0.049794238683127566,0.007818930041152283,-0.0012345679012345622,0.0,0.0,-0.006172839506172811,-0.000411522633744843,-0.0008230452674897082,-0.0008230452674897082,-0.0008230452674897082
192,192,0.934156378600823,0.9343237529699854,0.9306399051992298,0.9857058213597986,1.7732479619757313,1.5411366315170414,0.7932413749436152,2.169587490357437,0.9325968102307794,0.17654320987654318,0.09053497942386828,0.053497942386831254,0.012757201646090488,0.005349794238683103,-0.007818930041152295,0.0016460905349794165,0.010288065843621352,0.0008230452674896971,-0.0028806584362139898,0.007407407407407374,0.0016460905349794165
193,193,0.934156378600823,0.9343125085946559,0.9311950146627566,0.9881964809384164,1.0236120832707665,1.5325783873836623,0.5680066017048107,2.7721164262909723,1.1015605161401434,0.17818930041152262,0.07530864197530861,0.06090534979423865,0.010699588477366217,-0.0016460905349794275,-0.004115226337448585,-0.0004115226337448652,0.003703703703703687,-1.1102230246251566e-17,-0.00823045267489717,-0.004938271604938283,-0.004115226337448574
