,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd1_scaled
44,44,0.96,0.9606731104680991,0.9536800951895292,0.9925208227095019,2.4850404141244016,0.5342188359549965,2.1292709580497635,2.2709215149461914,1.9149919031863245,0.1516363636363636,0.0225454545454545,-0.007636363636363686,-0.001454545454545475,0.003272727272727227,0.008363636363636318,-0.0007272727272727763,-0.002909090909090928,0.0018181818181817744,-0.004727272727272758,-0.003636363636363671,-0.00872727272727276
45,45,0.9709090909090909,0.97107540649567,0.9637275930749196,0.9939482151064808,2.9526005600596927,1.0689348762425048,2.041261705645031,2.472438461418118,0.2585963250466845,0.15672727272727277,0.03490909090909093,0.003272727272727294,0.0036363636363636598,0.009090909090909139,0.019272727272727296,0.002909090909090939,0.002909090909090928,0.0018181818181818299,0.002545454545454573,0.003272727272727294,-0.0010909090909090647
46,46,0.9927272727272727,0.9926722052457347,0.9807692307692308,0.9991376336667817,2.1978624341630524,1.835608227934379,2.1540014777627707,1.577867140902246,1.3706714632832397,0.14763636363636362,0.049818181818181775,0.00363636363636356,0.00545454545454539,-0.003272727272727294,0.0178181818181818,0.00363636363636356,-0.00036363636363637706,-0.0018181818181818299,0.002545454545454506,0.004727272727272647,0.00618181818181811
47,47,0.9818181818181818,0.9818695187165775,0.9768287142208087,0.998485536877177,2.6674113571882345,1.1998186051828739,1.7180218853666855,1.3633381490922478,2.1116412980111354,0.18618181818181817,0.048363636363636345,0.0,0.007636363636363652,0.004000000000000026,0.011999999999999978,0.0061818181818182215,0.003272727272727294,0.0065454545454545765,0.0061818181818182215,0.000363636363636366,0.002909090909090928
48,48,0.9854545454545455,0.9855563173210232,0.9838092809790924,0.9966003739588645,2.8191901815573153,1.1766616763420428,1.4297384270068,2.390551910015209,1.4698654882714461,0.18036363636363642,0.04290909090909093,0.0,0.0010909090909090979,0.000363636363636366,0.011636363636363656,-0.000363636363636366,0.0010909090909090979,0.001454545454545464,-0.002909090909090928,-0.0025454545454545617,-0.005818181818181789
49,49,0.9636363636363636,0.9636363636363636,0.9407123145912384,0.9960331148671956,2.1493127047195006,1.0788586149968358,1.803019744665867,2.4209316077244503,1.7507704036831202,0.14945454545454545,0.03490909090909091,-0.0036363636363636598,-0.002909090909090928,0.004363636363636359,0.0029090909090908946,-0.0021818181818181958,0.0021818181818181737,0.000727272727272732,-0.01018181818181817,-0.004727272727272747,-0.0025454545454545617
50,50,0.9818181818181818,0.9818898519563709,0.972954668593101,0.9979230630305219,2.8700881779641527,0.8573663522712605,1.7479021511356945,2.3157172692282817,1.1786720183713997,0.14763636363636365,0.037818181818181806,0.0021818181818181958,0.004000000000000026,0.005818181818181845,0.01636363636363638,0.002545454545454551,0.004000000000000026,0.000727272727272732,0.0,-0.0025454545454545617,0.0021818181818181958
51,51,0.9927272727272727,0.9927272727272727,0.9881424629182476,0.9997412901000344,2.6980443471487883,1.6281852632167333,1.2761264642758725,1.586482135158101,1.905515663774565,0.1618181818181818,0.05018181818181814,0.005090909090909012,0.003636363636363593,-0.0021818181818181958,0.010181818181818136,0.005454545454545379,-0.00036363636363637706,-0.000727272727272732,0.0036363636363635488,0.00290909090909085,0.003999999999999948
52,52,0.9890909090909091,0.9889835435417744,0.9741379310344828,0.999523279834737,2.897522514785859,1.4092228559774753,1.2210905713761082,1.913218861316825,1.68059038445665,0.16000000000000006,0.05236363636363641,0.006909090909090953,0.01345454545454552,0.015272727272727327,0.01818181818181821,0.004363636363636403,0.01418181818181825,0.0061818181818182215,0.0007272727272727541,0.0069090909090909645,0.0036363636363636598
53,53,0.9709090909090909,0.9710795715698427,0.9633720930232558,0.9964341085271318,2.326257487302224,1.353679422134171,1.6165108680356262,1.9827987941705463,1.7438216420343418,0.14581818181818185,0.06618181818181822,-0.0003636363636363549,-0.00290909090909085,0.003272727272727294,0.014181818181818195,0.004000000000000026,0.005818181818181856,0.0021818181818181958,0.0025454545454545617,-0.0014545454545454085,-0.0032727272727272163
54,54,0.9672727272727273,0.9671706584408661,0.9483678593848086,0.9938794726930321,2.8925762260742625,0.6352894712450464,2.219441737978888,2.028934671062529,1.5452687405174559,0.1501818181818182,0.03781818181818183,0.000727272727272732,0.004727272727272735,0.006909090909090943,0.00763636363636363,0.0010909090909090979,0.002909090909090928,0.001454545454545464,-0.0021818181818181737,0.0043636363636363916,-0.000727272727272732
55,55,0.9636363636363636,0.9641452229687523,0.9554587788892721,0.994222145567437,3.1901731457523064,0.8712936500196526,1.5052054563852524,2.40657633934182,1.638535894728145,0.13636363636363638,0.03745454545454544,-0.0018181818181818299,0.007272727272727231,0.0036363636363636598,0.011999999999999966,0.004363636363636347,0.0040000000000000036,0.003272727272727294,0.005818181818181789,0.0025454545454545617,0.007636363636363585
56,56,0.9745454545454545,0.9744423410730505,0.9525465053277948,0.9973812533863102,1.8653889094630371,1.3466929827268201,1.9144494718120886,2.7721550217709736,1.7222748541350223,0.13999999999999996,0.03527272727272722,0.0003636363636363438,0.004363636363636292,0.0072727272727272085,0.0014545454545454085,0.0036363636363635488,0.006909090909090842,0.0043636363636362805,-0.002909090909090928,0.002909090909090861,-1.1102230246251566e-17
