,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_temperature_scaled
70,70,0.9854545454545455,0.9854545454545455,0.9772727272727273,0.9977685950413223,1.4193377909127363,2.3705395592337783,2.5661510285824556,1.5271099534317714,1.389794747112039,0.27672727272727277,0.02400000000000001,0.021454545454545483
71,71,0.9854545454545455,0.9854545454545455,0.9786821705426356,0.9993798449612403,1.978238964189717,2.625024442058451,2.92367428481741,0.6041013078989539,0.987905509637468,0.27636363636363637,0.04036363636363638,0.024363636363636375
72,72,0.9781818181818182,0.9784793388429751,0.9793047764745878,0.9956654767975524,1.2990099313306789,1.5726358442656991,3.116725051535117,1.520036618299494,1.489090421940237,0.23636363636363633,0.04509090909090905,0.01781818181818179
73,73,0.9818181818181818,0.9820017574003906,0.9816909669850846,0.9960616725322607,1.6443566117581976,2.151925486385515,2.8010041647123494,1.1924861752693656,1.2516732291970212,0.2461818181818182,0.024363636363636365,0.02218181818181817
74,74,0.9890909090909091,0.9890568861469554,0.9807360326428123,0.9989799121155054,1.4724009687720923,2.4601736500955966,2.278881248266344,1.3899150233052666,1.5197137553245896,0.26909090909090916,0.034909090909090945,0.03163636363636367
75,75,0.9854545454545455,0.9854545454545455,0.9759278711484594,0.9989495798319328,1.5236575343241272,2.7454071855912963,2.440028130859385,1.715581308917155,0.5590603395967073,0.2498181818181818,0.022181818181818202,0.02400000000000002
76,76,0.9745454545454545,0.9746268683839898,0.9645098985997103,0.9976661838081442,1.881697469925102,2.7026461789895233,2.474221335540143,0.4361284552661624,1.6163951218205457,0.26472727272727264,0.03127272727272721,0.020363636363636316
77,77,0.9818181818181818,0.9818960409487691,0.9717106512246061,0.9981963166888171,1.4916444913879443,2.2047037946957557,2.4486636299182485,1.3192226254227448,1.7460575734296482,0.23236363636363638,0.018909090909090896,0.01527272727272726
78,78,0.9745454545454545,0.9751061139296433,0.9754410585404971,0.9982959101844426,1.8411348121741729,2.2195658965198466,2.0148224762656404,1.63347694606943,1.3103590144063029,0.225090909090909,0.010909090909090846,0.009454545454545382
79,79,0.9854545454545455,0.9853626684772402,0.9722614563716259,0.999450721908349,2.016142093522836,1.8980975632686627,2.5436368799086964,1.3738848997806696,1.4794351883140453,0.2941818181818182,0.023272727272727278,0.015272727272727282
80,80,0.9854545454545455,0.9852882298679664,0.96875,0.9990373222748815,1.3277266440533801,2.1998232906592055,2.462548260862884,1.3858462193468395,1.7425957825643847,0.30363636363636365,0.03563636363636363,0.029818181818181834
81,81,0.9890909090909091,0.9891276242073507,0.9863636363636363,0.9993388429752066,2.078874611494445,2.0623073882561074,2.562082837959494,0.39171366209114317,1.797567736389628,0.2621818181818182,0.035636363636363654,0.021454545454545493
82,82,0.9890909090909091,0.9892164806681113,0.9933628318584071,0.9996387935705255,1.9140018580536977,2.2015023329694117,1.8747113516413016,1.7450074421558164,1.2077568472954532,0.21927272727272734,0.04218181818181822,0.036000000000000046
83,83,0.9854545454545455,0.9855563173210232,0.9838092809790924,0.9980452150263471,2.0585035483895693,2.736927520133076,2.6061961995899323,0.47836883616191184,1.2099430619286857,0.24581818181818185,0.037454545454545476,0.029818181818181834
84,84,0.9781818181818182,0.9781818181818182,0.9684004902711812,0.9963229661406465,1.4232455342263897,3.294748785516843,2.4244244699877378,1.231691582017265,1.2877940213583645,0.2978181818181818,0.026545454545454494,0.020363636363636327
85,85,0.9709090909090909,0.9707107438016529,0.9485078277886496,0.9958414872798433,1.3053762854255013,2.9526330117518946,2.6963125491554276,0.8744318828618327,1.6796238458799981,0.22981818181818187,0.04181818181818185,0.038181818181818206
86,86,0.9890909090909091,0.989061581957787,0.9822344322344323,0.9997802197802198,1.7473444618918692,3.187320592488106,2.6184707610261833,0.5473983379157081,0.9423101450350039,0.3058181818181819,0.03527272727272729,0.034909090909090945
87,87,0.9818181818181818,0.9820686340706444,0.9883177570093458,0.997778458709974,1.7194039997806543,1.8922948860555495,2.622535520355103,0.9132328114696426,1.6336907901684667,0.31745454545454543,0.02799999999999997,0.02036363636363635
88,88,0.9854545454545455,0.98554414198482,0.9844668679485142,0.9987287462259654,1.955911271800464,2.225566773967207,2.014904289122496,1.5430114302376667,1.4638305463172179,0.2621818181818182,0.0330909090909091,0.025090909090909108
89,89,0.9818181818181818,0.9818763345599928,0.975575406405923,0.9961371318203767,1.9547613408058258,2.2074233120558198,2.7875007725569683,0.7191557376451392,1.6791235431816454,0.2570909090909091,0.031999999999999994,0.030545454545454542
90,90,0.9890909090909091,0.9890532359732883,0.9795454545454545,0.9974380165289256,1.6181176476548385,2.633302201065599,2.102142033952829,1.4823919493155981,1.2025972038872108,0.24654545454545457,0.042909090909090966,0.03381818181818187
91,91,0.9745454545454545,0.9742350387457401,0.9552954984810826,0.997721623860812,1.9419330300381066,2.93575552653313,2.336509521278062,1.1461827829606568,0.44912023879295815,0.31490909090909086,0.031636363636363594,0.028727272727272667
92,92,0.9854545454545455,0.9853693051241694,0.9734590337725277,0.9981826442526125,1.4189325857466426,2.668082127424765,2.418940848768984,1.9271325952296878,0.15961674186940097,0.26036363636363635,0.0541818181818182,0.03418181818181818
93,93,0.9854545454545455,0.9854545454545455,0.9766275709671937,0.9988101308856026,1.4792294108983297,2.497281604135397,2.830044245552303,1.3414504666454952,1.04271816227518,0.25090909090909086,0.0232727272727273,0.021454545454545483
