,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_humidity_fd3_scaled
20,20,0.9135802469135802,0.9140249368037433,0.9048613299716357,0.9790419161676647,2.510393906667511,0.9931528863329838,1.7982352787843154,0.6217494626455088,1.288385728084306,0.19341563786008226,0.02839506172839501,0.018930041152263332,-0.018930041152263422,0.013168724279835342,-0.0008230452674897415,-0.023456790123456826,0.011111111111111082
21,21,0.9506172839506173,0.9507995296884185,0.9455061570446186,0.9905645290260674,2.3303652602696174,0.5937537103540326,1.9077698774199003,1.6202543333593684,0.7241639470757196,0.21975308641975308,0.03292181069958848,0.019753086419753096,0.005761316872427968,0.0004115226337448652,0.01152263374485597,0.0016460905349794052,0.0020576131687242817
22,22,0.934156378600823,0.9344798040138541,0.9332691453118056,0.9691897496667161,2.2073306442924037,0.49000504629529457,2.30118053586824,1.6264996109809267,0.4477820045254989,0.2411522633744856,0.048559670781892994,0.05514403292181068,0.02057613168724278,0.01563786008230448,0.01563786008230452,0.02057613168724278,0.02798353909465018
23,23,0.9629629629629629,0.9633818227667399,0.9694689568231957,0.9892845887173022,2.1241310825619832,0.9185928426653233,1.2939425341437332,1.6599720079986147,1.01466573776393,0.20781893004115223,0.06049382716049377,0.033333333333333284,0.010699588477366207,0.012345679012345623,0.023045267489711883,0.002057613168724259,0.01851851851851847
24,24,0.9176954732510288,0.9182809607279021,0.9179010516960451,0.9738557250777663,1.9410553338820833,0.8375382083802285,2.0978603084093983,2.2761631871879118,-0.09827439234823894,0.20123456790123456,0.05144032921810704,0.025102880658436244,0.002057613168724326,0.0037037037037037533,0.004938271604938327,0.001646090534979483,0.004526748971193461
25,25,0.9218106995884774,0.922812378614003,0.9290206648697215,0.9758909853249476,2.5770272801354044,1.0667762793418758,1.679966666090427,1.4369303946492276,0.011430042745328543,0.1921810699588477,0.03415637860082309,0.005349794238683159,0.0016460905349794275,0.01316872427983543,0.008641975308642002,-0.004526748971193395,0.002469135802469158
26,26,0.9218106995884774,0.9225855556346225,0.9153179190751446,0.972914946325351,1.3747769069049245,1.430464245084008,1.8559690080370157,1.7024923532159506,0.5795241814249481,0.17572016460905354,0.027983539094650223,0.021399176954732535,-0.000411522633744843,0.006172839506172867,1.1102230246251566e-17,-0.01851851851851849,0.014403292181069982
27,27,0.9094650205761317,0.9112469300970553,0.9157534246575343,0.9584206285253828,1.1916016682287651,0.9159865507232877,1.8197257899837098,2.135085406393521,0.9753374201701439,0.19465020576131686,0.052674897119341535,0.028806584362139908,0.01481481481481478,-0.00452674897119344,-0.005349794238683159,0.007407407407407374,-0.0020576131687242926
28,28,0.9547325102880658,0.9549200932629981,0.9540286144578314,0.9911144578313253,2.6950324595373933,0.8230155245832771,1.6829033506722677,1.5437776024356817,0.20580419950591974,0.22057613168724277,0.0279835390946502,0.020987654320987658,0.0020576131687242705,0.0028806584362139785,-0.0024691358024691358,0.0016460905349794165,0.011111111111111094
29,29,0.9053497942386831,0.9054371455688738,0.9015647226173542,0.9756045519203415,2.5392458975958183,0.6521859019167057,1.6880529618335751,1.540849631909055,0.7767322716567593,0.19094650205761315,0.03251028806584362,0.01728395061728394,-0.018518518518518524,-0.0016460905349794165,-0.0004115226337448652,-0.022222222222222233,0.0008230452674896971
