,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_temperature_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_humidity_fd1_scaled
57,57,0.9423868312757202,0.9423868312757202,0.9355779427359492,0.9816694440236328,2.321779671164526,1.2920484015460765,1.5665722155833586,1.7390562921160422,-0.32772356906221967,0.20000000000000004,0.04773662551440333,0.0592592592592593,0.030864197530864244,0.01399176954732515,0.005349794238683192,0.013580246913580295,0.020987654320987693
58,58,0.9012345679012346,0.9025329580802843,0.904320987654321,0.9585429050449626,2.056852814665095,0.6312235352253914,1.229018367349148,1.9057018595790562,1.1092984636096335,0.19135802469135804,0.046502057613168724,0.04197530864197533,0.026337448559670795,-0.003292181069958833,-0.009053497942386801,-0.012757201646090533,0.005349794238683148
59,59,0.9300411522633745,0.9301474545258852,0.9228395061728395,0.983310470964792,1.368549157185187,1.2629193180916258,1.7540640603827335,2.179369495595911,-0.1619170775926429,0.20288065843621395,0.03950617283950617,0.023456790123456785,0.02880658436213992,0.011934156378600836,-1.1102230246251566e-17,0.006172839506172823,0.014403292181069949
60,60,0.9465020576131687,0.9465783785190948,0.941980421686747,0.9868975903614458,1.719406360746906,0.6496161733507373,2.0313847208597764,2.0640036684286533,0.2942425982725437,0.21769547325102884,0.025514403292181097,0.03909465020576134,0.023456790123456805,-0.0024691358024691245,0.0008230452674897193,-0.004938271604938249,0.012345679012345711
61,61,0.9218106995884774,0.9227827204585812,0.9258052147239264,0.9774539877300614,2.1490547796030843,1.067296245703006,1.9147162764928016,0.9248563284793172,0.6360188034689708,0.19465020576131686,0.037037037037037056,0.026337448559670806,0.002057613168724304,-0.009465020576131656,0.002880658436214001,0.0008230452674897082,0.0004115226337448763
62,62,0.9012345679012346,0.9021490626428899,0.8968531468531469,0.9630147630147631,0.9310765429850852,0.7481320939552834,1.8184367242649653,2.209312154848448,0.9175847186485198,0.18683127572016459,0.03333333333333334,0.03744855967078189,0.009465020576131689,-0.0032921810699588438,0.0024691358024691245,0.00493827160493826,-0.00781893004115225
63,63,0.9176954732510288,0.9176954732510288,0.9035714285714286,0.9774603174603175,1.1711488254724898,1.0470388168525377,1.7694835603402388,2.151752485541043,0.6043455955044772,0.1855967078189301,0.044855967078189354,0.028806584362139964,0.0032921810699589106,0.001646090534979472,-0.0032921810699588104,-0.006584362139917643,0.0004115226337448985
64,64,0.9259259259259259,0.9261914766957313,0.9169047619047619,0.9746825396825396,1.2198834074265934,0.7376705400465685,2.1766509283810107,2.238878268030554,0.3199986063325899,0.21440329218107,0.0448559670781893,0.04732510288065844,0.020987654320987658,0.0020576131687242705,0.0008230452674897193,0.006995884773662553,0.0
65,65,0.9094650205761317,0.9101791351746091,0.9080572289156627,0.9723644578313253,0.9835362134854436,0.8163519020498179,1.7843538055027823,2.7275706468038976,0.2071549339432495,0.18971193415637852,0.029629629629629606,0.03004115226337446,0.017283950617283893,-0.00452674897119344,-0.002880658436214001,-0.0012345679012345733,-0.004526748971193461
66,66,0.9300411522633745,0.9302597540323638,0.9286437246963564,0.9818536726431464,1.8579342658198805,0.4733657419280068,1.4254838661699096,2.3037719860704264,0.8397428514469132,0.23251028806584356,0.04238683127572016,0.03292181069958846,0.032098765432098754,0.006584362139917666,-0.004526748971193406,0.0016460905349794165,0.009465020576131666
