,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled
34,34,0.9709090909090909,0.9704801028567844,0.9399195575666164,0.9942182001005531,2.3868795419568585,0.24210049009245654,2.56242586603319,1.5580224640836862,0.8496095721223293,0.21854545454545454,0.016727272727272736,-0.0007272727272726875,0.007636363636363686
35,35,0.9527272727272728,0.951820366891923,0.9060853306136325,0.987718850926398,2.6723525762700495,0.26696987667947425,1.7457283619996842,1.4923321166544097,2.030183648966674,0.20218181818181824,0.04472727272727277,-0.005818181818181789,0.01490909090909095
36,36,0.9563636363636364,0.9550766722067171,0.9061480756686235,0.9938845401174168,2.8610453097200095,0.9717423010229725,2.5399897332464056,0.5872317100906659,0.6568319666883564,0.19381818181818186,-0.0018181818181817633,0.01345454545454552,0.008727272727272773
37,37,0.9818181818181818,0.9817600290763708,0.9695296361036072,0.9978547592563165,2.58775102203021,0.7834195206807099,2.0091012273259095,0.17449496183461086,1.9846332005136607,0.22327272727272723,0.04836363636363635,0.032727272727272716,0.047272727272727244
38,38,0.9345454545454546,0.9341422701592195,0.898062015503876,0.9813178294573643,2.610415066816797,0.9138402656773451,1.5604163784402707,0.8740263410450598,1.9537616226186023,0.17781818181818188,0.006545454545454565,-0.007636363636363608,0.019636363636363653
39,39,0.96,0.9596257476165098,0.9323643410852713,0.9938759689922481,2.7207851458002423,1.3764773562665824,1.4440647961331385,0.6988043441077526,1.3712227252374147,0.21527272727272723,0.031272727272727244,0.0014545454545453972,0.03163636363636361
40,40,0.9563636363636364,0.9569586776859504,0.9442461329253782,0.9855515893251743,1.9747835088514043,1.6459977977815963,1.41759631893314,0.5556941067157852,2.1312254841218934,0.18545454545454548,0.07018181818181822,0.007636363636363686,0.060727272727272776
41,41,0.9418181818181818,0.9400704721634954,0.8928571428571429,0.9898901098901098,1.9358312183010666,1.6276070276784143,2.1900833713171797,1.7381582192899783,0.14391262380002418,0.18327272727272725,0.039636363636363595,0.00654545454545451,0.015272727272727249
42,42,0.96,0.9601922833649588,0.9276006539955037,0.9798692008992438,1.8027056824503789,1.4203227266722185,1.6168219311636265,1.9367679769733621,1.3355774505374296,0.1418181818181818,0.02436363636363632,0.007999999999999941,0.051636363636363626
43,43,0.96,0.9595517039160747,0.9249532551419344,0.9798572157062723,2.549247172445491,1.594098596391576,1.8451650329232736,0.22307151082570256,1.6506098567323861,0.18945454545454543,0.05999999999999996,0.012363636363636321,0.06181818181818181
44,44,0.9527272727272728,0.9521974682644522,0.9132670406255312,0.9794322624511305,2.8137454784846714,1.048437189580983,1.9157246073337095,0.7217652275610954,1.4760196014031988,0.17600000000000007,0.022909090909090934,0.004000000000000026,0.028727272727272768
45,45,0.9454545454545454,0.944603971855704,0.9063505438945918,0.9864409376436342,2.332696119820781,1.3819669386986235,2.0296308163082215,1.3527742786748032,0.8274589034447852,0.21999999999999997,0.04909090909090906,0.00436363636363637,0.01709090909090908
46,46,0.9672727272727273,0.9663447060210902,0.9208347706105553,0.9971541911003795,2.73145169615819,1.0153464525442153,2.3668994353572006,0.389816344464924,1.0655885325656134,0.17527272727272725,0.022545454545454556,0.007272727272727275,0.020000000000000007
47,47,0.9672727272727273,0.9669814483037623,0.9445706497046797,0.9940935938209904,2.498448596205224,1.2397591761437803,2.3266475611964093,0.3089534317624784,1.1149665999633132,0.22181818181818183,0.03454545454545458,0.01454545454545455,0.036
48,48,0.9709090909090909,0.9704685510567862,0.9388917219105899,0.9878463369029407,2.9179507920935115,0.876195880055674,1.9360609698780307,0.22762998105710236,1.660522275627427,0.21018181818181825,0.02581818181818185,0.005090909090909123,0.0301818181818182
49,49,0.9636363636363636,0.9630707070707071,0.9259658502932046,0.9878406347016213,2.3142410108872333,1.1188588563255002,1.7550927612456606,0.7959524368948153,1.8588389084424817,0.17709090909090908,0.05345454545454546,0.03236363636363635,0.050545454545454546
50,50,0.96,0.9598379645433649,0.9277135633014267,0.9910601408705075,2.8752123198239197,1.3072559229970537,1.7273140537971863,0.8045796313572873,0.9974484214440562,0.16218181818181812,0.028363636363636334,0.007636363636363575,0.018181818181818143
51,51,0.9745454545454545,0.9742524541986493,0.9474387719903414,0.995860641600552,3.0510257424779335,0.816195384179222,2.1482266713642164,0.8683853725496246,0.7059174254150645,0.20218181818181816,0.018545454545454487,-4.4408920985006264e-17,0.018909090909090855
52,52,0.96,0.9590330566477355,0.9178054981725727,0.9833147942157954,2.8275443097169113,0.6562456876193519,2.0913224103851773,1.2323550557886223,0.9913871405225753,0.21709090909090908,0.027272727272727237,0.009454545454545405,0.009454545454545415
53,53,0.9636363636363636,0.9631769787498375,0.9346899224806202,0.994031007751938,1.8998785351136966,1.5414112239875268,1.951360154715176,1.430547298723275,0.7075031132600105,0.20254545454545453,0.02109090909090907,0.005090909090909079,0.01890909090909091
