,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd1_scaled
54,54,0.8133547868061143,0.804041659911665,0.7580320765884576,0.8532217376063806,1.4941143391545704,-0.16108033277616923,-0.12708166471126917,2.259473579468746,2.0582912521109393,0.09686242960579247,0.08230088495575223,0.07964601769911506,0.06162510056315371
55,55,0.8157683024939663,0.8076950466873916,0.754558572740391,0.8459446889198955,0.9054936492909729,-0.3379760019459429,0.35571862591995257,2.4666239834865493,2.3332732115222314,0.11086082059533393,0.07860016090104587,0.08777152051488338,0.062188254223652505
56,56,0.8101367658889783,0.8019591451528929,0.7471372215161035,0.8367946473536536,1.0048412829546165,-0.402391576514722,0.36363976739370607,2.877234309164221,2.02665860568371,0.0846339501206758,0.07160096540627514,0.08793242156074017,0.06637168141592924
57,57,0.7956556717618665,0.7847132476778451,0.7291596688175845,0.8316450101652966,1.560640145492883,-0.11910126321406693,0.3232276553935804,2.6872906571434902,1.2357143237080528,0.08085277554304104,0.06275140788415123,0.06950925181013676,0.05543041029766691
58,58,0.8173773129525342,0.8107836346447429,0.7675965764918332,0.8578628622525708,1.7671060910468401,-0.1610589474138601,0.13225517601771958,1.985163663793195,2.0177055468460847,0.09670152855993568,0.08342719227674983,0.0773129525341915,0.06749798873692683
59,59,0.7980691874497184,0.7865486945675025,0.7336476340143181,0.8485449042547,1.0460231134643776,-0.24895544423158242,0.2975752652794677,2.5948431665989653,1.9790862244228,0.07176186645213194,0.05953338696701528,0.057119871279163306,0.0572807723250201
60,60,0.8109412711182623,0.803570185950688,0.7627595921959471,0.8483821562867886,0.813255222857033,-0.4425155894627091,0.30885808928731906,2.528359058830191,2.419103637425206,0.104827031375704,0.0768302493966211,0.08149637972646824,0.07634754625905069
61,61,0.7916331456154465,0.7852246075675227,0.7414367615389093,0.8332111052907281,0.5560348126627271,-0.4224526424670725,0.2593336344579123,2.617195422629841,2.6959344696972756,0.09509251810136769,0.07119871279163315,0.07868061142397427,0.05824617860016089
62,62,0.7892196299275945,0.7791075440229562,0.7291924329785566,0.8282091034194436,1.072648482134499,-0.2722858525173954,-0.16982196594624885,2.4803859422280907,2.708579324862152,0.09098954143201934,0.06516492357200321,0.06870474658085277,0.05752212389380529
63,63,0.7892196299275945,0.7802926962698332,0.7356327777012444,0.8269361023097763,1.4923904976519393,-0.4255865649974784,0.022892200894122215,2.1167305113071255,2.494928191178498,0.0853580048270314,0.06106194690265485,0.0752212389380531,0.052131938857602554
64,64,0.8213998390989542,0.8106405646375332,0.7542567647406357,0.8438733309701052,1.1150169550670463,-0.5233930982643527,0.3740816780352078,2.6739555035919786,2.2487270220383455,0.08407079646017701,0.06999195494770721,0.07723250201126311,0.06331456154465012
65,65,0.8205953338696702,0.8113437423365232,0.7627591706539075,0.8416035957662751,1.5118271931788272,-0.25479465575043886,-0.11813070451255413,2.1321070531339923,2.3043927043153194,0.10152855993563963,0.08222043443282384,0.09356395816572811,0.07916331456154468
66,66,0.8181818181818182,0.8091601142621551,0.7546251969908715,0.8523415896048289,1.3007705809468406,-0.42068353197849867,-0.0897139063264454,2.417138460394727,2.4392731118848405,0.0946902654867257,0.07192276749798877,0.0768302493966211,0.053821399839099025
67,67,0.8069187449718423,0.796585331066408,0.7474094237448781,0.8422681484820639,1.2419452063424978,-0.5622911882032012,-0.09508394086696106,2.798117549818349,2.3688353473267028,0.09621882542236529,0.06532582461786,0.06854384553499597,0.06218825422365246
68,68,0.8020917135961384,0.7933001478722522,0.7446154787503715,0.84992103867648,0.6770157731800351,-0.45536337456054393,0.5890419895351495,2.3208960969504617,2.677130184115286,0.08238133547868062,0.06781979082864038,0.07168141592920355,0.07192276749798873
69,69,0.8149637972646823,0.8071575410280699,0.7619013138077253,0.8370426582014506,1.4216730838953033,-0.2981474804240158,0.12512095637855938,2.0757474009279053,2.3799434512962714,0.10643604183427198,0.08857602574416737,0.08109412711182624,0.07538213998390991
70,70,0.7996781979082864,0.7891226226707919,0.7387400318979267,0.8370073945193564,1.8001571038144275,-0.1702215626624878,0.21474665299197931,1.9304131469357617,1.8093448375808925,0.08286403861625102,0.05929203539823008,0.06347546259050682,0.0559935639581657
71,71,0.8149637972646823,0.8056920781766568,0.7618210589342229,0.8500014255980383,1.1817273041558727,-0.2900966877455853,-0.15297616728651517,2.066037758981223,2.7110387042989927,0.09308125502815771,0.0679002413515688,0.07996781979082865,0.06950925181013679
72,72,0.7827835880933226,0.7751961310009664,0.7235898576512456,0.8217230130486358,1.190382727203786,-0.4264988572653059,0.3291140187108393,2.1143423995221395,2.5530078542761387,0.08769106999195496,0.050281576830249364,0.08045052292839905,0.06757843925985518
73,73,0.8037007240547064,0.7981196041484901,0.7488683164631438,0.8377429967700492,1.766411056396898,-0.26189852677734715,0.1943424994093903,1.6134397888028684,2.320962474781057,0.084473049074819,0.07055510860820595,0.06902654867256637,0.05736122284794852
74,74,0.7924376508447305,0.7866930065019127,0.749141359880219,0.8343353182540317,0.836702101004468,-0.2688047957075555,0.3255474775213444,2.3625985522293083,2.5191159706961317,0.0936444086886565,0.06765888978278359,0.07489943684633951,0.058970233306516476
75,75,0.8093322606596943,0.8021012145268939,0.7604410616705699,0.8570797171327547,1.0144045619031927,-0.06340902356476587,-0.22488282364816006,2.645515904948825,2.080529126026221,0.0861625100563154,0.07618664521319389,0.07152051488334674,0.054867256637168196
76,76,0.8117457763475463,0.8016098170892051,0.7510057203981024,0.8576208027160265,0.8805285341941891,-0.32889467333594413,0.2557309174204682,2.0260745551259514,2.9533977583325686,0.09098954143201934,0.06902654867256638,0.06967015285599358,0.06508447304907485
