,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_humidity_scaled
19,19,0.9044117647058824,0.8488372093023255,0.8772946859903381,0.8835748792270531,0.4121323529411764,0.00036764705882363913,0.020955882352941213
20,20,0.8860294117647058,0.8287292817679558,0.8687198067632851,0.8815217391304347,0.2047794117647057,0.007352941176470562,-0.002941176470588225
21,21,0.9117647058823529,0.8588235294117647,0.8828502415458936,0.883695652173913,0.4077205882352941,0.028676470588235303,0.04926470588235288
22,22,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8516304347826087,0.22573529411764715,0.002941176470588336,-0.006985294117647145
23,23,0.8823529411764706,0.8222222222222222,0.8632850241545894,0.8620169082125604,0.22720588235294126,0.004044117647058809,-0.0018382352941176405
24,24,0.9154411764705882,0.863905325443787,0.8856280193236714,0.8765700483091787,0.39522058823529405,0.032720588235294,0.0628676470588233
25,25,0.9080882352941176,0.8520710059171598,0.8774154589371981,0.8769927536231884,0.4077205882352941,0.012867647058823595,0.038235294117647034
26,26,0.9117647058823529,0.8636363636363636,0.8908212560386474,0.8855676328502413,0.4102941176470587,0.0051470588235293935,0.015073529411764652
27,27,0.9044117647058824,0.8488372093023255,0.8772946859903381,0.8906400966183573,0.38602941176470595,0.014338235294117707,0.05073529411764699
28,28,0.8897058823529411,0.8387096774193549,0.8794685990338165,0.8856884057971014,0.24301470588235297,0.004411764705882226,-0.006249999999999978
29,29,0.8970588235294118,0.8352941176470589,0.8664251207729469,0.8696256038647343,0.42463235294117657,-0.0022058823529410576,0.016911764705882404
30,30,0.9154411764705882,0.8685714285714285,0.8935990338164251,0.8925120772946861,0.4658088235294118,0.02352941176470591,0.03529411764705881
31,31,0.8970588235294118,0.8372093023255814,0.8690821256038648,0.8758454106280195,0.39889705882352944,0.0,0.03529411764705892
32,32,0.8860294117647058,0.8287292817679558,0.8687198067632851,0.8587560386473431,0.22316176470588234,0.008455882352941146,0.0022058823529411686
33,33,0.9007352941176471,0.847457627118644,0.8798309178743962,0.8870772946859904,0.4033088235294118,-0.0022058823529411686,0.015073529411764652
34,34,0.9007352941176471,0.8421052631578947,0.8718599033816425,0.8829710144927536,0.4286764705882353,0.0025735294117646967,0.01727941176470582
35,35,0.9154411764705882,0.8685714285714285,0.8935990338164251,0.8832125603864733,0.4466911764705882,0.006985294117646923,0.016176470588235348
36,36,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.88743961352657,0.4286764705882352,0.005882352941176561,0.026470588235294135
37,37,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.8742753623188407,0.39375000000000004,0.007720588235294312,0.02536764705882366
38,38,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8870772946859903,0.2227941176470588,0.00588235294117645,-0.004411764705882337
39,39,0.9080882352941176,0.8538011695906432,0.8800724637681159,0.8896135265700482,0.4176470588235294,0.004779411764705865,0.024264705882352966
40,40,0.8933823529411765,0.8342857142857143,0.8689613526570048,0.8811594202898549,0.38602941176470595,0.005882352941176561,0.036397058823529393
41,41,0.8860294117647058,0.8248587570621468,0.8634057971014493,0.876449275362319,0.3871323529411765,0.023897058823529438,0.047794117647058765
42,42,0.9007352941176471,0.8383233532934131,0.8665458937198067,0.8727053140096617,0.4176470588235294,0.006985294117647034,0.028308823529411775
43,43,0.8970588235294118,0.8313253012048193,0.8611111111111112,0.8709541062801932,0.4073529411764707,0.004411764705882448,0.036029411764705976
44,44,0.8860294117647058,0.8324324324324325,0.8740338164251208,0.8694444444444445,0.22169117647058822,0.0051470588235293935,-0.007352941176470562
45,45,0.8933823529411765,0.8415300546448088,0.8795893719806764,0.8719806763285023,0.2694852941176471,0.007352941176470673,0.00036764705882363913
