,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled
46,46,0.8619246861924686,0.8341708542713567,0.8694543034605147,0.906684412895593,-0.012970711297071058,0.005439330543933196,0.0004184100418409553,-0.0058577405857740406,0.00502092050209213,0.018410041841004143,0.002510460251046176,0.004602510460251175
47,47,0.8410041841004184,0.8207547169811321,0.860581188997338,0.9035048802129547,0.00878661087866106,0.01087866108786606,0.033054393305439245,0.006276150627615107,-0.0029288702928870203,0.00878661087866106,-0.005020920502092019,-0.0071129707112970175
48,48,0.891213389121339,0.8673469387755102,0.8973306713989944,0.9586660751257023,0.020502092050209253,0.022175732217573296,0.02887029288702947,0.025523012552301272,0.008786610878661172,0.0619246861924686,0.03933054393305446,0.038075313807531486
49,49,0.8493723849372385,0.7954545454545454,0.8328157349896481,0.9180715764566696,0.02677824267782436,0.04769874476987457,0.04644351464435137,0.01589958158995819,0.015481171548117234,0.01673640167364021,0.019246861924686165,0.03640167364016733
50,50,0.7782426778242678,0.7005649717514124,0.7587252292221236,0.885980479148181,-0.023012552301255207,0.0020920502092051096,0.010041841004184149,0.0029288702928870203,-0.04644351464435148,0.046025104602510525,0.03682008368200829,0.009623430962343194
51,51,0.891213389121339,0.8725490196078431,0.9054643596569063,0.9215468796214138,-0.0020920502092048876,0.04351464435146446,0.004184100418409997,0.019665271966527342,0.023012552301255318,0.005857740585774152,0.038075313807531486,0.026359832635983294
52,52,0.8535564853556485,0.8128342245989305,0.8484176279207335,0.9284235433303756,0.015062761506276168,-0.005439330543932974,-0.0029288702928869093,0.06108786610878658,-0.0029288702928869093,0.057740585774058495,0.019246861924686165,0.06150627615062754
53,53,0.8535564853556485,0.8223350253807107,0.8585847382431233,0.9292369121561668,-0.011297071129706904,-0.0033472803347279756,-0.007949790794978928,0.002510460251046065,0.0058577405857740406,0.01380753138075319,0.005439330543933085,0.02092050209205021
54,54,0.8577405857740585,0.826530612244898,0.8619860987873411,0.9215468796214138,-0.014644351464435101,0.028033472803347226,0.003765690376569042,0.025104602510460206,-0.0020920502092049986,0.02175732217573223,0.06443514644351456,-0.009205020920502127
55,55,0.891213389121339,0.865979381443299,0.8952972493345164,0.9500147885241053,-0.0033472803347278646,-0.0016736401673638213,-0.002510460251045843,0.020502092050209253,0.001255230125523088,0.013807531380753302,0.025104602510460317,0.010460251046025326
56,56,0.8326359832635983,0.801980198019802,0.841577935522035,0.8817657497781721,0.019246861924686165,-0.0058577405857740406,-0.0058577405857740406,-0.009623430962342971,-0.021338912133891164,-0.0016736401673640433,0.016317991631799145,0.03974895397489553
57,57,0.8410041841004184,0.7978723404255319,0.8361801242236024,0.9086069210292813,-0.003765690376569042,-0.004602510460251064,0.02092050209205032,0.011297071129707126,1.1102230246251565e-16,0.029288702928870314,0.05062761506276159,0.03138075313807531
58,58,0.7238493723849372,0.5540540540540541,0.6718056787932565,0.9007690032534753,-0.01589958158995819,0.0004184100418408443,0.010041841004184149,-0.005439330543933196,-0.011715481171548192,-0.0347280334728034,0.03138075313807531,0.028451882845188403
59,59,0.8368200836820083,0.7891891891891892,0.8287119195504289,0.9296066252587991,-0.011297071129707126,0.00794979079497904,-0.0020920502092049986,0.019246861924686165,-0.003765690376569042,0.010878661087865948,0.029707112970711158,0.011297071129707015
60,60,0.8493723849372385,0.8163265306122449,0.8531499556344277,0.9099378881987578,0.006276150627614996,0.0071129707112970175,0.006694560669456173,0.007949790794979261,0.0058577405857740406,0.01882845188284521,-0.012970711297070947,0.02677824267782436
61,61,0.8117154811715481,0.7169811320754716,0.7757690032534753,0.9187370600414079,0.016317991631799256,0.010460251046025104,0.0008368200836819106,0.011715481171548081,-0.00041841004184106634,0.028451882845188292,0.0020920502092049986,0.010460251046025104
62,62,0.799163179916318,0.7575757575757576,0.8021665187814255,0.9245785270629991,-0.0472803347280335,-0.012552301255230103,-0.030125523012552335,-0.03347280334728031,-0.041841004184100306,-0.00794979079497915,0.015062761506276168,0.002510460251046065
63,63,0.8870292887029289,0.8601036269430051,0.8898624667258208,0.9358178053830227,0.018410041841004143,0.03389121338912138,0.008368200836820217,0.022175732217573185,-0.006276150627614996,0.024267782426778184,0.02175732217573223,0.07782426778242668
64,64,0.8661087866108786,0.8160919540229885,0.8484545992309968,0.9460218870156758,0.04853556485355648,0.04435146443514648,0.04476987447698744,0.014644351464435101,0.01380753138075319,0.015062761506276168,0.02259414225941414,0.0661087866108786
65,65,0.8744769874476988,0.8369565217391305,0.8674578527062999,0.9510499852114759,0.03640167364016744,0.012552301255230103,0.016317991631799256,0.00878661087866106,0.007531380753138084,0.028870292887029247,0.013807531380753302,0.03849372384937244
