,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
64,64,0.6166666666666667,0.0,0.5,0.9507931844888367,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
65,65,0.8916666666666667,0.8571428571428571,0.8833725029377204,0.9402908343125734,0.16749999999999998,0.06791666666666663,0.04125000000000012
66,66,0.875,0.8275862068965517,0.8575205640423031,0.9441098707403055,0.1825000000000001,0.043749999999999956,0.050833333333333286
67,67,0.9041666666666667,0.8743169398907104,0.89762044653349,0.939997062279671,0.17375000000000007,0.06583333333333341,0.010000000000000009
68,68,0.9041666666666667,0.8770053475935828,0.9017332549941246,0.9474882491186839,0.18291666666666662,0.0641666666666666,-0.0029166666666665675
69,69,0.8916666666666667,0.87,0.9018801410105758,0.9460928319623972,0.24791666666666667,0.10625000000000007,-0.0008333333333333526
70,70,0.8375,0.7636363636363637,0.8086075205640424,0.9446974148061105,0.1937500000000001,-0.0016666666666665941,-0.0004166666666668428
71,71,0.75,0.53125,0.6780258519388954,0.9413190364277321,0.11291666666666667,0.03458333333333341,0.012916666666666687
72,72,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9370593419506463,0.22166666666666668,0.0675,0.04500000000000004
73,73,0.9083333333333333,0.8817204301075269,0.9051116333725029,0.9347091656874266,0.2154166666666667,0.06666666666666676,-0.0029166666666665675
74,74,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9410987074030552,0.18208333333333337,0.07250000000000012,0.0016666666666667052
75,75,0.8708333333333333,0.8165680473372781,0.847972972972973,0.9457990599294946,0.1266666666666666,0.1020833333333333,-0.0029166666666666785
76,76,0.8291666666666667,0.7421383647798742,0.7936251468860165,0.9489571092831962,0.18291666666666684,0.0004166666666667318,0.028749999999999942
77,77,0.8125,0.7058823529411765,0.7698296122209166,0.9480023501762631,0.16916666666666658,0.0004166666666666208,0.006249999999999978
78,78,0.9,0.8695652173913043,0.8942420681551116,0.9372062279670975,0.16458333333333341,0.0674999999999999,-0.0004166666666666208
79,79,0.825,0.7375,0.790246768507638,0.939997062279671,0.12375000000000003,0.015416666666666634,0.006249999999999978
80,80,0.9,0.8695652173913043,0.8942420681551116,0.9428613396004699,0.16125000000000012,0.06833333333333336,0.010833333333333472
81,81,0.8958333333333334,0.8633879781420765,0.888807285546416,0.9401439482961222,0.14041666666666675,0.0887500000000001,-0.0025000000000000577
82,82,0.8833333333333333,0.8444444444444444,0.872502937720329,0.9400705052878966,0.13916666666666666,0.0675,0.03791666666666671
83,83,0.8875,0.850828729281768,0.8779377203290247,0.9405111633372503,0.16083333333333316,0.07208333333333328,0.08041666666666647
84,84,0.9,0.8681318681318682,0.8921856639247944,0.944403642773208,0.1775000000000001,0.07250000000000001,0.0024999999999998357
85,85,0.8291666666666667,0.7453416149068323,0.7956815511163338,0.9410252643948297,0.1412500000000001,-0.0016666666666665941,0.0050000000000000044
86,86,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9471210340775558,0.2170833333333334,0.06874999999999998,0.03208333333333324
87,87,0.775,0.5970149253731343,0.7106345475910694,0.9426410105757932,0.11583333333333334,0.04833333333333334,0.030000000000000027
88,88,0.9083333333333333,0.8804347826086957,0.9030552291421856,0.9386016451233842,0.21875,0.06708333333333338,-0.0004166666666667318
89,89,0.725,0.45901639344262296,0.6454171562867215,0.9467538190364277,0.09958333333333336,0.019583333333333397,-0.019583333333333508
90,90,0.9041666666666667,0.8743169398907104,0.89762044653349,0.9408783783783784,0.20291666666666663,0.07291666666666663,-0.00374999999999992
91,91,0.9125,0.8877005347593583,0.9105464159811987,0.9404377203290247,0.24749999999999994,0.18333333333333324,0.01750000000000007
92,92,0.8583333333333333,0.7976190476190477,0.8337250293772033,0.9386750881316098,0.15916666666666657,0.03791666666666649,0.046250000000000124
