,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled
84,84,0.9105058365758755,0.8844221105527639,0.9206851119894599,0.9791831357048748,0.056809338521400576,0.13852140077821007,0.12334630350194542,0.07003891050583666
85,85,0.9105058365758755,0.8888888888888888,0.9303030303030303,0.9836627140974967,0.015564202334630295,0.16809338521400774,0.09377431906614786,0.13891050583657594
86,86,0.933852140077821,0.914572864321608,0.9460803689064559,0.9840579710144928,0.2490272373540856,0.16186770428015573,0.15642023346303513,0.1381322957198443
87,87,0.9066147859922179,0.8846153846153846,0.9272727272727272,0.9869565217391304,0.020233463035019383,0.1400778210116732,0.1116731517509727,0.07315175097276272
88,88,0.914396887159533,0.8921568627450981,0.9309288537549407,0.9857707509881424,0.19805447470817117,0.14630350194552533,0.13112840466926057,0.08482490272373544
89,89,0.9027237354085603,0.8780487804878049,0.9194334650856391,0.9833992094861661,0.09105058365758756,0.11673151750972754,0.11284046692606997,0.10233463035019452
90,90,0.9221789883268483,0.900990099009901,0.9369894598155468,0.9829380764163373,0.11478599221789887,0.12373540856031129,0.09455252918287949,0.11828793774319069
91,91,0.8949416342412452,0.8682926829268293,0.9109683794466403,0.9832015810276681,0.09805447470817119,0.11945525291828807,0.13268482490272382,0.0906614785992218
92,92,0.914396887159533,0.8910891089108911,0.9285243741765481,0.9843873517786562,0.0501945525291827,0.16070038910505835,0.14396887159533078,0.06614785992217898
93,93,0.9455252918287937,0.9270833333333334,0.9503623188405796,0.9906455862977602,0.07704280155642007,0.1264591439688716,0.10739299610894937,0.135408560311284
94,94,0.9221789883268483,0.900990099009901,0.9369894598155468,0.9844532279314888,0.10428015564202342,0.13657587548638128,0.09961089494163433,0.10428015564202342
95,95,0.9260700389105059,0.9054726368159204,0.9400197628458498,0.9902503293807641,0.18832684824902723,0.13385214007782098,0.15175097276264593,0.09610894941634252
