,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
161,161,0.863013698630137,0.85,0.8714053406367682,0.9303320780554605,0.4456621004566211,0.01872146118721474,0.12831050228310503,0.02602739726027392
162,162,0.8356164383561644,0.7857142857142857,0.8193255734337556,0.9302464909277645,0.20045662100456618,-0.005022831050228271,0.007305936073059405,0.005022831050228382
163,163,0.7808219178082192,0.6619718309859155,0.7436237589866485,0.9181787059226292,0.09086757990867578,0.06164383561643838,0.0785388127853881,0.04155251141552507
164,164,0.8127853881278538,0.7248322147651006,0.781667237247518,0.919291338582677,0.12100456621004563,-0.005022831050228382,0.010045662100456654,0.013242009132420018
165,165,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9279356384799725,0.19132420091324187,0.013698630136986245,0.005936073059360614,0.011415525114155223
166,166,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9416295789113317,0.27442922374429213,0.04337899543378998,0.06666666666666654,0.017351598173515836
167,167,0.7899543378995434,0.7051282051282052,0.7634799726121191,0.9227148236905169,0.057077625570776336,0.033333333333333326,0.046575342465753566,0.0036529680365297024
168,168,0.8995433789954338,0.8804347826086957,0.8969103046901746,0.9358952413557,0.4356164383561645,0.046575342465753455,0.027853881278538828,0.042465753424657526
169,169,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9262238959260527,0.23105022831050226,-0.0009132420091323423,0.005479452054794498,-0.0036529680365297024
170,170,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9245121533721329,0.3885844748858448,0.024200913242009015,-0.009589041095890427,-0.00502283105022816
171,171,0.9041095890410958,0.8900523560209425,0.90683841150291,0.9239130434782608,0.3940639269406392,0.059817351598173585,0.014155251141552472,0.06666666666666654
172,172,0.9223744292237442,0.9090909090909091,0.922586442998973,0.9367511126326601,0.46073059360730584,0.11598173515981747,0.1515981735159817,0.15844748858447477
173,173,0.8949771689497716,0.8756756756756757,0.8929732968161588,0.9231427593289969,0.33835616438356153,0.05022831050228305,0.01461187214611881,0.008675799086757863
